original_bed_rows	1619
lifted_rows_total	1336
lifted_rows_primary_1_12	1331
nonprimary_lifted_rows	6
unlifted_rows	283
candidate_map_rows	1331
chromosomes	1,2,3,4,5,6,7,8,9,10,11,12
same_chr_as_source	1312
duplicate_chr_pos	0
strand_+	1306
strand_-	25
target_seqid_1	183
target_seqid_2	126
target_seqid_3	165
target_seqid_4	115
target_seqid_5	112
target_seqid_6	132
target_seqid_7	76
target_seqid_8	89
target_seqid_9	97
target_seqid_10	80
target_seqid_11	100
target_seqid_12	56
candidate_map	species/oryza_sativa_indica/results/final/oryza_sativa_indica_genetic_map.candidate_yu2011_projection.tsv
details	species/oryza_sativa_indica/results/final/oryza_sativa_indica_genetic_map.candidate_yu2011_projection.details.tsv
unlifted	species/oryza_sativa_indica/results/qc/yu2011_asm465v1_unlifted_bins.tsv
nonprimary	species/oryza_sativa_indica/results/qc/yu2011_asm465v1_nonprimary_lifted_rows.tsv
qc_by_chr	species/oryza_sativa_indica/results/qc/yu2011_asm465v1_projection_by_chr.tsv
