map_name	chr	n_markers
solcap_direct_313	1	38
solcap_direct_313	2	34
solcap_direct_313	3	18
solcap_direct_313	4	44
solcap_direct_313	5	11
solcap_direct_313	6	30
solcap_direct_313	7	27
solcap_direct_313	8	20
solcap_direct_313	9	31
solcap_direct_313	10	24
solcap_direct_313	11	26
solcap_direct_313	12	10
combined_first_cM_859	1	105
combined_first_cM_859	2	111
combined_first_cM_859	3	59
combined_first_cM_859	4	78
combined_first_cM_859	5	55
combined_first_cM_859	6	69
combined_first_cM_859	7	61
combined_first_cM_859	8	73
combined_first_cM_859	9	79
combined_first_cM_859	10	68
combined_first_cM_859	11	63
combined_first_cM_859	12	38
max_collinear_533	1	63
max_collinear_533	2	63
max_collinear_533	3	30
max_collinear_533	4	51
max_collinear_533	5	34
max_collinear_533	6	50
max_collinear_533	7	43
max_collinear_533	8	43
max_collinear_533	9	50
max_collinear_533	10	43
max_collinear_533	11	37
max_collinear_533	12	26
