marker_id	marker_type	linkage_group	cM	F_min_mismatch	R_min_mismatch	F_min_mismatch_bin	R_min_mismatch_bin	both_primers_have_full_len_no_gap_hit	max_primer_min_mismatch	sum_primer_min_mismatch	F_hits_at_min_mismatch	R_hits_at_min_mismatch	F_multihit_at_min_mismatch	R_multihit_at_min_mismatch	F_best_any_coverage	R_best_any_coverage	F_best_any_gapopen	R_best_any_gapopen	both_primers_min_mm_le0	F_has_mm_le0	R_has_mm_le0	both_primers_min_mm_le1	F_has_mm_le1	R_has_mm_le1	both_primers_min_mm_le2	F_has_mm_le2	R_has_mm_le2	both_primers_min_mm_le3	F_has_mm_le3	R_has_mm_le3	both_primers_min_mm_le4	F_has_mm_le4	R_has_mm_le4	both_primers_min_mm_le5	F_has_mm_le5	R_has_mm_le5
BN12A	SSR	C03	123.531	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BN40C1	SSR	C03	27.483		1.0	no_full_length_no_gap	1	False			0	1	False	False	0.9090909090909091	1.0	1	0	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BRAS011	SSR	C02	125.932	0.0	0.0	0	0	True	0.0	0.0	1	2	False	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BRAS072	SSR	C04	21.2	0.0		0	no_full_length_no_gap	False			1	0	False	False	1.0	0.9047619047619048	0	0	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False
BRAS120	SSR	C03	114.754	0.0		0	no_full_length_no_gap	False			1	0	False	False	1.0	0.85	0	0	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False
BRMS015	SSR	C06	57.757	0.0		0	no_full_length_no_gap	False			1	0	False	False	1.0	0.9090909090909091	0	0	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False
BnGMS102	SSR	C06	83.184	0.0		0	no_full_length_no_gap	False			1	0	False	False	1.0	0.95	0	0	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False
BnGMS24	SSR	C06	67.602	0.0	0.0	0	0	True	0.0	0.0	2	1	True	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BnGMS292	SSR	C05	43.468	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BnGMS310	SSR	C02	143.75	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BnGMS4	SSR	C08	72.902	0.0	0.0	0	0	True	0.0	0.0	2	1	True	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BnGMS417	SSR	C03	82.375			no_full_length_no_gap	no_full_length_no_gap	False			0	0	False	False	0.9523809523809523	0.95	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BnGMS426	SSR	C03	11.48	0.0	1.0	0	1	True	1.0	1.0	1	1	False	False	1.0	1.0	0	0	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BnGMS552	SSR	C07	92.321	0.0	0.0	0	0	True	0.0	0.0	59	10	True	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BnGMS598	SSR	C07	55.576	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BnGMS626	SSR	C07	73.114	0.0	0.0	0	0	True	0.0	0.0	2	1	True	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BnGMS629	SSR	C02	138.051	0.0	0.0	0	0	True	0.0	0.0	2	1	True	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BnGMS631	SSR	C03	23.895	0.0	0.0	0	0	True	0.0	0.0	49	1	True	False	1.0476190476190477	1.0	1	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BnGMS647	SSR	C04	86.409		0.0	no_full_length_no_gap	0	False			0	1	False	False	1.05	1.0	1	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoE002	SSR	C04	60.746	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE013	SSR	C08	44.362	1.0	0.0	1	0	True	1.0	1.0	2	1	True	False	1.0	1.0	0	0	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE015	SSR	C07	95.078	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE035	SSR	C08	40.87	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE041	SSR	C01	36.32	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE047	SSR	C06	70.219	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE068	SSR	C02	125.318	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
