chr	n_bins	pos_min	pos_max	cM_min	cM_max	increasing_cM_steps	decreasing_cM_steps	equal_cM_steps	minus_strand_rows	duplicate_positions
1	181	721626	47047410	0.239809	199.876313	180	0	0	0	0
2	122	53092	38043332	0.000000	175.413532	121	0	0	1	0
3	162	375837	40730249	0.000000	187.487722	161	0	0	0	0
4	110	79301	34372641	0.000000	127.237149	109	0	0	1	0
5	110	136349	31045187	0.000000	116.043092	109	0	0	0	0
6	129	160065	32568025	0.000000	144.412563	128	0	0	1	0
7	74	174631	27229566	0.239809	135.407854	73	0	0	1	0
8	89	248426	30209578	0.000000	120.351252	88	0	0	0	0
9	96	303122	21595178	0.722904	107.159809	95	0	0	0	0
10	80	239170	22126567	0.000000	85.333908	79	0	0	0	0
11	96	31033	23004714	0.239809	116.721616	95	0	0	4	0
12	54	551303	22440802	0.000000	106.768828	53	0	0	0	0
