marker_id	primer_side	qseqid	linkage_group	cM	marker_type	raw_hits	full_length_hits	full_length_perfect_hits	full_length_mm1_hits	has_any_blast_hit	has_full_length_hit	has_full_length_perfect_hit	has_full_length_mm1_hit	is_multihit_perfect	is_multihit_mm1	min_mismatch_full_length	best_bitscore
BoSF1331	F	BoSF1331__F	C01	0.0	SSR	860	1	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1331	R	BoSF1331__R	C01	0.0	SSR	831	1	1	1	True	True	True	True	False	False	0.0	40.1
BoSF302	F	BoSF302__F	C01	12.299	SSR	2384	2	0	2	True	True	False	True	False	True	1.0	32.2
BoSF302	R	BoSF302__R	C01	12.299	SSR	2043	1	1	1	True	True	True	True	False	False	0.0	40.1
snap980	F	snap980__F	C01	17.864	SNP	3673	0	0	0	True	False	False	False	False	False		60.0
snap980	R	snap980__R	C01	17.864	SNP	5414	7	1	2	True	True	True	True	False	True	0.0	71.9
BoE106	F	BoE106__F	C01	20.071	SSR	767	6	6	6	True	True	True	True	True	True	0.0	42.1
BoE106	R	BoE106__R	C01	20.071	SSR	1393	11	6	9	True	True	True	True	True	True	0.0	48.1
snap900	F	snap900__F	C01	21.276	SNP	10188	0	0	0	True	False	False	False	False	False		56.0
snap900	R	snap900__R	C01	21.276	SNP	16816	164	12	42	True	True	True	True	True	True	0.0	69.9
BoSF912	F	BoSF912__F	C01	22.131	SSR	1034	2	2	2	True	True	True	True	True	True	0.0	40.1
BoSF912	R	BoSF912__R	C01	22.131	SSR	1066	1	1	1	True	True	True	True	False	False	0.0	40.1
snap518	F	snap518__F	C01	25.152	SNP	3236	0	0	0	True	False	False	False	False	False		44.1
snap518	R	snap518__R	C01	25.152	SNP	610	1	1	1	True	True	True	True	False	False	0.0	56.0
snap1007	F	snap1007__F	C01	27.474	SNP	1752	0	0	0	True	False	False	False	False	False		52.0
snap1007	R	snap1007__R	C01	27.474	SNP	4605	2	1	2	True	True	True	True	False	True	0.0	50.1
BrBAC019	F	BrBAC019__F	C01	28.001	SSR	2758	1	1	1	True	True	True	True	False	False	0.0	40.1
BrBAC019	R	BrBAC019__R	C01	28.001	SSR	2998	2	0	0	True	True	False	False	False	False	2.0	32.2
BrBAC004	F	BrBAC004__F	C01	29.396	SSR	4784	1	1	1	True	True	True	True	False	False	0.0	40.1
BrBAC004	R	BrBAC004__R	C01	29.396	SSR	878	1	1	1	True	True	True	True	False	False	0.0	40.1
