map_name	chr	bin_start_cM	bin_end_cM	n_markers
nam5_final	1	0.0	10.0	91
nam5_final	1	10.0	20.0	63
nam5_final	1	20.0	30.0	158
nam5_final	1	30.0	40.0	120
nam5_final	1	40.0	50.0	135
nam5_final	1	50.0	60.0	160
nam5_final	1	60.0	70.0	87
nam5_final	1	70.0	80.0	79
nam5_final	1	80.0	90.0	165
nam5_final	1	90.0	100.0	121
nam5_final	1	100.0	110.0	272
nam5_final	1	110.0	120.0	112
nam5_final	1	120.0	130.0	142
nam5_final	1	130.0	140.0	139
nam5_final	1	140.0	150.0	57
nam5_final	1	150.0	160.0	68
nam5_final	1	160.0	170.0	163
nam5_final	1	170.0	180.0	158
nam5_final	1	180.0	190.0	78
nam5_final	1	190.0	200.0	111
nam5_final	1	200.0	210.0	184
nam5_final	1	210.0	220.0	112
nam5_final	1	220.0	230.0	144
nam5_final	1	230.0	240.0	112
nam5_final	1	240.0	250.0	62
nam5_final	1	250.0	260.0	83
nam5_final	1	260.0	270.0	80
nam5_final	1	270.0	280.0	72
nam5_final	1	280.0	290.0	53
nam5_final	2	0.0	10.0	105
nam5_final	2	10.0	20.0	63
nam5_final	2	20.0	30.0	111
nam5_final	2	30.0	40.0	118
nam5_final	2	40.0	50.0	84
nam5_final	2	50.0	60.0	170
nam5_final	2	60.0	70.0	145
nam5_final	2	70.0	80.0	184
nam5_final	2	80.0	90.0	343
nam5_final	2	90.0	100.0	304
nam5_final	2	100.0	110.0	216
nam5_final	2	110.0	120.0	136
nam5_final	2	120.0	130.0	113
nam5_final	2	130.0	140.0	107
nam5_final	2	140.0	150.0	144
nam5_final	2	150.0	160.0	110
nam5_final	2	160.0	170.0	43
nam5_final	2	170.0	180.0	65
nam5_final	2	180.0	190.0	14
nam5_final	3	0.0	10.0	77
nam5_final	3	10.0	20.0	44
nam5_final	3	20.0	30.0	57
nam5_final	3	30.0	40.0	76
nam5_final	3	40.0	50.0	147
nam5_final	3	50.0	60.0	211
nam5_final	3	60.0	70.0	171
nam5_final	3	70.0	80.0	210
nam5_final	3	80.0	90.0	164
nam5_final	3	90.0	100.0	114
nam5_final	3	100.0	110.0	104
nam5_final	3	110.0	120.0	100
nam5_final	3	120.0	130.0	144
nam5_final	3	130.0	140.0	129
nam5_final	3	140.0	150.0	126
nam5_final	3	150.0	160.0	72
nam5_final	3	160.0	170.0	27
nam5_final	3	170.0	180.0	68
nam5_final	3	180.0	190.0	85
nam5_final	3	190.0	200.0	31
nam5_final	3	200.0	210.0	109
nam5_final	4	0.0	10.0	75
nam5_final	4	10.0	20.0	26
nam5_final	4	20.0	30.0	91
nam5_final	4	30.0	40.0	80
nam5_final	4	40.0	50.0	10
nam5_final	4	50.0	60.0	149
nam5_final	4	60.0	70.0	184
nam5_final	4	70.0	80.0	333
nam5_final	4	80.0	90.0	106
nam5_final	4	90.0	100.0	174
nam5_final	4	100.0	110.0	118
nam5_final	4	110.0	120.0	107
nam5_final	4	120.0	130.0	75
nam5_final	4	130.0	140.0	207
nam5_final	4	140.0	150.0	187
nam5_final	4	150.0	160.0	75
nam5_final	4	160.0	170.0	72
nam5_final	4	170.0	180.0	53
nam5_final	4	180.0	190.0	51
nam5_final	5	0.0	10.0	58
nam5_final	5	10.0	20.0	104
nam5_final	5	20.0	30.0	83
nam5_final	5	30.0	40.0	91
nam5_final	5	40.0	50.0	110
nam5_final	5	50.0	60.0	180
nam5_final	5	60.0	70.0	233
nam5_final	5	70.0	80.0	462
nam5_final	5	80.0	90.0	189
nam5_final	5	90.0	100.0	82
nam5_final	5	100.0	110.0	132
nam5_final	5	110.0	120.0	124
nam5_final	5	120.0	130.0	164
nam5_final	5	130.0	140.0	85
nam5_final	5	140.0	150.0	94
nam5_final	5	150.0	160.0	61
nam5_final	5	160.0	170.0	119
nam5_final	5	170.0	180.0	2
nam5_final	6	0.0	10.0	67
nam5_final	6	10.0	20.0	137
nam5_final	6	20.0	30.0	234
nam5_final	6	30.0	40.0	155
nam5_final	6	40.0	50.0	118
nam5_final	6	50.0	60.0	145
nam5_final	6	60.0	70.0	162
nam5_final	6	70.0	80.0	168
nam5_final	6	80.0	90.0	93
nam5_final	6	90.0	100.0	135
nam5_final	6	100.0	110.0	123
nam5_final	6	110.0	120.0	81
nam5_final	6	120.0	130.0	66
nam5_final	6	130.0	140.0	97
nam5_final	7	0.0	10.0	62
nam5_final	7	10.0	20.0	60
nam5_final	7	20.0	30.0	69
nam5_final	7	30.0	40.0	104
nam5_final	7	40.0	50.0	283
nam5_final	7	50.0	60.0	46
nam5_final	7	60.0	70.0	136
nam5_final	7	70.0	80.0	105
nam5_final	7	80.0	90.0	159
nam5_final	7	90.0	100.0	171
nam5_final	7	100.0	110.0	103
nam5_final	7	110.0	120.0	74
nam5_final	7	120.0	130.0	102
nam5_final	7	130.0	140.0	94
nam5_final	7	140.0	150.0	50
nam5_final	7	150.0	160.0	63
nam5_final	8	0.0	10.0	60
nam5_final	8	10.0	20.0	58
nam5_final	8	20.0	30.0	53
nam5_final	8	30.0	40.0	90
nam5_final	8	40.0	50.0	109
nam5_final	8	50.0	60.0	264
nam5_final	8	60.0	70.0	119
nam5_final	8	70.0	80.0	170
nam5_final	8	80.0	90.0	143
nam5_final	8	90.0	100.0	357
nam5_final	8	100.0	110.0	170
nam5_final	8	110.0	120.0	73
nam5_final	8	120.0	130.0	80
nam5_final	8	130.0	140.0	79
nam5_final	8	140.0	150.0	27
nam5_final	8	150.0	160.0	52
nam5_final	9	0.0	10.0	73
nam5_final	9	10.0	20.0	49
nam5_final	9	20.0	30.0	60
nam5_final	9	30.0	40.0	72
nam5_final	9	40.0	50.0	98
nam5_final	9	50.0	60.0	296
nam5_final	9	60.0	70.0	181
nam5_final	9	70.0	80.0	183
nam5_final	9	80.0	90.0	89
nam5_final	9	90.0	100.0	92
nam5_final	9	100.0	110.0	88
nam5_final	9	110.0	120.0	45
nam5_final	9	120.0	130.0	23
nam5_final	9	130.0	140.0	88
nam5_final	9	140.0	150.0	86
nam5_final	9	150.0	160.0	85
nam5_final	9	160.0	170.0	3
nam5_final	10	0.0	10.0	56
nam5_final	10	10.0	20.0	40
nam5_final	10	20.0	30.0	37
nam5_final	10	30.0	40.0	96
nam5_final	10	40.0	50.0	231
nam5_final	10	50.0	60.0	211
nam5_final	10	60.0	70.0	258
