chr	n_bins	pos_min	pos_max	cM_min	cM_max	increasing_cM_steps	decreasing_cM_steps	equal_cM_steps	decreasing_examples
1	217	283464	43167899	0.000000	200.606253	216	0	0	
2	139	52754	35845655	0.000000	175.413532	138	0	0	
3	192	133592	36298831	0.000000	187.487722	191	0	0	
4	140	75924	35197802	0.000000	127.237149	139	0	0	
5	130	145170	29704751	0.000000	116.043092	129	0	0	
6	149	136546	30874361	0.000000	144.412563	148	0	0	
7	91	61030	29127503	0.000000	135.407854	90	0	0	
8	118	227560	28281329	0.000000	120.351252	117	0	0	
9	116	68056	22780822	0.000000	107.159809	115	0	0	
10	98	388398	23058042	0.000000	85.333908	97	0	0	
11	150	112201	28951768	0.000000	116.721616	149	0	0	
12	79	363244	27290146	0.000000	109.333493	78	0	0	
