chr	pos	cM
1	510709	4.532
1	1469642	6.71
1	2818203	10.169
1	2967161	8.698
1	3231168	11.907
1	3694828	15.768
1	4644404	15.567
1	5019507	13.291
1	5019507	15.05
1	5019507	15.074
1	7138314	18.576
1	14107042	21.125
1	14815802	23.548
1	19690776	0.0
1	25501380	24.371
1	28146217	24.847
1	30619387	24.797
1	30900854	25.789
1	34774889	23.267
1	54738958	27.244
1	58507121	31.025
1	60207942	27.828
1	60877545	23.926
1	60877687	23.783
1	60877687	23.881
1	60877687	23.886
1	60877687	23.926
1	61848057	28.945
1	62731262	28.149
1	64336038	35.392
1	64684580	35.899
1	65028487	38.541
1	65028487	38.564
1	65182850	36.587
1	65627217	34.892
1	65721796	37.235
1	65770396	38.253
1	65770400	38.272
1	65771363	38.325
1	65771363	38.512
1	65854890	38.926
1	66053547	28.479
1	66053672	28.291
1	66053672	28.454
1	66053672	28.479
1	66053672	28.626
1	66053672	28.686
1	66615373	42.286
1	66757200	42.021
1	66897180	37.928
1	67001953	42.933
1	67271838	41.733
1	67276340	43.333
1	67305393	43.294
1	67733812	38.902
1	67805574	38.905
1	67821222	40.067
1	67821222	40.069
1	67821419	40.067
1	67821419	40.069
1	67932856	40.083
1	68306580	40.514
1	71082823	46.072
1	71116443	46.775
1	72006329	50.077
1	72006329	50.123
1	72006329	50.278
1	72006529	50.123
1	73171679	50.623
1	73309248	50.784
1	73834956	52.795
1	73882634	55.774
1	73882634	56.708
1	73882634	58.339
1	73928936	59.934
1	74448862	56.522
1	74794275	62.3
1	74921059	57.545
1	75121299	59.529
1	75196506	61.635
1	75266586	61.148
1	75565740	60.081
1	76781756	62.553
1	76781756	62.562
1	77039028	63.763
1	77072312	63.434
1	79520001	72.646
1	79520001	72.892
1	79768729	75.718
1	79768729	75.842
1	79880009	75.174
1	79911287	75.631
1	79911289	75.631
1	79911289	75.639
1	79911289	75.718
1	79946769	76.723
1	80095734	76.519
1	81517833	81.408
1	81813679	81.493
1	82100630	78.463
1	82331310	79.247
1	82331310	79.25
1	83144953	80.621
1	83451642	81.476
1	83896183	81.579
1	83987313	82.021
1	84095795	82.017
1	84144580	82.023
1	84651365	82.34
1	84651365	82.341
1	84651365	82.351
1	84651365	82.355
1	84755311	81.766
1	84755311	82.816
1	84755311	82.915
1	84812833	82.936
1	84845644	83.125
1	85233404	85.393
1	85589930	83.267
1	85968224	83.891
1	85968224	83.894
1	85968224	83.922
1	86449536	83.709
1	87140214	89.665
1	87140660	89.438
1	87140660	90.022
1	87140661	89.553
1	87140661	89.667
1	87140661	89.749
1	87140661	90.914
1	87140661	92.181
1	87140672	89.515
1	87140672	92.982
1	87459417	88.624
1	87509482	87.967
1	87509482	88.624
1	87509482	88.639
1	87509482	88.752
1	87509482	88.787
1	87509482	90.603
1	87946251	86.917
1	88088812	86.917
1	88088812	86.923
1	88088812	86.926
1	88088812	86.931
1	88088812	86.938
1	88088812	86.948
1	88093670	86.923
1	88280205	86.481
1	88322748	91.643
1	88322820	91.647
2	4202319	14.378
2	4694333	11.734
2	7817327	13.461
2	10911355	13.54
2	10911355	13.575
2	10911356	13.54
2	10911358	13.54
2	10911360	12.988
2	10911360	13.214
2	10911360	13.442
2	10911360	13.51
2	10911360	13.515
2	10911360	13.54
2	10911360	13.541
2	10911360	13.564
2	10911360	13.575
2	10911360	13.584
2	10911360	13.649
2	10911360	13.843
2	13256806	13.29
2	13854680	14.037
2	13914404	15.185
2	13914404	15.189
2	13914404	15.263
2	14671637	14.595
2	14671637	14.633
2	14671637	14.663
2	14671640	14.625
2	14671640	14.633
2	15571371	6.462
2	16935460	14.581
2	16935460	14.633
2	16935460	14.641
2	16935460	14.65
2	18485069	17.27
2	19406545	8.218
2	19873304	9.702
2	19921684	19.277
2	19921687	19.498
2	19921687	19.714
2	19934163	9.818
2	19934163	9.873
2	19934163	10.098
2	21787827	20.226
2	21787829	20.205
2	21787829	20.222
2	21787829	20.235
2	21787829	20.24
2	21787829	20.305
2	21787829	20.313
2	21787829	20.57
2	21787829	20.782
2	21788784	20.452
2	21808866	20.269
2	21965487	18.876
2	23885399	22.668
2	25017414	22.273
2	25370147	22.448
2	25639644	23.334
2	25706037	23.433
2	25999493	26.967
2	26349683	26.33
2	26349683	26.342
2	26349683	26.389
2	27276103	27.36
2	27276114	27.361
2	27276127	27.36
2	27276729	27.36
2	27345592	29.172
2	27451374	28.327
2	27527543	29.406
2	27569702	27.835
2	27569702	27.896
2	27569702	27.923
2	27569702	27.956
2	27620643	28.867
2	27646352	27.157
2	28041279	29.172
2	28041279	29.178
2	28460955	30.435
2	28477644	29.713
2	28582692	30.371
2	28703842	31.795
2	28924425	33.115
2	28925922	31.488
2	28925922	31.558
2	29271350	32.236
2	29489664	33.796
2	29489666	33.796
2	29568246	32.097
2	29568246	36.173
2	29643643	34.422
2	29734369	32.524
2	30080945	35.092
2	30096020	34.375
2	30096020	34.422
2	30096020	34.433
2	30220612	36.429
2	30220612	36.452
2	30220612	36.467
2	30220615	36.467
2	30264125	34.856
2	30450017	35.561
2	30473947	34.232
2	30473947	34.427
2	30473947	34.445
2	30473947	34.456
2	30473947	35.283
2	30564337	34.658
2	30564337	34.679
2	30564343	34.658
2	31029025	40.582
2	31029025	40.981
2	32844860	42.671
2	32845083	42.671
2	33716215	43.862
2	34203746	45.178
2	34661319	49.569
2	35334126	47.129
2	35468438	46.584
2	37223835	52.624
2	37554578	49.869
2	37554653	49.917
2	37641699	52.801
2	38479345	59.058
2	38533031	56.587
2	38576610	56.372
2	38576828	56.97
2	38857937	60.141
2	38857937	60.447
2	38857937	60.469
2	38857937	60.474
2	39402181	61.224
2	39557238	61.77
2	40296554	63.435
2	40424964	63.429
2	40466543	20.212
2	40707520	67.494
2	40707520	67.5
2	40707550	67.493
2	40707550	67.494
2	40707550	67.495
2	40707550	67.496
2	40707550	67.497
2	41240921	64.916
2	41258971	64.924
2	41258971	64.931
2	41493084	64.924
2	41493216	64.911
2	41493216	65.612
2	41493238	64.924
2	41878492	66.529
2	41893405	64.911
2	41893538	64.924
2	41893542	64.924
2	41893545	64.927
2	41893640	64.922
2	41893640	64.924
2	42131765	65.395
2	42567199	67.77
2	44199967	71.022
2	44271733	71.402
2	44550044	74.981
2	44564163	69.531
2	45008494	69.354
2	45028521	74.22
2	45046071	73.462
2	45993304	76.016
2	45993314	76.036
2	45993317	75.948
2	45993317	76.016
3	298626	19.123
3	405443	19.33
3	405461	16.717
3	405461	18.938
3	405461	19.187
3	405461	19.25
3	405461	19.259
3	405461	19.263
3	405461	19.264
3	405461	19.274
3	560044	15.536
3	1181780	2.066
3	2021811	3.303
3	2021811	3.493
3	2021811	3.513
3	2022606	3.513
3	2647267	5.423
3	2851481	5.21
3	4654255	9.846
3	4654255	9.934
3	4654255	9.936
3	4654255	9.937
3	4654255	9.939
3	4654255	9.947
3	6722327	11.521
3	28208377	13.38
3	31640737	16.443
3	39577744	27.871
3	41027995	30.501
3	41247283	35.853
3	44060650	40.788
3	45536119	40.742
3	45681640	40.739
3	46014559	41.146
3	47802793	40.788
3	49544130	42.759
3	49974935	40.166
3	50132450	40.982
3	50132450	41.009
3	50132450	41.014
3	50132450	41.015
3	50132450	41.024
3	50132450	41.925
3	50132471	41.024
3	50133108	41.024
3	50277811	42.086
3	50277811	42.987
3	51716524	49.929
3	52547092	50.086
3	52547092	50.278
3	52594978	61.505
3	52661197	60.637
3	52713842	60.839
3	52945574	60.345
3	53054120	62.36
3	53120835	62.141
3	54206466	58.868
3	54206470	58.794
3	54206470	58.818
3	54206470	58.861
3	54206470	58.868
3	54206473	58.868
3	54206642	58.827
3	55719577	75.374
3	55741820	75.418
3	55788821	74.668
3	56160724	69.526
3	56239009	69.368
3	56239009	69.526
3	56427199	69.398
3	56912914	71.847
3	57127483	71.2
3	57226145	71.591
3	57226145	71.623
3	57226145	71.925
3	57226145	73.737
3	57226214	71.601
3	57226214	71.626
3	57226214	73.093
3	57325451	70.154
3	57325451	71.573
3	57325451	71.623
3	57325471	71.382
3	57325471	71.45
3	57325471	71.598
3	57326019	71.514
3	57408932	71.008
3	57560149	71.278
3	57691004	72.208
3	57691004	72.212
3	57780537	71.095
3	57780537	72.203
3	57780537	72.208
3	57780537	72.21
3	57780537	72.214
3	57780537	72.217
3	58908938	77.376
3	59115146	89.435
3	59115426	67.721
3	59115426	67.722
4	3604957	13.213
4	3604958	13.213
4	5758565	14.319
4	5758565	14.584
4	5985321	11.354
4	6088928	15.765
4	6088928	15.781
4	6088928	15.789
4	6088928	15.811
4	6433647	25.755
4	7094613	19.481
4	7127130	19.381
4	7824438	28.251
4	8195239	20.794
4	8703882	22.411
4	8910901	21.903
4	10586974	26.401
4	10723513	33.524
4	11091062	26.59
4	11114394	27.895
4	12318153	30.848
4	12347963	30.875
4	12644502	38.503
4	15552387	35.851
4	15719975	29.548
4	19302965	36.725
4	43447691	40.204
4	43525521	40.2
4	47263783	40.781
4	47269331	40.831
4	48473968	42.561
