chr	pos	cM	bin	source_chr	target_seqid
1	280477	0.000000	Bin1	1	CP056052.1
1	613328	0.239809	Bin2	1	CP056052.1
1	1097393	2.673076	Bin6	1	CP056052.1
1	1183958	4.693553	Bin7	1	CP056052.1
1	1317379	4.933362	Bin8	1	CP056052.1
1	1521473	6.146397	Bin10	1	CP056052.1
1	1613197	7.381028	Bin11	1	CP056052.1
1	1647248	7.620837	Bin12	1	CP056052.1
1	1789448	8.350777	Bin13	1	CP056052.1
1	2075663	9.843425	Bin14	1	CP056052.1
1	2699789	11.815690	Bin17	1	CP056052.1
1	2830962	12.055499	Bin18	1	CP056052.1
1	3386471	14.270553	Bin20	1	CP056052.1
1	3464730	14.510362	Bin21	1	CP056052.1
1	3516620	15.490785	Bin22	1	CP056052.1
1	3551995	15.973881	Bin23	1	CP056052.1
1	3591539	16.456976	Bin24	1	CP056052.1
1	3925290	16.940072	Bin25	1	CP056052.1
1	4438820	23.399251	Bin28	1	CP056052.1
1	4474990	24.379675	Bin29	1	CP056052.1
1	4552627	24.862771	Bin30	1	CP056052.1
1	4675409	26.097401	Bin31	1	CP056052.1
1	4822368	26.580497	Bin32	1	CP056052.1
1	4955066	27.063592	Bin33	1	CP056052.1
1	5074897	30.476991	Bin34	1	CP056052.1
1	5262841	31.682991	Bin37	1	CP056052.1
1	5328352	32.917621	Bin38	1	CP056052.1
1	5469171	33.647561	Bin39	1	CP056052.1
1	5598877	33.887370	Bin40	1	CP056052.1
1	5715204	34.610274	Bin42	1	CP056052.1
1	5884958	34.850083	Bin43	1	CP056052.1
1	6048995	35.089891	Bin44	1	CP056052.1
1	6131334	35.329700	Bin45	1	CP056052.1
1	6160132	36.059640	Bin46	1	CP056052.1
1	6333020	36.299448	Bin47	1	CP056052.1
1	6480730	36.782544	Bin48	1	CP056052.1
1	6611949	37.265639	Bin49	1	CP056052.1
1	7024719	38.246063	Bin50	1	CP056052.1
1	7861904	49.836144	Bin51	1	CP056052.1
1	8521947	52.962162	Bin52	1	CP056052.1
1	8719677	53.692102	Bin53	1	CP056052.1
1	8936061	53.931910	Bin54	1	CP056052.1
1	9147963	54.415006	Bin55	1	CP056052.1
1	9242030	54.654814	Bin56	1	CP056052.1
1	9504649	61.216924	Bin57	1	CP056052.1
1	9768110	61.456732	Bin58	1	CP056052.1
1	10202868	62.949381	Bin59	1	CP056052.1
1	10548717	63.929804	Bin60	1	CP056052.1
1	10607000	64.412900	Bin61	1	CP056052.1
1	10673650	64.652708	Bin62	1	CP056052.1
1	10808520	65.135804	Bin63	1	CP056052.1
1	10941009	65.375612	Bin64	1	CP056052.1
1	11290650	66.356036	Bin65	1	CP056052.1
1	11868198	70.966346	Bin66	1	CP056052.1
1	12380639	72.186578	Bin68	1	CP056052.1
1	12610632	74.477055	Bin69	1	CP056052.1
1	12731897	74.716863	Bin70	1	CP056052.1
1	12777760	75.199959	Bin71	1	CP056052.1
1	14421527	76.899808	Bin75	1	CP056052.1
1	14504970	77.139617	Bin76	1	CP056052.1
1	14676112	77.619234	Bin78	1	CP056052.1
1	14822419	78.349174	Bin79	1	CP056052.1
1	14897747	78.588983	Bin80	1	CP056052.1
1	15977810	80.539155	Bin83	1	CP056052.1
1	19471137	81.018772	Bin85	1	CP056052.1
1	19891930	81.748712	Bin86	1	CP056052.1
1	19933799	81.988521	Bin87	1	CP056052.1
1	19997004	82.228329	Bin88	1	CP056052.1
1	20175322	82.711425	Bin89	1	CP056052.1
1	20524292	83.691848	Bin90	1	CP056052.1
1	20851176	83.931657	Bin91	1	CP056052.1
1	21041368	84.414753	Bin92	1	CP056052.1
1	21140056	84.654561	Bin93	1	CP056052.1
1	21814224	85.373987	Bin96	1	CP056052.1
1	21869922	85.857083	Bin97	1	CP056052.1
1	21891830	86.340178	Bin98	1	CP056052.1
1	22133225	87.800058	Bin100	1	CP056052.1
1	22190331	88.283154	Bin101	1	CP056052.1
1	22301248	88.522962	Bin102	1	CP056052.1
1	23615523	98.630232	Bin104	1	CP056052.1
1	23922609	98.870041	Bin105	1	CP056052.1
1	24022197	99.109850	Bin106	1	CP056052.1
1	24098449	99.349658	Bin107	1	CP056052.1
1	24154304	99.832754	Bin108	1	CP056052.1
1	24210762	100.072562	Bin109	1	CP056052.1
1	24260847	100.555658	Bin110	1	CP056052.1
1	24339958	100.795467	Bin111	1	CP056052.1
1	24432144	101.278562	Bin112	1	CP056052.1
1	24622428	102.491598	Bin114	1	CP056052.1
1	24752505	102.731406	Bin115	1	CP056052.1
1	24958072	103.461346	Bin116	1	CP056052.1
1	25284928	104.184250	Bin118	1	CP056052.1
1	25438751	105.676899	Bin119	1	CP056052.1
1	25513748	106.657322	Bin120	1	CP056052.1
