chr	bin_start_cM	bin_end_cM	n_markers
1	0.0	10.0	10
1	10.0	20.0	8
1	20.0	30.0	6
1	30.0	40.0	14
1	40.0	50.0	1
1	50.0	60.0	5
1	60.0	70.0	9
1	70.0	80.0	10
1	80.0	90.0	16
1	90.0	100.0	5
1	100.0	110.0	12
1	110.0	120.0	9
1	120.0	130.0	6
1	130.0	140.0	20
1	140.0	150.0	16
1	150.0	160.0	10
1	160.0	170.0	5
1	170.0	180.0	2
1	180.0	190.0	4
1	190.0	200.0	15
1	200.0	210.0	1
2	0.0	10.0	14
2	10.0	20.0	10
2	20.0	30.0	0
2	30.0	40.0	10
2	40.0	50.0	3
2	50.0	60.0	4
2	60.0	70.0	14
2	70.0	80.0	23
2	80.0	90.0	6
2	90.0	100.0	0
2	100.0	110.0	0
2	110.0	120.0	0
2	120.0	130.0	0
2	130.0	140.0	6
2	140.0	150.0	14
2	150.0	160.0	3
2	160.0	170.0	9
2	170.0	180.0	6
3	0.0	10.0	3
3	10.0	20.0	6
3	20.0	30.0	4
3	30.0	40.0	3
3	40.0	50.0	5
3	50.0	60.0	18
3	60.0	70.0	5
3	70.0	80.0	8
3	80.0	90.0	11
3	90.0	100.0	23
3	100.0	110.0	6
3	110.0	120.0	9
3	120.0	130.0	17
3	130.0	140.0	22
3	140.0	150.0	5
3	150.0	160.0	8
3	160.0	170.0	0
3	170.0	180.0	4
3	180.0	190.0	12
4	0.0	10.0	13
4	10.0	20.0	15
4	20.0	30.0	6
4	30.0	40.0	13
4	40.0	50.0	9
4	50.0	60.0	6
4	60.0	70.0	8
4	70.0	80.0	6
4	80.0	90.0	6
4	90.0	100.0	14
4	100.0	110.0	17
4	110.0	120.0	1
4	120.0	130.0	3
5	0.0	10.0	13
5	10.0	20.0	12
5	20.0	30.0	9
5	30.0	40.0	5
5	40.0	50.0	9
5	50.0	60.0	7
5	60.0	70.0	11
5	70.0	80.0	10
5	80.0	90.0	8
5	90.0	100.0	3
5	100.0	110.0	14
5	110.0	120.0	8
6	0.0	10.0	20
6	10.0	20.0	15
6	20.0	30.0	3
6	30.0	40.0	6
6	40.0	50.0	8
6	50.0	60.0	9
6	60.0	70.0	5
6	70.0	80.0	8
6	80.0	90.0	11
6	90.0	100.0	9
6	100.0	110.0	4
6	110.0	120.0	2
6	120.0	130.0	12
6	130.0	140.0	2
6	140.0	150.0	1
7	0.0	10.0	15
7	10.0	20.0	4
7	20.0	30.0	4
7	30.0	40.0	0
7	40.0	50.0	4
7	50.0	60.0	5
7	60.0	70.0	11
7	70.0	80.0	1
7	80.0	90.0	5
7	90.0	100.0	2
7	100.0	110.0	5
7	110.0	120.0	9
7	120.0	130.0	3
7	130.0	140.0	4
8	0.0	10.0	8
8	10.0	20.0	1
8	20.0	30.0	10
8	30.0	40.0	11
8	40.0	50.0	14
8	50.0	60.0	13
8	60.0	70.0	11
8	70.0	80.0	0
8	80.0	90.0	2
8	90.0	100.0	7
8	100.0	110.0	8
8	110.0	120.0	6
9	0.0	10.0	20
9	10.0	20.0	8
9	20.0	30.0	1
9	30.0	40.0	0
9	40.0	50.0	0
9	50.0	60.0	1
9	60.0	70.0	10
9	70.0	80.0	16
9	80.0	90.0	24
9	90.0	100.0	13
9	100.0	110.0	6
10	0.0	10.0	6
10	10.0	20.0	13
10	20.0	30.0	10
10	30.0	40.0	7
10	40.0	50.0	9
10	50.0	60.0	5
10	60.0	70.0	4
10	70.0	80.0	7
10	80.0	90.0	11
11	0.0	10.0	7
11	10.0	20.0	8
11	20.0	30.0	11
11	30.0	40.0	5
11	40.0	50.0	4
11	50.0	60.0	14
11	60.0	70.0	11
11	70.0	80.0	11
11	80.0	90.0	7
11	90.0	100.0	9
11	100.0	110.0	16
11	110.0	120.0	8
12	0.0	10.0	3
12	10.0	20.0	4
12	20.0	30.0	0
12	30.0	40.0	1
12	40.0	50.0	13
12	50.0	60.0	7
12	60.0	70.0	5
12	70.0	80.0	3
12	80.0	90.0	9
12	90.0	100.0	8
12	100.0	110.0	6
