chr	n_bins	pos_min	pos_max	cM_min	cM_max
1	184	280477	44649333	0.000000	200.606253
2	122	54316	37145058	0.000000	175.413532
3	169	134960	39098112	0.000000	187.487722
4	117	113754	36495365	0.000000	126.507209
5	109	159916	30453850	0.000000	116.043092
6	115	36442	31328640	0.000000	144.172755
7	72	62058	30237174	0.000000	135.407854
8	91	267039	29576748	0.000000	118.640888
9	99	123811	22767912	0.000000	107.159809
10	72	489894	25623049	0.000000	85.333908
11	111	183474	32222020	0.000000	116.721616
12	59	402904	26428707	0.000000	106.768828
