source_file	map_id	linkage_group	locus	cM	bin	gene_model	chr	start	end	has_nam5_position
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	telomere1S	0.0						False
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	K1S2	0.0						False
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	mterf34	0.0		Zm00001eb000010	1	34617	40204	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	pco082477	0.01		Zm00001eb000020	1	41214	46762	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001eb000050	0.04		Zm00001eb000050	1	108554	114382	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	bnlg149	0.09		Zm00001eb000060	1	188559	189581	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001eb000070	0.09		Zm00001eb000070	1	190192	198832	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	gbss2	0.1		Zm00001eb000080	1	200262	203393	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	LOC103630233	0.12		Zm00001eb000100	1	206619	209723	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001eb000110	0.13		Zm00001eb000110	1	246422	247242	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001eb000120	0.14		Zm00001eb000120	1	315219	315846	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001eb000130	0.15		Zm00001eb000130	1	318880	320662	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	LOC103644372	0.16		Zm00001eb000140	1	325307	326897	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001d027250	0.17		Zm00001eb000150	1	328087	328525	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	LOC100276289	0.18		Zm00001eb000170	1	550834	564766	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001d027258	0.2		Zm00001eb000200	1	679957	680801	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	LOC100278565	0.2		Zm00001eb000190	1	679957	708016	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001d027263	0.36						False
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	mha11	0.4		Zm00001eb000210	1	1003108	1014318	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	si486065g06	0.41		Zm00001eb000220	1	1018151	1020839	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	pco071167a	0.42		Zm00001eb000230	1	1022421	1026593	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	stp3	0.43		Zm00001eb000240	1	1025166	1028066	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	LOC103630457	0.48		Zm00001eb000320	1	1217679	1222212	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	gpm923	0.5		Zm00001eb000330	1	1222255	1227093	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	thk1	0.55		Zm00001eb000340	1	1483183	1523873	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001d027281	0.56		Zm00001eb000370	1	1601134	1602423	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	expb3	0.57		Zm00001eb000380	1	1706577	1707999	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	npf4	0.58		Zm00001eb000390	1	1807198	1809676	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	umc1613	0.59		Zm00001eb000420	1	1832425	1834566	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	umc1353a	0.6		Zm00001eb000440	1	1929358	1930319	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	umc1354	0.6		Zm00001eb000430	1	1929337	1930143	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	gras53	0.6		Zm00001eb000470	1	2010318	2012354	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	umc1353b	0.6		Zm00001eb000450	1	1932708	1933552	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001d027289	0.6						False
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	spr1	0.61		Zm00001eb000480	1	2017706	2024879	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	tub1	0.63		Zm00001eb000490	1	2095539	2097445	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	zb3	1.0						False
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	polm1	1.0		Zm00001eb000520	1	2147897	2161903	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	prd4	1.38		Zm00001eb000540	1	2224430	2232174	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	csu738	1.4		Zm00001eb000550	1	2275575	2280181	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001d027304	1.41		Zm00001eb000570	1	2288852	2293806	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	lsi2	1.42		Zm00001eb000580	1	2376907	2378815	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	si605011d06a	1.44		Zm00001eb000590	1	2514265	2522242	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	ring1	1.46		Zm00001eb000600	1	2553424	2556496	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	ptp1	1.65		Zm00001eb000620	1	2620295	2626950	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001d027311	1.68		Zm00001eb000640	1	2737442	2740118	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	rfwd3	1.7		Zm00001eb000650	1	2765072	2771704	True
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	xth31	1.73		Zm00001eb000660	1	2772158	2773573	True
