marker_id	primer_side	qseqid	marker_type	linkage_group	cM	raw_hits	full_len_no_gap_hits	min_mismatch_full_len_no_gap	min_mismatch_bin	hits_at_min_mismatch	is_multihit_at_min_mismatch	best_full_len_no_gap_sseqid	best_full_len_no_gap_sstart	best_full_len_no_gap_send	best_full_len_no_gap_strand	best_full_len_no_gap_bitscore	best_any_alignment_length	best_any_coverage	best_any_pident	best_any_mismatch	best_any_gapopen	best_any_sseqid	best_any_sstart	best_any_send	best_any_bitscore	full_len_no_gap_mm0_hits	full_len_no_gap_mm1_hits	full_len_no_gap_mm2_hits	full_len_no_gap_mm3_hits	full_len_no_gap_mm4_hits	full_len_no_gap_mm5_hits	full_len_no_gap_mm_gt5_hits	full_len_no_gap_mm_le0_hits	has_full_len_no_gap_mm_le0	full_len_no_gap_mm_le1_hits	has_full_len_no_gap_mm_le1	full_len_no_gap_mm_le2_hits	has_full_len_no_gap_mm_le2	full_len_no_gap_mm_le3_hits	has_full_len_no_gap_mm_le3	full_len_no_gap_mm_le4_hits	has_full_len_no_gap_mm_le4	full_len_no_gap_mm_le5_hits	has_full_len_no_gap_mm_le5
BN12A	F	BN12A__F	SSR	C03	123.531	6195	1	0.0	0	1	False	gb|CM031008.1|	8186295.0	8186275.0	-	42.1	21	1.0	100.0	0	0	gb|CM031008.1|	8186295	8186275	42.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BN12A	R	BN12A__R	SSR	C03	123.531	2200	2	0.0	0	1	False	gb|CM031008.1|	8186049.0	8186071.0	+	46.1	23	1.0	100.0	0	0	gb|CM031008.1|	8186049	8186071	46.1	1	1	0	0	0	0	0	1	True	2	True	2	True	2	True	2	True	2	True
BN40C1	F	BN40C1__F	SSR	C03	27.483	7450	0		no_full_length_no_gap	0	False						20	0.9090909090909091	95.0	0	1	gb|CM031012.1|	8644919	8644938	24.3	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BN40C1	R	BN40C1__R	SSR	C03	27.483	3548	1	1.0	1	1	False	gb|CM031008.1|	71255575.0	71255598.0	+	40.1	24	1.0	95.833	1	0	gb|CM031008.1|	71255575	71255598	40.1	0	1	0	0	0	0	0	0	False	1	True	1	True	1	True	1	True	1	True
BRAS011	F	BRAS011__F	SSR	C02	125.932	1400	1	0.0	0	1	False	gb|CM031007.1|	52929128.0	52929148.0	+	42.1	21	1.0	100.0	0	0	gb|CM031007.1|	52929128	52929148	42.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BRAS011	R	BRAS011__R	SSR	C02	125.932	6747	7	0.0	0	2	True	gb|CM031007.1|	52885867.0	52885848.0	-	40.1	20	1.0	100.0	0	0	gb|CM031007.1|	52885867	52885848	40.1	2	0	5	0	0	0	0	2	True	2	True	7	True	7	True	7	True	7	True
BRAS072	F	BRAS072__F	SSR	C04	21.2	4606	2	0.0	0	1	False	gb|CM031009.1|	1687822.0	1687841.0	+	40.1	20	1.0	100.0	0	0	gb|CM031009.1|	1687822	1687841	40.1	1	0	1	0	0	0	0	1	True	1	True	2	True	2	True	2	True	2	True
BRAS072	R	BRAS072__R	SSR	C04	21.2	2324	0		no_full_length_no_gap	0	False						19	0.9047619047619048	89.474	2	0	gb|CM031009.1|	33093432	33093414	22.3	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BRAS120	F	BRAS120__F	SSR	C03	114.754	27022	1	0.0	0	1	False	gb|CM031008.1|	11183700.0	11183719.0	+	40.1	20	1.0	100.0	0	0	gb|CM031008.1|	11183700	11183719	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BRAS120	R	BRAS120__R	SSR	C03	114.754	1710	0		no_full_length_no_gap	0	False						17	0.85	100.0	0	0	gb|JAEMQI010000307.1|	965	949	34.2	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BRMS015	F	BRMS015__F	SSR	C06	57.757	4550	1	0.0	0	1	False	gb|CM031011.1|	34125939.0	34125960.0	+	44.1	22	1.0	100.0	0	0	gb|CM031011.1|	34125939	34125960	44.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BRMS015	R	BRMS015__R	SSR	C06	57.757	5201	0		no_full_length_no_gap	0	False						20	0.9090909090909091	95.0	1	0	gb|CM031011.1|	34126176	34126157	32.2	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BnGMS102	F	BnGMS102__F	SSR	C06	83.184	1945	1	0.0	0	1	False	gb|CM031011.1|	5853361.0	5853380.0	+	40.1	20	1.0	100.0	0	0	gb|CM031011.1|	5853361	5853380	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BnGMS102	R	BnGMS102__R	SSR	C06	83.184	2749	0		no_full_length_no_gap	0	False						19	0.95	89.474	2	0	gb|CM031009.1|	45426012	45425994	22.3	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BnGMS24	F	BnGMS24__F	SSR	C06	67.602	1804	3	0.0	0	2	True	gb|CM031013.1|	41284098.0	41284117.0	+	40.1	20	1.0	100.0	0	0	gb|CM031013.1|	41284098	41284117	40.1	2	1	0	0	0	0	0	2	True	3	True	3	True	3	True	3	True	3	True
BnGMS24	R	BnGMS24__R	SSR	C06	67.602	3990	8	0.0	0	1	False	gb|CM031011.1|	29670236.0	29670217.0	-	40.1	20	1.0	100.0	0	0	gb|CM031011.1|	29670236	29670217	40.1	1	0	7	0	0	0	0	1	True	1	True	8	True	8	True	8	True	8	True
BnGMS292	F	BnGMS292__F	SSR	C05	43.468	4915	1	0.0	0	1	False	gb|CM031010.1|	5949078.0	5949059.0	-	40.1	20	1.0	100.0	0	0	gb|CM031010.1|	5949078	5949059	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BnGMS292	R	BnGMS292__R	SSR	C05	43.468	2765	1	0.0	0	1	False	gb|CM031010.1|	5948722.0	5948741.0	+	40.1	20	1.0	100.0	0	0	gb|CM031010.1|	5948722	5948741	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BnGMS310	F	BnGMS310__F	SSR	C02	143.75	2481	1	0.0	0	1	False	gb|CM031008.1|	57764819.0	57764800.0	-	40.1	20	1.0	100.0	0	0	gb|CM031008.1|	57764819	57764800	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BnGMS310	R	BnGMS310__R	SSR	C02	143.75	5220	2	0.0	0	1	False	gb|CM031008.1|	57764461.0	57764480.0	+	40.1	20	1.0	100.0	0	0	gb|CM031008.1|	57764461	57764480	40.1	1	0	1	0	0	0	0	1	True	1	True	2	True	2	True	2	True	2	True
BnGMS417	F	BnGMS417__F	SSR	C03	82.375	2874	0		no_full_length_no_gap	0	False						20	0.9523809523809523	100.0	0	0	gb|CM031008.1|	25962055	25962036	40.1	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BnGMS417	R	BnGMS417__R	SSR	C03	82.375	3041	0		no_full_length_no_gap	0	False						19	0.95	94.737	1	0	gb|CM031009.1|	5427918	5427900	30.2	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BnGMS426	F	BnGMS426__F	SSR	C03	11.48	4004	1	0.0	0	1	False	gb|CM031008.1|	75300449.0	75300430.0	-	40.1	20	1.0	100.0	0	0	gb|CM031008.1|	75300449	75300430	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BnGMS426	R	BnGMS426__R	SSR	C03	11.48	2962	3	1.0	1	1	False	gb|CM031008.1|	75300233.0	75300252.0	+	32.2	20	1.0	95.0	1	0	gb|CM031008.1|	75300233	75300252	32.2	0	1	2	0	0	0	0	0	False	1	True	3	True	3	True	3	True	3	True
BnGMS4	F	BnGMS4__F	SSR	C08	72.902	7793	5	0.0	0	2	True	gb|CM031013.1|	39199255.0	39199236.0	-	40.1	20	1.0	100.0	0	0	gb|CM031013.1|	39199255	39199236	40.1	2	0	3	0	0	0	0	2	True	2	True	5	True	5	True	5	True	5	True
BnGMS4	R	BnGMS4__R	SSR	C08	72.902	1061	1	0.0	0	1	False	gb|CM031013.1|	39198909.0	39198928.0	+	40.1	20	1.0	100.0	0	0	gb|CM031013.1|	39198909	39198928	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BnGMS552	F	BnGMS552__F	SSR	C07	92.321	4231	63	0.0	0	59	True	gb|JAEMQI010000418.1|	1041.0	1060.0	+	40.1	20	1.0	100.0	0	0	gb|JAEMQI010000418.1|	1041	1060	40.1	59	2	2	0	0	0	0	59	True	61	True	63	True	63	True	63	True	63	True
BnGMS552	R	BnGMS552__R	SSR	C07	92.321	8106	24	0.0	0	10	True	gb|CM031012.1|	12658043.0	12658062.0	+	40.1	20	1.0	100.0	0	0	gb|CM031012.1|	12658043	12658062	40.1	10	7	7	0	0	0	0	10	True	17	True	24	True	24	True	24	True	24	True
BnGMS598	F	BnGMS598__F	SSR	C07	55.576	1845	1	0.0	0	1	False	gb|CM031012.1|	48109475.0	48109456.0	-	40.1	20	1.0	100.0	0	0	gb|CM031012.1|	48109475	48109456	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BnGMS598	R	BnGMS598__R	SSR	C07	55.576	15602	17	0.0	0	1	False	gb|CM031012.1|	48109084.0	48109103.0	+	40.1	20	1.0	100.0	0	0	gb|CM031012.1|	48109084	48109103	40.1	1	0	16	0	0	0	0	1	True	1	True	17	True	17	True	17	True	17	True
BnGMS626	F	BnGMS626__F	SSR	C07	73.114	2158	3	0.0	0	2	True	gb|CM031012.1|	42711990.0	42711971.0	-	40.1	20	1.0	100.0	0	0	gb|CM031012.1|	42711990	42711971	40.1	2	1	0	0	0	0	0	2	True	3	True	3	True	3	True	3	True	3	True
BnGMS626	R	BnGMS626__R	SSR	C07	73.114	2294	2	0.0	0	1	False	gb|CM031012.1|	42711765.0	42711784.0	+	40.1	20	1.0	100.0	0	0	gb|CM031012.1|	42711765	42711784	40.1	1	1	0	0	0	0	0	1	True	2	True	2	True	2	True	2	True	2	True
BnGMS629	F	BnGMS629__F	SSR	C02	138.051	2849	4	0.0	0	2	True	gb|CM031012.1|	44498788.0	44498807.0	+	40.1	20	1.0	100.0	0	0	gb|CM031012.1|	44498788	44498807	40.1	2	0	2	0	0	0	0	2	True	2	True	4	True	4	True	4	True	4	True
BnGMS629	R	BnGMS629__R	SSR	C02	138.051	2478	1	0.0	0	1	False	gb|CM031007.1|	60927091.0	60927071.0	-	42.1	21	1.0	100.0	0	0	gb|CM031007.1|	60927091	60927071	42.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BnGMS631	F	BnGMS631__F	SSR	C03	23.895	10224	156	0.0	0	49	True	gb|JAEMQI010000020.1|	221881.0	221901.0	+	42.1	22	1.0476190476190477	95.455	0	1	gb|CM031010.1|	14279408	14279387	28.2	49	57	50	0	0	0	0	49	True	106	True	156	True	156	True	156	True	156	True
