chr	pos	cM	selected_orientation	reason_removed
1	2967161	8.698	increasing	breaks_monotonic_pos_cM_chain
1	4644404	15.567	increasing	breaks_monotonic_pos_cM_chain
1	5019507	13.291	increasing	breaks_monotonic_pos_cM_chain
1	19690776	0.0	increasing	breaks_monotonic_pos_cM_chain
1	30619387	24.797	increasing	breaks_monotonic_pos_cM_chain
1	34774889	23.267	increasing	breaks_monotonic_pos_cM_chain
1	58507121	31.025	increasing	breaks_monotonic_pos_cM_chain
1	60877545	23.926	increasing	breaks_monotonic_pos_cM_chain
1	60877687	23.783	increasing	breaks_monotonic_pos_cM_chain
1	62731262	28.149	increasing	breaks_monotonic_pos_cM_chain
1	65028487	38.541	increasing	breaks_monotonic_pos_cM_chain
1	65627217	34.892	increasing	breaks_monotonic_pos_cM_chain
1	65854890	38.926	increasing	breaks_monotonic_pos_cM_chain
1	66053547	28.479	increasing	breaks_monotonic_pos_cM_chain
1	66053672	28.291	increasing	breaks_monotonic_pos_cM_chain
1	66615373	42.286	increasing	breaks_monotonic_pos_cM_chain
1	66757200	42.021	increasing	breaks_monotonic_pos_cM_chain
1	66897180	37.928	increasing	breaks_monotonic_pos_cM_chain
1	67001953	42.933	increasing	breaks_monotonic_pos_cM_chain
1	67271838	41.733	increasing	breaks_monotonic_pos_cM_chain
1	67276340	43.333	increasing	breaks_monotonic_pos_cM_chain
1	67305393	43.294	increasing	breaks_monotonic_pos_cM_chain
1	73928936	59.934	increasing	breaks_monotonic_pos_cM_chain
1	74794275	62.3	increasing	breaks_monotonic_pos_cM_chain
1	75266586	61.148	increasing	breaks_monotonic_pos_cM_chain
1	75565740	60.081	increasing	breaks_monotonic_pos_cM_chain
1	77072312	63.434	increasing	breaks_monotonic_pos_cM_chain
1	79768729	75.718	increasing	breaks_monotonic_pos_cM_chain
1	80095734	76.519	increasing	breaks_monotonic_pos_cM_chain
1	81517833	81.408	increasing	breaks_monotonic_pos_cM_chain
1	81813679	81.493	increasing	breaks_monotonic_pos_cM_chain
1	84095795	82.017	increasing	breaks_monotonic_pos_cM_chain
1	84755311	81.766	increasing	breaks_monotonic_pos_cM_chain
1	85233404	85.393	increasing	breaks_monotonic_pos_cM_chain
1	86449536	83.709	increasing	breaks_monotonic_pos_cM_chain
1	87140214	89.665	increasing	breaks_monotonic_pos_cM_chain
1	87140660	89.438	increasing	breaks_monotonic_pos_cM_chain
1	87140661	89.553	increasing	breaks_monotonic_pos_cM_chain
1	87140672	89.515	increasing	breaks_monotonic_pos_cM_chain
1	87459417	88.624	increasing	breaks_monotonic_pos_cM_chain
1	87509482	87.967	increasing	breaks_monotonic_pos_cM_chain
1	88280205	86.481	increasing	breaks_monotonic_pos_cM_chain
2	4202319	14.378	increasing	breaks_monotonic_pos_cM_chain
2	10911360	12.988	increasing	breaks_monotonic_pos_cM_chain
2	13256806	13.29	increasing	breaks_monotonic_pos_cM_chain
2	13914404	15.185	increasing	breaks_monotonic_pos_cM_chain
2	15571371	6.462	increasing	breaks_monotonic_pos_cM_chain
2	16935460	14.581	increasing	breaks_monotonic_pos_cM_chain
2	19406545	8.218	increasing	breaks_monotonic_pos_cM_chain
2	19873304	9.702	increasing	breaks_monotonic_pos_cM_chain
2	19934163	9.818	increasing	breaks_monotonic_pos_cM_chain
2	21787829	20.205	increasing	breaks_monotonic_pos_cM_chain
2	21808866	20.269	increasing	breaks_monotonic_pos_cM_chain
2	21965487	18.876	increasing	breaks_monotonic_pos_cM_chain
2	23885399	22.668	increasing	breaks_monotonic_pos_cM_chain
2	26349683	26.33	increasing	breaks_monotonic_pos_cM_chain
2	27276114	27.361	increasing	breaks_monotonic_pos_cM_chain
2	27345592	29.172	increasing	breaks_monotonic_pos_cM_chain
2	27527543	29.406	increasing	breaks_monotonic_pos_cM_chain
2	27569702	27.835	increasing	breaks_monotonic_pos_cM_chain
2	27646352	27.157	increasing	breaks_monotonic_pos_cM_chain
2	28460955	30.435	increasing	breaks_monotonic_pos_cM_chain
2	28925922	31.488	increasing	breaks_monotonic_pos_cM_chain
2	29271350	32.236	increasing	breaks_monotonic_pos_cM_chain
2	29568246	32.097	increasing	breaks_monotonic_pos_cM_chain
2	29734369	32.524	increasing	breaks_monotonic_pos_cM_chain
2	30096020	34.375	increasing	breaks_monotonic_pos_cM_chain
2	30264125	34.856	increasing	breaks_monotonic_pos_cM_chain
2	30450017	35.561	increasing	breaks_monotonic_pos_cM_chain
2	30473947	34.232	increasing	breaks_monotonic_pos_cM_chain
2	30564337	34.658	increasing	breaks_monotonic_pos_cM_chain
2	30564343	34.658	increasing	breaks_monotonic_pos_cM_chain
2	35334126	47.129	increasing	breaks_monotonic_pos_cM_chain
2	35468438	46.584	increasing	breaks_monotonic_pos_cM_chain
2	37223835	52.624	increasing	breaks_monotonic_pos_cM_chain
2	38479345	59.058	increasing	breaks_monotonic_pos_cM_chain
2	38576610	56.372	increasing	breaks_monotonic_pos_cM_chain
2	40424964	63.429	increasing	breaks_monotonic_pos_cM_chain
2	40466543	20.212	increasing	breaks_monotonic_pos_cM_chain
2	40707520	67.494	increasing	breaks_monotonic_pos_cM_chain
2	40707550	67.493	increasing	breaks_monotonic_pos_cM_chain
2	41493216	64.911	increasing	breaks_monotonic_pos_cM_chain
2	41878492	66.529	increasing	breaks_monotonic_pos_cM_chain
2	41893405	64.911	increasing	breaks_monotonic_pos_cM_chain
2	41893640	64.922	increasing	breaks_monotonic_pos_cM_chain
2	44564163	69.531	increasing	breaks_monotonic_pos_cM_chain
2	45008494	69.354	increasing	breaks_monotonic_pos_cM_chain
2	45028521	74.22	increasing	breaks_monotonic_pos_cM_chain
2	45046071	73.462	increasing	breaks_monotonic_pos_cM_chain
2	45993317	75.948	increasing	breaks_monotonic_pos_cM_chain
3	298626	19.123	increasing	breaks_monotonic_pos_cM_chain
3	405443	19.33	increasing	breaks_monotonic_pos_cM_chain
3	405461	16.717	increasing	breaks_monotonic_pos_cM_chain
3	560044	15.536	increasing	breaks_monotonic_pos_cM_chain
3	2851481	5.21	increasing	breaks_monotonic_pos_cM_chain
3	45536119	40.742	increasing	breaks_monotonic_pos_cM_chain
3	45681640	40.739	increasing	breaks_monotonic_pos_cM_chain
3	46014559	41.146	increasing	breaks_monotonic_pos_cM_chain
3	49544130	42.759	increasing	breaks_monotonic_pos_cM_chain
3	49974935	40.166	increasing	breaks_monotonic_pos_cM_chain
3	52594978	61.505	increasing	breaks_monotonic_pos_cM_chain
3	52945574	60.345	increasing	breaks_monotonic_pos_cM_chain
3	53120835	62.141	increasing	breaks_monotonic_pos_cM_chain
3	54206466	58.868	increasing	breaks_monotonic_pos_cM_chain
3	54206470	58.794	increasing	breaks_monotonic_pos_cM_chain
3	54206473	58.868	increasing	breaks_monotonic_pos_cM_chain
3	54206642	58.827	increasing	breaks_monotonic_pos_cM_chain
3	55719577	75.374	increasing	breaks_monotonic_pos_cM_chain
3	55741820	75.418	increasing	breaks_monotonic_pos_cM_chain
3	55788821	74.668	increasing	breaks_monotonic_pos_cM_chain
3	56160724	69.526	increasing	breaks_monotonic_pos_cM_chain
3	56912914	71.847	increasing	breaks_monotonic_pos_cM_chain
3	57325451	70.154	increasing	breaks_monotonic_pos_cM_chain
3	57325471	71.382	increasing	breaks_monotonic_pos_cM_chain
3	57326019	71.514	increasing	breaks_monotonic_pos_cM_chain
3	57408932	71.008	increasing	breaks_monotonic_pos_cM_chain
3	57560149	71.278	increasing	breaks_monotonic_pos_cM_chain
3	57780537	71.095	increasing	breaks_monotonic_pos_cM_chain
3	59115426	67.721	increasing	breaks_monotonic_pos_cM_chain
4	5985321	11.354	increasing	breaks_monotonic_pos_cM_chain
4	6433647	25.755	increasing	breaks_monotonic_pos_cM_chain
4	7127130	19.381	increasing	breaks_monotonic_pos_cM_chain
4	7824438	28.251	increasing	breaks_monotonic_pos_cM_chain
4	8910901	21.903	increasing	breaks_monotonic_pos_cM_chain
4	10723513	33.524	increasing	breaks_monotonic_pos_cM_chain
4	12644502	38.503	increasing	breaks_monotonic_pos_cM_chain
4	15719975	29.548	increasing	breaks_monotonic_pos_cM_chain
4	43525521	40.2	increasing	breaks_monotonic_pos_cM_chain
