chr	pos	cM
1	510709	4.532
1	1469642	6.71
1	2818203	10.169
1	3231168	11.907
1	3694828	15.768
1	7138314	18.576
1	14107042	21.125
1	14815802	23.548
1	25501380	24.371
1	28146217	24.847
1	30900854	25.789
1	54738958	27.244
1	60207942	27.828
1	61848057	28.945
1	64336038	35.392
1	64684580	35.899
1	65182850	36.587
1	65721796	37.235
1	65770396	38.253
1	65770400	38.272
1	65771363	38.325
1	67733812	38.902
1	67805574	38.905
1	67821222	40.067
1	67821419	40.067
1	67932856	40.083
1	68306580	40.514
1	71082823	46.072
1	71116443	46.775
1	72006329	50.077
1	72006529	50.123
1	73171679	50.623
1	73309248	50.784
1	73834956	52.795
1	73882634	55.774
1	74448862	56.522
1	74921059	57.545
1	75121299	59.529
1	75196506	61.635
1	76781756	62.553
1	77039028	63.763
1	79520001	72.646
1	79880009	75.174
1	79911287	75.631
1	79911289	75.631
1	79946769	76.723
1	82100630	78.463
1	82331310	79.247
1	83144953	80.621
1	83451642	81.476
1	83896183	81.579
1	83987313	82.021
1	84144580	82.023
1	84651365	82.34
1	84812833	82.936
1	84845644	83.125
1	85589930	83.267
1	85968224	83.891
1	87946251	86.917
1	88088812	86.917
1	88093670	86.923
1	88322748	91.643
1	88322820	91.647
2	4694333	11.734
2	7817327	13.461
2	10911355	13.54
2	10911356	13.54
2	10911358	13.54
2	13854680	14.037
2	14671637	14.595
2	14671640	14.625
2	18485069	17.27
2	19921684	19.277
2	19921687	19.498
2	21787827	20.226
2	21788784	20.452
2	25017414	22.273
2	25370147	22.448
2	25639644	23.334
2	25706037	23.433
2	25999493	26.967
2	27276103	27.36
2	27276127	27.36
2	27276729	27.36
2	27451374	28.327
2	27620643	28.867
2	28041279	29.172
2	28477644	29.713
2	28582692	30.371
2	28703842	31.795
2	28924425	33.115
2	29489664	33.796
2	29489666	33.796
2	29643643	34.422
2	30080945	35.092
2	30220612	36.429
2	30220615	36.467
2	31029025	40.582
2	32844860	42.671
2	32845083	42.671
2	33716215	43.862
2	34203746	45.178
2	34661319	49.569
2	37554578	49.869
2	37554653	49.917
2	37641699	52.801
2	38533031	56.587
2	38576828	56.97
2	38857937	60.141
2	39402181	61.224
2	39557238	61.77
2	40296554	63.435
2	41240921	64.916
2	41258971	64.924
2	41493084	64.924
2	41493238	64.924
2	41893538	64.924
2	41893542	64.924
2	41893545	64.927
2	42131765	65.395
2	42567199	67.77
2	44199967	71.022
2	44271733	71.402
2	44550044	74.981
2	45993304	76.016
2	45993314	76.036
3	1181780	2.066
3	2021811	3.303
3	2022606	3.513
3	2647267	5.423
3	4654255	9.846
3	6722327	11.521
3	28208377	13.38
3	31640737	16.443
3	39577744	27.871
3	41027995	30.501
3	41247283	35.853
3	44060650	40.788
3	47802793	40.788
3	50132450	40.982
3	50132471	41.024
3	50133108	41.024
3	50277811	42.086
3	51716524	49.929
3	52547092	50.086
3	52661197	60.637
3	52713842	60.839
3	53054120	62.36
3	56239009	69.368
3	56427199	69.398
3	57127483	71.2
3	57226145	71.591
3	57226214	71.601
3	57691004	72.208
3	58908938	77.376
3	59115146	89.435
4	3604957	13.213
4	3604958	13.213
4	5758565	14.319
4	6088928	15.765
4	7094613	19.481
4	8195239	20.794
4	8703882	22.411
4	10586974	26.401
4	11091062	26.59
4	11114394	27.895
4	12318153	30.848
4	12347963	30.875
4	15552387	35.851
4	19302965	36.725
4	43447691	40.204
4	47263783	40.781
4	47269331	40.831
4	48473968	42.561
4	49914181	43.765
4	50674993	45.15
4	52541427	49.216
4	52773387	49.975
4	55346958	50.792
4	55755503	52.693
4	55814875	53.409
4	56199106	55.627
4	59195814	58.662
4	59210384	58.819
4	59210482	58.819
4	60379241	64.567
4	60379368	64.968
4	62391020	69.8
4	63428072	75.44
4	64032193	75.766
4	64477959	78.714
4	64598435	79.5
4	64846870	79.5
4	65177035	83.886
4	65204794	84.544
4	66783619	88.566
4	66981576	88.867
4	67014289	89.282
4	67140935	89.649
4	67495185	91.066
4	67527578	91.264
4	67727483	92.321
4	68140674	95.148
4	68210423	95.613
4	68509887	96.133
4	68685699	98.99
4	68943378	99.734
5	475917	1.616
5	639346	2.77
5	2282813	7.183
5	2282818	7.381
5	2630849	8.294
5	4038758	13.686
5	4235715	15.191
5	4396977	15.341
5	4728482	17.547
5	4881689	18.195
5	7431667	25.559
5	7432544	25.559
5	7432643	25.559
5	8385142	29.911
5	8386983	30.081
5	8602330	30.653
5	9449726	31.411
5	9567990	32.615
5	9628286	34.123
5	10378317	35.517
5	11200619	38.474
5	14275791	40.25
5	19158499	41.333
5	19193259	43.718
5	46558005	44.75
5	46729168	44.896
5	46729171	44.896
5	46885747	46.14
5	48957667	48.95
5	51442454	52.096
5	51470172	56.967
5	52213095	58.059
5	52213173	58.059
5	54704835	63.803
6	581390	0.539
6	952101	1.564
6	960035	2.392
6	1199195	4.255
6	2349513	5.93
6	22311521	10.048
6	26740064	10.048
6	31440571	11.745
6	31603941	14.191
6	38373978	18.79
6	39565020	21.601
6	39650201	21.648
6	41307916	25.755
6	43280390	26.692
6	44446174	28.379
6	46242956	33.377
6	46359572	34.322
6	46767211	34.322
6	46767221	34.322
6	46953988	34.72
6	47661512	35.296
6	47755595	35.296
6	47803974	35.302
6	48711146	38.833
6	48910377	39.705
6	49075146	41.998
6	49705566	45.148
6	50154057	47.364
6	50917006	49.367
6	51088498	49.809
6	51115427	49.89
6	52334463	53.795
6	52789918	56.51
6	52818057	56.512
6	52818160	56.512
6	52818203	56.512
6	52818378	56.512
6	53214964	59.125
6	54427947	59.255
6	54428164	59.255
6	54428165	59.274
6	54680829	62.481
6	56414140	64.186
6	56675891	65.315
6	56749446	65.401
6	57334590	65.943
6	57940708	67.158
6	57940757	67.33
6	57940764	68.338
6	58017580	70.516
7	687291	2.659
7	1777118	2.985
7	1964588	3.231
7	2550535	4.562
7	3303107	9.087
7	6096223	11.434
7	6982491	12.249
7	36788141	17.964
7	39206389	18.719
7	40163523	18.989
7	40931544	20.081
7	42043713	21.168
7	42363903	22.057
7	42776916	23.593
7	42805703	23.718
7	42816299	23.737
7	42924498	24.555
7	43259765	25.019
7	43596257	26.686
7	44206993	28.701
7	45551001	30.844
7	45551036	30.844
7	45917172	33.209
7	46503550	34.276
7	48305218	40.502
7	48569615	42.701
7	48814328	43.254
7	50710645	44.577
7	52065648	49.52
7	52065657	49.662
7	52098992	50.116
7	52498605	50.491
7	52974360	53.523
7	53799659	56.745
7	54633421	58.595
7	54633422	58.595
7	54633569	58.595
7	55420180	61.614
7	55702706	62.147
7	56166710	63.43
7	56651862	63.806
7	56916171	64.94
7	57383958	67.064
8	2404959	11.123
8	3532796	11.852
8	4596385	12.496
8	5692745	14.87
8	6321786	15.476
8	6846144	16.231
8	6846218	16.242
8	6846221	16.249
8	6846460	16.254
8	7332182	17.603
8	8472056	17.856
8	30025471	19.828
8	32376862	21.378
8	36863638	23.574
8	38130833	25.092
8	38684199	25.783
8	38961474	25.817
8	42826029	26.91
8	43117840	27.618
8	44459370	29.081
8	45919434	37.056
8	47690843	38.252
8	49096599	40.105
8	49097136	40.171
8	50132511	48.691
8	52479275	52.899
8	53103373	55.508
8	53149549	55.981
8	53301457	55.99
8	53440117	55.99
8	54709742	57.256
8	55027732	60.448
8	57177168	62.25
8	57178514	62.647
8	57290176	62.647
8	57290181	62.647
8	57358335	63.404
8	57639250	64.333
8	57690192	64.687
8	57962958	65.034
8	58422287	65.698
8	58604496	66.412
8	58764444	67.791
9	831875	4.927
9	2345795	15.594
9	2345796	15.594
9	3476267	17.957
9	3571359	19.944
9	4114138	20.566
9	9559911	33.402
9	18288931	39.474
9	18288987	39.586
9	34137871	39.625
9	51477883	40.83
9	54181202	45.609
9	54297084	45.817
9	54716891	46.308
9	54815626	46.593
9	54925535	47.698
9	56104281	50.736
9	56226267	51.182
9	56552391	54.987
9	56555736	55.203
9	56953438	55.642
9	57976818	58.667
9	58329653	61.222
9	58413779	61.264
9	59165401	61.638
9	59431650	62.801
9	59431745	62.801
9	59440237	62.801
9	59440240	62.801
9	59918955	64.076
9	60709618	64.656
9	60883822	65.375
9	61013927	65.671
9	61110298	66.79
9	61680912	69.522
9	62033713	70.956
9	62885757	72.562
9	63001833	72.703
9	63001885	72.719
9	63339315	73.536
9	63987896	74.856
9	63987925	76.288
9	64428872	76.93
9	64828084	79.161
9	65658883	80.749
9	65687488	80.766
9	66300693	82.423
9	66320339	82.536
9	66778416	86.542
9	67360701	86.621
10	291396	2.595
10	294026	3.01
10	645046	3.784
10	675172	4.383
10	1614384	6.575
10	2034738	7.58
10	2034836	7.609
10	2034840	7.609
10	2346214	8.962
10	2361285	10.322
10	3132180	12.432
10	3132266	12.432
10	4106371	14.581
10	10737387	18.531
10	10737388	19.247
10	10753815	19.435
10	17967322	21.197
10	17967543	21.197
10	17967834	21.197
10	29044920	21.796
10	31387549	23.528
10	35603439	25.672
10	44025840	26.215
10	44301243	26.728
10	46391532	27.672
10	47804246	36.083
