chr	n_positions	pos_min	pos_max	cM_min	cM_max	spearman_pos_cM	orientation	increasing_cM_steps	decreasing_cM_steps	equal_cM_steps	increasing_fraction_without_ties	decreasing_fraction_without_ties
1	105	510709	88322820	0.0	91.647	0.9905685561818928	increasing	64	37	3	0.6336633663366337	0.36633663366336633
2	111	4202319	45993317	6.462	76.036	0.9726221869385057	increasing	64	38	8	0.6274509803921569	0.37254901960784315
3	59	298626	59115426	2.066	89.435	0.9348451869817456	increasing	35	22	1	0.6140350877192983	0.38596491228070173
4	78	3604957	68943378	11.354	99.734	0.9939869117529133	increasing	50	24	3	0.6756756756756757	0.32432432432432434
5	55	475917	55169241	0.0	63.803	0.9895731919277841	increasing	33	18	3	0.6470588235294118	0.35294117647058826
6	69	581390	58017580	0.539	70.516	0.9963457136896999	increasing	44	17	7	0.7213114754098361	0.2786885245901639
7	61	687291	57433724	0.0	67.064	0.9968400894393489	increasing	40	18	2	0.6896551724137931	0.3103448275862069
8	73	2404959	59147419	10.679	67.791	0.9905508302712697	increasing	46	24	2	0.6571428571428571	0.34285714285714286
9	79	831875	67360701	4.927	87.866	0.9844925410290798	increasing	54	22	2	0.7105263157894737	0.2894736842105263
10	68	291396	59277472	0.0	68.865	0.9804831050405851	increasing	42	21	4	0.6666666666666666	0.3333333333333333
11	63	478455	45763473	0.759	62.862	0.9644130333581518	increasing	40	19	3	0.6779661016949152	0.3220338983050847
12	38	261416	59573113	0.0	75.166	-0.9813426725855656	decreasing	10	26	1	0.2777777777777778	0.7222222222222222
