chr	pos	cM
1	421394	0
1	426647	0
1	526474	0
1	526820	0
1	526965	0
1	526980	0
1	526983	0
1	527185	0
1	1459870	0.5178
1	1686929	0.5178
1	1696108	0
1	1696469	1.5534
1	1696485	0.5178
1	1703935	0.5178
1	1819721	0.5178
1	1821550	1.0356
1	1824773	0.5178
1	1984231	1.0356
1	1996139	1.0356
1	2049476	2.589
1	2049491	1.0356
1	2061792	3.1068
1	2061851	0.5178
1	2063405	1.0356
1	2063589	2.589
1	2076981	1.0356
1	2076992	1.0356
1	2077077	2.0712
1	2077214	4.1423
1	2077558	1.0356
1	2077572	1.0356
1	2077870	2.589
1	2077882	1.0356
1	2078666	1.0356
1	2083010	3.1068
1	2083028	1.5534
1	2083171	2.0712
1	2084080	2.589
1	2089394	2.589
1	2277718	2.0712
1	2278228	0.5178
1	2280039	2.589
1	2318047	0.5178
1	2318052	1.5534
1	2348036	3.1068
1	2348407	3.1068
1	2350709	3.1068
1	2355950	3.1068
1	2383928	3.1068
1	2384237	4.1423
1	2384239	4.1423
1	2384241	1.0356
1	2569069	6.4151
1	2598896	3.1068
1	2619939	3.1068
1	2631125	4.1423
1	2685316	3.1068
1	2685322	3.1068
1	2688631	3.1068
1	2689945	4.1423
1	2689949	3.1068
1	2689956	2.589
1	2691868	4.1423
1	2741074	3.1068
1	2768996	1.0356
1	3903581	6.4151
1	3908577	1.0356
1	4036172	6.4151
1	4036509	6.4151
1	4175538	6.4151
1	4175548	6.4151
1	4839183	2.0712
1	4839331	11.1465
1	4839337	3.1068
1	4841072	6.4151
1	4868356	11.7832
1	4869285	2.0712
1	5073145	3.1068
1	5074104	3.1068
1	5080614	3.1068
1	5080616	3.1068
1	5080617	3.1068
1	5108927	9.0509
1	5617000	4.1423
1	6202487	8.6879
1	6221132	8.6879
1	6221141	8.6879
1	6222451	11.1465
1	6222553	2.589
1	6224034	8.6879
1	6225766	8.6879
1	6284587	8.6879
1	6284589	8.6879
1	6285242	8.6879
1	6285267	8.6879
1	6291811	8.6879
1	6291812	8.6879
1	6291813	8.6879
1	6291814	8.6879
1	6303296	3.1068
1	6303298	4.1423
1	6316019	8.6879
1	6327328	8.6879
1	6327329	8.6879
1	6327330	8.6879
1	6327333	8.6879
1	6327334	8.6879
1	6327595	8.6879
1	6569996	6.4151
1	6570168	8.6879
1	6572193	8.6879
1	6629947	12.6014
1	6634829	9.0509
1	6700398	9.0509
1	6700407	9.0509
1	6700409	9.0509
1	6886371	8.6879
1	6892452	9.0509
1	7077119	9.0509
1	7078070	8.6879
1	7186382	9.7643
1	7186574	9.0509
1	7186677	9.0509
1	7187489	6.4151
1	7187493	6.4151
1	7187495	8.6879
1	7224435	9.7643
1	7224436	9.0509
1	7224437	9.0509
1	7224438	9.0509
1	7224439	9.0509
1	7236594	9.0509
1	7257391	9.0509
1	7273324	9.0509
1	7273593	9.0509
1	7292202	9.0509
1	7292693	9.0509
1	7292708	9.0509
1	8311405	9.7643
1	8316113	11.1465
1	8316591	11.1465
1	8510614	9.0509
1	9083182	11.7832
1	9275569	11.1465
1	9275577	11.1465
1	9275845	11.7832
1	9277951	11.1465
1	9281469	11.1465
1	9475226	11.1465
1	9659100	11.1465
1	9776028	11.1465
1	9780907	12.6014
1	9780908	11.1465
1	9780910	11.1465
1	9780913	11.1465
1	9780915	11.1465
1	9780916	11.1465
1	9785139	11.1465
1	9785144	11.1465
1	9997749	11.1465
1	10025399	11.1465
1	10025405	11.1465
1	10085132	11.1465
1	10085248	11.1465
1	10085295	11.1465
1	10089195	11.1465
1	10091566	11.1465
1	10105881	11.1465
1	10111042	9.7643
1	10116077	11.1465
1	10117651	11.7832
1	10117736	11.1465
1	10117737	9.0509
1	10117738	11.1465
1	10117739	9.7643
