map_name	chr	bin_start_cM	bin_end_cM	n_markers
strict_high_confidence_196	1	0.0	10.0	1
strict_high_confidence_196	1	10.0	20.0	0
strict_high_confidence_196	1	20.0	30.0	2
strict_high_confidence_196	1	30.0	40.0	1
strict_high_confidence_196	1	40.0	50.0	2
strict_high_confidence_196	1	50.0	60.0	0
strict_high_confidence_196	1	60.0	70.0	3
strict_high_confidence_196	1	70.0	80.0	5
strict_high_confidence_196	1	80.0	90.0	1
strict_high_confidence_196	2	50.0	60.0	2
strict_high_confidence_196	2	60.0	70.0	1
strict_high_confidence_196	2	70.0	80.0	0
strict_high_confidence_196	2	80.0	90.0	0
strict_high_confidence_196	2	90.0	100.0	1
strict_high_confidence_196	2	100.0	110.0	3
strict_high_confidence_196	2	110.0	120.0	2
strict_high_confidence_196	2	120.0	130.0	5
strict_high_confidence_196	2	130.0	140.0	3
strict_high_confidence_196	2	140.0	150.0	2
strict_high_confidence_196	3	20.0	30.0	1
strict_high_confidence_196	3	30.0	40.0	2
strict_high_confidence_196	3	40.0	50.0	2
strict_high_confidence_196	3	50.0	60.0	2
strict_high_confidence_196	3	60.0	70.0	4
strict_high_confidence_196	3	70.0	80.0	4
strict_high_confidence_196	3	80.0	90.0	2
strict_high_confidence_196	3	90.0	100.0	1
strict_high_confidence_196	3	100.0	110.0	2
strict_high_confidence_196	3	110.0	120.0	2
strict_high_confidence_196	3	120.0	130.0	5
strict_high_confidence_196	3	130.0	140.0	1
strict_high_confidence_196	3	140.0	150.0	2
strict_high_confidence_196	4	10.0	20.0	1
strict_high_confidence_196	4	20.0	30.0	0
strict_high_confidence_196	4	30.0	40.0	1
strict_high_confidence_196	4	40.0	50.0	0
strict_high_confidence_196	4	50.0	60.0	1
strict_high_confidence_196	4	60.0	70.0	9
strict_high_confidence_196	4	70.0	80.0	2
strict_high_confidence_196	4	80.0	90.0	0
strict_high_confidence_196	4	90.0	100.0	0
strict_high_confidence_196	4	100.0	110.0	1
strict_high_confidence_196	4	110.0	120.0	0
strict_high_confidence_196	4	120.0	130.0	0
strict_high_confidence_196	4	130.0	140.0	1
strict_high_confidence_196	5	0.0	10.0	2
strict_high_confidence_196	5	10.0	20.0	0
strict_high_confidence_196	5	20.0	30.0	2
strict_high_confidence_196	5	30.0	40.0	0
strict_high_confidence_196	5	40.0	50.0	4
strict_high_confidence_196	5	50.0	60.0	4
strict_high_confidence_196	5	60.0	70.0	4
strict_high_confidence_196	5	70.0	80.0	3
strict_high_confidence_196	5	80.0	90.0	0
strict_high_confidence_196	5	90.0	100.0	2
strict_high_confidence_196	5	100.0	110.0	2
strict_high_confidence_196	5	110.0	120.0	1
strict_high_confidence_196	6	20.0	30.0	1
strict_high_confidence_196	6	30.0	40.0	1
strict_high_confidence_196	6	40.0	50.0	2
strict_high_confidence_196	6	50.0	60.0	2
strict_high_confidence_196	6	60.0	70.0	5
strict_high_confidence_196	6	70.0	80.0	7
strict_high_confidence_196	6	80.0	90.0	3
strict_high_confidence_196	7	20.0	30.0	2
strict_high_confidence_196	7	30.0	40.0	3
strict_high_confidence_196	7	40.0	50.0	4
strict_high_confidence_196	7	50.0	60.0	3
strict_high_confidence_196	7	60.0	70.0	2
strict_high_confidence_196	7	70.0	80.0	3
strict_high_confidence_196	7	80.0	90.0	0
strict_high_confidence_196	7	90.0	100.0	5
strict_high_confidence_196	8	30.0	40.0	4
strict_high_confidence_196	8	40.0	50.0	2
strict_high_confidence_196	8	50.0	60.0	2
strict_high_confidence_196	8	60.0	70.0	3
strict_high_confidence_196	8	70.0	80.0	7
strict_high_confidence_196	8	80.0	90.0	3
strict_high_confidence_196	8	90.0	100.0	4
strict_high_confidence_196	8	100.0	110.0	2
strict_high_confidence_196	8	110.0	120.0	3
strict_high_confidence_196	9	10.0	20.0	1
strict_high_confidence_196	9	20.0	30.0	1
strict_high_confidence_196	9	30.0	40.0	2
strict_high_confidence_196	9	40.0	50.0	1
strict_high_confidence_196	9	50.0	60.0	3
strict_high_confidence_196	9	60.0	70.0	3
strict_high_confidence_196	9	70.0	80.0	1
strict_high_confidence_196	9	80.0	90.0	1
strict_high_confidence_196	9	90.0	100.0	2
strict_high_confidence_196	9	100.0	110.0	1
strict_high_confidence_196	9	110.0	120.0	2
strict_high_confidence_196	9	120.0	130.0	1
relaxed_mm1_collinear_222	1	0.0	10.0	1
relaxed_mm1_collinear_222	1	10.0	20.0	1
relaxed_mm1_collinear_222	1	20.0	30.0	2
relaxed_mm1_collinear_222	1	30.0	40.0	1
relaxed_mm1_collinear_222	1	40.0	50.0	2
relaxed_mm1_collinear_222	1	50.0	60.0	1
relaxed_mm1_collinear_222	1	60.0	70.0	4
relaxed_mm1_collinear_222	1	70.0	80.0	6
relaxed_mm1_collinear_222	1	80.0	90.0	1
relaxed_mm1_collinear_222	2	50.0	60.0	2
relaxed_mm1_collinear_222	2	60.0	70.0	1
relaxed_mm1_collinear_222	2	70.0	80.0	0
relaxed_mm1_collinear_222	2	80.0	90.0	1
relaxed_mm1_collinear_222	2	90.0	100.0	1
relaxed_mm1_collinear_222	2	100.0	110.0	3
relaxed_mm1_collinear_222	2	110.0	120.0	2
relaxed_mm1_collinear_222	2	120.0	130.0	6
relaxed_mm1_collinear_222	2	130.0	140.0	3
relaxed_mm1_collinear_222	2	140.0	150.0	2
relaxed_mm1_collinear_222	3	10.0	20.0	1
relaxed_mm1_collinear_222	3	20.0	30.0	3
relaxed_mm1_collinear_222	3	30.0	40.0	2
relaxed_mm1_collinear_222	3	40.0	50.0	3
relaxed_mm1_collinear_222	3	50.0	60.0	2
relaxed_mm1_collinear_222	3	60.0	70.0	5
relaxed_mm1_collinear_222	3	70.0	80.0	4
relaxed_mm1_collinear_222	3	80.0	90.0	2
relaxed_mm1_collinear_222	3	90.0	100.0	1
relaxed_mm1_collinear_222	3	100.0	110.0	2
relaxed_mm1_collinear_222	3	110.0	120.0	3
relaxed_mm1_collinear_222	3	120.0	130.0	5
relaxed_mm1_collinear_222	3	130.0	140.0	1
relaxed_mm1_collinear_222	3	140.0	150.0	3
relaxed_mm1_collinear_222	4	10.0	20.0	1
relaxed_mm1_collinear_222	4	20.0	30.0	0
relaxed_mm1_collinear_222	4	30.0	40.0	1
relaxed_mm1_collinear_222	4	40.0	50.0	0
relaxed_mm1_collinear_222	4	50.0	60.0	1
relaxed_mm1_collinear_222	4	60.0	70.0	9
relaxed_mm1_collinear_222	4	70.0	80.0	2
relaxed_mm1_collinear_222	4	80.0	90.0	0
relaxed_mm1_collinear_222	4	90.0	100.0	0
relaxed_mm1_collinear_222	4	100.0	110.0	1
relaxed_mm1_collinear_222	4	110.0	120.0	1
relaxed_mm1_collinear_222	4	120.0	130.0	0
relaxed_mm1_collinear_222	4	130.0	140.0	1
relaxed_mm1_collinear_222	5	0.0	10.0	2
relaxed_mm1_collinear_222	5	10.0	20.0	0
relaxed_mm1_collinear_222	5	20.0	30.0	3
relaxed_mm1_collinear_222	5	30.0	40.0	0
relaxed_mm1_collinear_222	5	40.0	50.0	4
