chr	n_bins	pos_min	pos_max	cM_min	cM_max	same_chr_as_source	plus_strand	minus_strand	duplicate_positions
1	183	721626	47047410	0.239809	199.876313	181	182	1	0
2	126	53092	38043332	0.000000	175.413532	122	123	3	0
3	165	375837	40730249	0.000000	187.487722	164	163	2	0
4	115	79301	34372641	0.000000	127.237149	114	110	5	0
5	112	136349	31045187	0.000000	116.043092	110	111	1	0
6	132	160065	32568025	0.000000	144.412563	129	128	4	0
7	76	174631	27229566	0.239809	135.407854	74	74	2	0
8	89	248426	30209578	0.000000	120.351252	89	89	0	0
9	97	303122	21595178	0.722904	107.159809	96	96	1	0
10	80	239170	22126567	0.000000	85.333908	80	80	0	0
11	100	31033	23004714	0.239809	116.721616	99	94	6	0
12	56	209092	22440802	0.000000	109.904004	54	56	0	0
