chr	pos	cM
1	280477	0.000000
1	613328	0.239809
1	1097393	2.673076
1	1183958	4.693553
1	1317379	4.933362
1	1521473	6.146397
1	1613197	7.381028
1	1647248	7.620837
1	1789448	8.350777
1	2075663	9.843425
1	2699789	11.815690
1	2830962	12.055499
1	3386471	14.270553
1	3464730	14.510362
1	3516620	15.490785
1	3551995	15.973881
1	3591539	16.456976
1	3925290	16.940072
1	4438820	23.399251
1	4474990	24.379675
1	4552627	24.862771
1	4675409	26.097401
1	4822368	26.580497
1	4955066	27.063592
1	5074897	30.476991
1	5262841	31.682991
1	5328352	32.917621
1	5469171	33.647561
1	5598877	33.887370
1	5715204	34.610274
1	5884958	34.850083
1	6048995	35.089891
1	6131334	35.329700
1	6160132	36.059640
1	6333020	36.299448
1	6480730	36.782544
1	6611949	37.265639
1	7024719	38.246063
1	7861904	49.836144
1	8521947	52.962162
1	8719677	53.692102
1	8936061	53.931910
1	9147963	54.415006
1	9242030	54.654814
1	9504649	61.216924
1	9768110	61.456732
1	10202868	62.949381
1	10548717	63.929804
1	10607000	64.412900
1	10673650	64.652708
1	10808520	65.135804
1	10941009	65.375612
1	11290650	66.356036
1	11868198	70.966346
1	12380639	72.186578
1	12610632	74.477055
1	12731897	74.716863
1	12777760	75.199959
1	14421527	76.899808
1	14504970	77.139617
1	14676112	77.619234
1	14822419	78.349174
1	14897747	78.588983
1	15977810	80.539155
1	19471137	81.018772
1	19891930	81.748712
1	19933799	81.988521
1	19997004	82.228329
1	20175322	82.711425
1	20524292	83.691848
1	20851176	83.931657
1	21041368	84.414753
1	21140056	84.654561
1	21814224	85.373987
1	21869922	85.857083
1	21891830	86.340178
1	22133225	87.800058
1	22190331	88.283154
1	22301248	88.522962
1	23615523	98.630232
1	23922609	98.870041
1	24022197	99.109850
1	24098449	99.349658
1	24154304	99.832754
1	24210762	100.072562
1	24260847	100.555658
1	24339958	100.795467
1	24432144	101.278562
1	24622428	102.491598
1	24752505	102.731406
1	24958072	103.461346
1	25284928	104.184250
1	25438751	105.676899
1	25513748	106.657322
1	25623216	106.897131
1	25818072	107.136939
1	26023786	113.026091
1	26201901	113.265900
1	26332603	113.995840
