MaizeGDB: Details of Map Genetic 6
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Ki11-REFERENCE-NAM-1.0_gene_model	Zm-Ki11-REFERENCE-NAM-1.0_chr	Zm-Ki11-REFERENCE-NAM-1.0_start	Zm-Ki11-REFERENCE-NAM-1.0_end	Sequence
telomere6S	0.00																										
umc49f	0.04																										
abi49	0.50		GRMZM2G405699	Chr6	267970	270851	Zm00001d034965	Chr6	290046	293456	Zm00001eb259870	chr6	5531130	5534996													
pco063055	0.52		GRMZM2G405684	Chr6	272350	272969	Zm00001d034966	Chr6	295085	295506	Zm00001eb259880	chr6	5536314	5536933													
umc2309	1.00		GRMZM2G021784	Chr6	366120	371803	Zm00001d034970	Chr6	388280	393342	Zm00001eb259900	chr6	5628232	5634662													
hagtf47	1.01						Zm00001d034969	Chr6	387465	388055					Zm00026ab262750	chr6	473944	474617	Zm00027ab264430	chr6	4687768	4688596	Zm00030ab261740	chr6	6439712	6440533	
ofp24	1.20		GRMZM2G436659	Chr6	475010	478353	Zm00001d034973	Chr6	479943	480971	Zm00001eb259910	chr6	5721126	5722154													
lea33	1.98		GRMZM2G358536	Chr6	631490	632458	Zm00001d034976	Chr6	639235	639876	Zm00001eb259940	chr6	5880193	5881185													
lea34	2.00		GRMZM2G358540	Chr6	655718	657038	Zm00001d034977	Chr6	663669	664313	Zm00001eb259950	chr6	5904344	5905733													
hipp48	2.02		GRMZM2G059836	Chr6	662045	662968	Zm00001d034978	Chr6	669527	670473	Zm00001eb259960	chr6	5910692	5911663													
vq32	2.10		GRMZM2G003669	Chr6	702620	703790	Zm00001d034979	Chr6	714095	715069	Zm00001eb259970	chr6	5955160	5956330													
nactf62	2.40		GRMZM2G052239	Chr6	779681	780894	Zm00001d034984	Chr6	798676	799889	Zm00001eb260000	chr6	6039502	6041266													
cyp93	2.60		GRMZM2G052825	Chr6	792318	794327	Zm00001d034986	Chr6	840921	842925	Zm00001eb260010	chr6	6082226	6084292													
GRMZM5G867613	2.70		GRMZM5G867613	Chr6	7782980	7783511																					
pgl10	2.80		GRMZM2G004435	Chr6	1239848	1243099	Zm00001d034990	Chr6	1282754	1285886	Zm00001eb260050	chr6	6534031	6537361													
si614101c11d	2.85		GRMZM2G541162	Chr6	1278114	1278279	Zm00001d034994	Chr6	1298039	1299943	Zm00001eb260080	chr6	6549369	6551732													
Zm00001eb260090	2.87		GRMZM2G098182	Chr6	1280546	1281659	Zm00001d034995	Chr6	1301118	1301916	Zm00001eb260090	chr6	6552314	6553409													
ect16	2.90		GRMZM2G098174	Chr6	1281903	1288156	Zm00001d034996	Chr6	1302166	1309663	Zm00001eb260100	chr6	6553642	6560118													
ring371	2.96		GRMZM2G423956	Chr6	1334872	1339024	Zm00001d034998	Chr6	1386203	1390125	Zm00001eb260120	chr6	6637440	6641806													
pco068404	2.98		GRMZM2G122357	Chr6	1338698	1339634	Zm00001d035000	Chr6	1390494	1390883	Zm00001eb260130	chr6	6641802	6642430													
T6-7(7036)(6)	3.00																										
T2-6(001-15)(6)	3.00																										
fdx1	3.00		GRMZM2G122337	Chr6	1340417	1341388	Zm00001d035001	Chr6	1392078	1392530	Zm00001eb260140	chr6	6643297	6644174													
fdx5	3.10		GRMZM2G122327	Chr6	1343906	1345155	Zm00001d035002	Chr6	1395899	1396315	Zm00001eb260150	chr6	6647191	6647984													
fdx2	3.20		GRMZM2G048313	Chr6	1373405	1374333	Zm00001d035003	Chr6	1425009	1425431	Zm00001eb260160	chr6	6676338	6677217													
cl8749_1b	3.22		GRMZM2G040296	Chr6	1520681	1526877	Zm00001d035004	Chr6	1571189	1578809	Zm00001eb260170	chr6	6822794	6830158													
phd1	3.50		GRMZM2G039895	Chr6	1537642	1541643	Zm00001d035008	Chr6	1589350	1593458	Zm00001eb260200	chr6	6840853	6844906													
LOC109940614	3.54						Zm00001d035013	Chr6	1819415	1821213	Zm00001eb260220	chr6	7059908	7061865													
LOC100282435	3.56		GRMZM6G923769	scaffold_133	1202	2694	Zm00001d035014	Chr6	1838710	1842269	Zm00001eb260230	chr6	7078980	7082912													
LOC109940308	3.58						Zm00001d035015	Chr6	1843376	1848804	Zm00001eb260240	chr6	7084010	7089440													
Zm00001eb260260	3.62		GRMZM2G015352	Chr6	1960430	1962028	Zm00001d035018	Chr6	1944121	1945548	Zm00001eb260260	chr6	7184592	7186332													
c3h33	3.80		AC233871.1_FG008	Chr6	1823275	1825348																					
pmei49	3.88		AC186577.3_FG006	Chr6	1996260	1996982	Zm00001d035020	Chr6	1979873	1980595	Zm00001eb260280	chr6	7220242	7221341													
pmei30	3.90		GRMZM2G101945	Chr6	2006324	2007231	Zm00001d035021	Chr6	1989940	1990641	Zm00001eb260290	chr6	7230853	7231374													
GRMZM2G313321	3.98		GRMZM2G313321	Chr6	2047860	2058157					Zm00001eb260330	chr6	7279330	7281653													
T5-6(8219)(6)	4.00																										
bhlh192	4.00						Zm00001d035027	Chr6	2121872	2122879	Zm00001eb260340	chr6	7362237	7363955													
Zm00001d035029	4.28		GRMZM5G834205	Chr6	2385201	2389604	Zm00001d035029	Chr6	2395367	2400258	Zm00001eb260360	chr6	7635981	7640970													
IDP447	4.30		GRMZM5G871143	Chr6	2392128	2399210	Zm00001d035030	Chr6	2402490	2409609	Zm00001eb260370	chr6	7643169	7650406													
pco096192	4.32		GRMZM2G552322	Chr6	2427497	2432408	Zm00001d035031	Chr6	2448389	2453527	Zm00001eb260380	chr6	7689070	7694010													
isu139	4.33																										
umc2068	4.34		GRMZM2G024303	Chr6	2441881	2444421	Zm00001d035032	Chr6	2454457	2462132	Zm00001eb260390	chr6	7695055	7697741													
adk1	4.36		GRMZM2G178192	Chr6	2450158	2455264	Zm00001d035034	Chr6	2462763	2465579	Zm00001eb260410	chr6	7703168	7706423													
gtf25	4.40		GRMZM2G057509	Chr6	2882014	2885585	Zm00001d035039	Chr6	2915191	2918505	Zm00001eb260460	chr6	8156043	8159348													
arm23	4.42		GRMZM2G057436	Chr6	2889168	2897150	Zm00001d035040	Chr6	2922110	2930058	Zm00001eb260470	chr6	8162838	8170961													
IDP3778	4.44		GRMZM2G023335	Chr6	2898657	2914904	Zm00001d035041	Chr6	2930352	2945593	Zm00001eb260480	chr6	8171032	8188902													
Zm00001eb260500	4.45						Zm00001d035045	Chr6	3046988	3047555	Zm00001eb260500	chr6	8287998	8288384													
LOC100383283	4.46		GRMZM2G374827	Chr6	3042196	3047128	Zm00001d035046	Chr6	3073940	3078802	Zm00001eb260510	chr6	8314533	8325922													
LOC100381525	4.48		GRMZM2G173962	Chr6	3181850	3187622	Zm00001d035050	Chr6	3217441	3223266	Zm00001eb260560	chr6	8458289	8464030													
mads45	4.50		GRMZM2G117961	Chr6	3237228	3240201	Zm00001d035053	Chr6	3271721	3274263	Zm00001eb260590	chr6	8512545	8515112													
gpm317	4.52		GRMZM2G117984	Chr6	3239825	3252345	Zm00001d035054	Chr6	3285705	3286769	Zm00001eb260600	chr6	8515140	8527607													
prx72	4.54		GRMZM2G313184	Chr6	3287229	3288809	Zm00001d035055	Chr6	3326114	3327085	Zm00001eb260610	chr6	8566854	8568098													
GRMZM2G015708	5.40		GRMZM2G015708	Chr6	3313793	3315369	Zm00001d035056	Chr6	3352342	3357658	Zm00001eb260620	chr6	8593290	8594835													
LOC103628962	5.62		GRMZM2G034958	Chr6	3435340	3437144	Zm00001d035063	Chr6	3469975	3471537	Zm00001eb260690	chr6	8710855	8712388													
