marker_id	best_chr	pos	cM	expected_chr	pident	aln_len	bitscore	competitor_chr	competitor_bitscore	unique	chr_agree
brpb-840382	A1	1288210	19.889501	A1	98.88	445	795.0	C1	706.0	1	1
brpb-659711	A1	1432876	16.776	A1	99.12	228	411.0	A3	207.0	1	1
brpb-657648	A1	2268821	23.47	A1	98.33	299	523.0	C1	239.0	1	1
brpb-658455	A1	2268874	24.082707	A1	97.79	407	702.0	C1	353.0	1	1
brpb-658172	A1	2269231	23.488	A1	98.87	353	632.0	C1	339.0	1	1
brpb-809947	A1	2445551	27.615	A1	93.17	322	470.0	C7	148.0	1	1
brpb-663220	A1	2660894	29.334	A1	99.74	385	706.0	A1	147.0	1	1
brpb-839756	A1	3309563	41.967	A1	96.51	458	758.0	C1	357.0	1	1
brpb-657742	A1	3554719	43.48072	A1	97.27	549	931.0			1	1
brpb-808330	A1	3779975	47.605	A1	92.52	107	156.0			1	1
brpb-663258	A1	4312256	47.043465	A1	96.47	312	516.0	C1	472.0	1	1
brpb-660511	A1	6891773	53.178395	A1	99.34	453	821.0	C1	621.0	1	1
brpb-662948	A1	7538692	57.906354	A1	99.72	701	1284.0	A9	1026.0	1	1
brpb-808614	A1	7932148	56.671169	A1	97.41	270	460.0	C1	422.0	1	1
brpb-658070	A1	8046389	56.4728	A1	97.78	722	1245.0	C1	1070.0	1	1
brpb-657957	A1	8046421	56.4728	A1	95.75	658	1075.0	C1	920.0	1	1
brpb-661347	A1	8914949	62.382385	A1	99.79	474	870.0	C1	828.0	0	1
brpb-660344	A1	10981228	66.374432	A1	99.84	641	1179.0	C1	1011.0	1	1
brpb-657779	A1	10981919	68.010133	A1	97.31	372	632.0	C1	586.0	1	1
brpb-661486	A1	11885628	37.953	C1	98.64	515	907.0	C1	887.0	0	0
brpb-659195	A1	12126623	67.226	A1	99.70	339	621.0	A6	590.0	0	1
brpb-838958	A1	12126623	67.288	A1	100.00	339	627.0	A6	584.0	1	1
brpb-671293	A1	15144963	36.757	C1	96.91	291	486.0	C1	479.0	0	0
brpb-838470	A1	15144963	39.585	C1	96.91	291	486.0	C1	479.0	0	0
brpb-838936	A1	15144963	40.238	C1	96.91	291	486.0	C1	479.0	0	0
brpb-670408	A1	19752786	67.722	A1	98.37	369	649.0	C1	405.0	1	1
brpb-658760	A1	22421049	68.93574	A1	97.95	538	931.0	C1	542.0	1	1
brpb-662342	A1	24678442	75.426002	A1	97.74	752	1297.0	C1	1247.0	0	1
brpb-663286	A1	24806304	73.788	A1	100.00	305	564.0	C1	486.0	1	1
brpb-661010	A1	24806463	73.834	A1	99.84	624	1147.0	C1	1031.0	1	1
brpb-670361	A1	24806552	73.887	A1	96.00	450	749.0	C1	649.0	1	1
brpb-660357	A1	26054463	77.06672	A1	100.00	643	1188.0	C1	928.0	1	1
brpb-669998	A1	27722464	82.668922	A1	98.41	252	451.0			1	1
brpb-662737	A1	27722485	80.788329	A1	99.66	293	536.0	A9	176.0	1	1
brpb-839626	A1	27722518	79.275671	A1	100.00	359	664.0			1	1
brpb-840554	A1	27722518	84.9135	A1	99.16	359	649.0			1	1
brpb-670799	A1	28131423	61.560716	A5	95.60	523	852.0	C1	797.0	1	0
