chr	pos	cM
1	10901156	0.33
1	10992087	0.44
1	11106617	0.54
1	11157191	0.61
1	11169456	0.63
1	11242388	0.63
1	12226818	0.65
1	12253532	0.65
1	12273617	0.68
1	12290640	0.68
1	12305802	0.93
1	12382449	1.10
1	12431209	6.53
1	12518739	6.56
1	12732612	7.18
1	12814412	7.23
1	12834057	7.66
1	12963689	9.25
1	13167681	9.40
1	13500778	10.64
1	13537207	12.45
1	13609969	13.13
1	13684144	13.59
1	14257311	16.25
1	14713070	16.80
1	14734426	17.27
1	14801406	18.37
1	15147941	18.80
1	15378692	18.90
1	15530962	19.79
1	15742743	20.18
1	15987017	20.71
1	16062829	21.32
1	16077015	22.33
1	16208216	23.58
1	16379480	25.49
1	16514998	25.49
1	16711917	26.25
1	18085383	27.12
1	18111969	27.44
1	18288435	27.55
1	18458610	27.78
1	18501551	27.78
1	18702433	28.21
1	18754892	28.50
1	18941706	28.86
1	19002283	28.91
1	19034134	28.97
1	19164976	29.22
1	19254795	29.22
1	19348852	29.22
1	19440308	29.22
1	21591117	29.59
1	22446968	29.60
1	22578477	29.60
1	22700949	29.61
1	23339194	29.61
1	23677570	29.61
1	24136861	29.61
1	24221491	29.61
1	24475150	29.61
1	27197417	29.61
1	27694731	29.61
1	27860652	29.61
1	28030797	29.61
1	28088501	29.61
1	28151984	29.61
1	28535153	29.61
1	28561982	29.61
1	29624574	29.61
1	31984500	29.61
1	33159845	29.61
1	34250039	29.61
1	34377708	29.61
1	34843998	29.61
1	34934915	29.61
1	35057752	29.61
1	37693379	29.61
1	38034727	29.61
1	39201542	29.61
1	39339529	29.61
1	39664201	29.62
1	40016445	29.62
1	40362409	29.62
1	42137711	29.63
1	42288607	29.65
1	43070685	29.66
1	43596403	30.06
1	43755287	30.44
1	43883535	30.44
1	43992423	31.12
1	44070145	31.13
1	46941875	31.51
1	46959505	31.51
1	47091614	31.64
1	47909166	32.29
1	47996410	32.29
1	48084065	32.74
1	48154538	33.52
1	48195174	33.90
1	48305112	34.15
1	48336170	34.15
2	10284110	54.35
2	10375932	54.51
2	10613738	54.51
2	10637628	54.51
2	10746769	55.39
2	11250742	55.39
2	12075930	55.55
2	12227206	55.57
2	12280995	55.63
2	12409304	55.72
2	12630194	56.46
2	12768694	56.68
2	13082921	56.83
2	13220541	56.91
2	13437554	57.08
2	13746922	57.08
2	14120759	57.08
2	15173635	57.08
2	15431598	57.08
2	15688657	57.08
2	15825051	57.08
2	16165210	57.08
2	16287265	58.61
