map_name	chr	bin_start_cM	bin_end_cM	n_markers
solcap_direct_313	1	0.0	10.0	1
solcap_direct_313	1	10.0	20.0	3
solcap_direct_313	1	20.0	30.0	4
solcap_direct_313	1	30.0	40.0	5
solcap_direct_313	1	40.0	50.0	4
solcap_direct_313	1	50.0	60.0	5
solcap_direct_313	1	60.0	70.0	4
solcap_direct_313	1	70.0	80.0	3
solcap_direct_313	1	80.0	90.0	9
solcap_direct_313	1	90.0	100.0	0
solcap_direct_313	2	0.0	10.0	1
solcap_direct_313	2	10.0	20.0	3
solcap_direct_313	2	20.0	30.0	11
solcap_direct_313	2	30.0	40.0	5
solcap_direct_313	2	40.0	50.0	5
solcap_direct_313	2	50.0	60.0	1
solcap_direct_313	2	60.0	70.0	5
solcap_direct_313	2	70.0	80.0	3
solcap_direct_313	2	80.0	90.0	0
solcap_direct_313	2	90.0	100.0	0
solcap_direct_313	3	0.0	10.0	2
solcap_direct_313	3	10.0	20.0	2
solcap_direct_313	3	20.0	30.0	1
solcap_direct_313	3	30.0	40.0	1
solcap_direct_313	3	40.0	50.0	3
solcap_direct_313	3	50.0	60.0	0
solcap_direct_313	3	60.0	70.0	4
solcap_direct_313	3	70.0	80.0	5
solcap_direct_313	3	80.0	90.0	0
solcap_direct_313	3	90.0	100.0	0
solcap_direct_313	4	0.0	10.0	0
solcap_direct_313	4	10.0	20.0	2
solcap_direct_313	4	20.0	30.0	4
solcap_direct_313	4	30.0	40.0	3
solcap_direct_313	4	40.0	50.0	7
solcap_direct_313	4	50.0	60.0	4
solcap_direct_313	4	60.0	70.0	4
solcap_direct_313	4	70.0	80.0	5
solcap_direct_313	4	80.0	90.0	8
solcap_direct_313	4	90.0	100.0	7
solcap_direct_313	5	0.0	10.0	1
solcap_direct_313	5	10.0	20.0	1
solcap_direct_313	5	20.0	30.0	2
solcap_direct_313	5	30.0	40.0	3
solcap_direct_313	5	40.0	50.0	1
solcap_direct_313	5	50.0	60.0	2
solcap_direct_313	5	60.0	70.0	1
solcap_direct_313	5	70.0	80.0	0
solcap_direct_313	5	80.0	90.0	0
solcap_direct_313	5	90.0	100.0	0
solcap_direct_313	6	0.0	10.0	3
solcap_direct_313	6	10.0	20.0	6
solcap_direct_313	6	20.0	30.0	2
solcap_direct_313	6	30.0	40.0	2
solcap_direct_313	6	40.0	50.0	4
solcap_direct_313	6	50.0	60.0	2
solcap_direct_313	6	60.0	70.0	10
solcap_direct_313	6	70.0	80.0	1
solcap_direct_313	6	80.0	90.0	0
solcap_direct_313	6	90.0	100.0	0
solcap_direct_313	7	0.0	10.0	7
solcap_direct_313	7	10.0	20.0	5
solcap_direct_313	7	20.0	30.0	7
solcap_direct_313	7	30.0	40.0	1
solcap_direct_313	7	40.0	50.0	2
solcap_direct_313	7	50.0	60.0	4
solcap_direct_313	7	60.0	70.0	1
solcap_direct_313	7	70.0	80.0	0
solcap_direct_313	7	80.0	90.0	0
solcap_direct_313	7	90.0	100.0	0
solcap_direct_313	8	0.0	10.0	0
solcap_direct_313	8	10.0	20.0	6
solcap_direct_313	8	20.0	30.0	5
solcap_direct_313	8	30.0	40.0	2
solcap_direct_313	8	40.0	50.0	0
solcap_direct_313	8	50.0	60.0	1
solcap_direct_313	8	60.0	70.0	6
solcap_direct_313	8	70.0	80.0	0
solcap_direct_313	8	80.0	90.0	0
solcap_direct_313	8	90.0	100.0	0
solcap_direct_313	9	0.0	10.0	1
solcap_direct_313	9	10.0	20.0	0
solcap_direct_313	9	20.0	30.0	1
solcap_direct_313	9	30.0	40.0	2
solcap_direct_313	9	40.0	50.0	3
solcap_direct_313	9	50.0	60.0	7
solcap_direct_313	9	60.0	70.0	7
solcap_direct_313	9	70.0	80.0	5
solcap_direct_313	9	80.0	90.0	5
solcap_direct_313	9	90.0	100.0	0
solcap_direct_313	10	0.0	10.0	4
solcap_direct_313	10	10.0	20.0	0
solcap_direct_313	10	20.0	30.0	9
solcap_direct_313	10	30.0	40.0	2
solcap_direct_313	10	40.0	50.0	3
solcap_direct_313	10	50.0	60.0	4
solcap_direct_313	10	60.0	70.0	2
solcap_direct_313	10	70.0	80.0	0
solcap_direct_313	10	80.0	90.0	0
solcap_direct_313	10	90.0	100.0	0
solcap_direct_313	11	0.0	10.0	7
solcap_direct_313	11	10.0	20.0	3
solcap_direct_313	11	20.0	30.0	3
solcap_direct_313	11	30.0	40.0	2
solcap_direct_313	11	40.0	50.0	4
solcap_direct_313	11	50.0	60.0	6
solcap_direct_313	11	60.0	70.0	1
solcap_direct_313	11	70.0	80.0	0
solcap_direct_313	11	80.0	90.0	0
solcap_direct_313	11	90.0	100.0	0
solcap_direct_313	12	0.0	10.0	0
solcap_direct_313	12	10.0	20.0	0
solcap_direct_313	12	20.0	30.0	2
solcap_direct_313	12	30.0	40.0	0
solcap_direct_313	12	40.0	50.0	2
solcap_direct_313	12	50.0	60.0	1
solcap_direct_313	12	60.0	70.0	5
solcap_direct_313	12	70.0	80.0	0
solcap_direct_313	12	80.0	90.0	0
solcap_direct_313	12	90.0	100.0	0
combined_first_cM_859	1	0.0	10.0	4
combined_first_cM_859	1	10.0	20.0	6
combined_first_cM_859	1	20.0	30.0	15
combined_first_cM_859	1	30.0	40.0	14
combined_first_cM_859	1	40.0	50.0	12
combined_first_cM_859	1	50.0	60.0	10
combined_first_cM_859	1	60.0	70.0	7
combined_first_cM_859	1	70.0	80.0	9
combined_first_cM_859	1	80.0	90.0	26
combined_first_cM_859	1	90.0	100.0	2
combined_first_cM_859	2	0.0	10.0	4
combined_first_cM_859	2	10.0	20.0	17
combined_first_cM_859	2	20.0	30.0	24
combined_first_cM_859	2	30.0	40.0	20
