chr	pos	cM
1	116716	0.0
1	1179880	22.131
1	2231951	29.396
1	3200785	38.619
1	3224593	41.74
1	4962374	47.664
1	5994921	36.32
1	6391620	90.14
1	12248784	66.073
1	12302008	65.711
1	12341982	66.427
1	14012962	66.883
1	17473821	73.943
1	17494160	72.738
1	17695962	72.343
1	21691750	74.458
1	32389100	75.855
1	32759046	70.947
1	34120848	76.625
1	34721264	76.167
1	36236600	76.227
1	38560986	82.148
1	40195322	73.514
1	41326598	81.698
1	42780550	73.032
1	48661226	53.296
1	49353242	43.206
1	50890858	36.259
2	527105	51.992
2	1899690	59.861
2	2563434	68.747
2	5165451	97.614
2	6063666	103.903
2	6556082	108.215
2	7187615	107.696
2	7858589	109.292
2	12232402	114.334
2	19259128	119.725
2	38458913	125.819
2	39104067	125.308
2	47931292	124.779
2	49136881	125.318
2	52929248	125.932
2	53205950	126.182
2	53239538	126.325
2	56277222	152.817
2	56281460	132.606
2	58568209	133.472
2	60927023	138.051
2	62097698	142.067
2	64388868	149.584
3	471792	149.974
3	682790	151.341
3	3000674	141.956
3	3087340	154.261
3	5106378	136.358
3	6229140	148.235
3	6278424	129.652
3	7333044	125.062
3	8186172	123.531
3	8727220	122.942
3	9496056	122.696
3	11231885	115.211
3	12475071	113.663
3	12794486	114.131
3	15703137	104.769
3	16154010	104.624
3	18471288	98.271
3	22799765	88.009
3	25807296	82.81
3	26430747	83.348
3	31843886	76.594
3	32491844	79.567
3	32736478	76.139
3	33279000	75.186
3	36980887	73.202
3	38273638	68.163
3	38360038	67.62
3	39318944	63.155
3	39525070	63.323
3	42450514	133.82
3	53669026	62.458
3	55460240	62.73
3	58502154	59.453
3	59799187	51.274
3	67521325	41.893
3	69048805	40.241
3	69775089	36.996
3	69777260	37.195
3	70159626	33.013
3	70347934	33.553
3	72445178	23.895
4	1350244	19.137
4	3914700	39.528
4	5148598	126.056
4	7839712	50.729
4	9678856	63.611
4	11531238	63.183
4	11960244	63.438
4	12068696	60.413
4	12300952	127.194
4	12691914	60.589
4	14290488	62.983
4	14603564	59.233
4	14985644	61.332
4	16288797	61.844
4	17207700	61.42
4	17208400	60.746
4	17230240	61.41
4	17366572	60.919
4	17738730	61.51
4	17738770	61.238
4	17910662	66.733
4	18879682	62.204
4	30523055	62.623000000000005
4	30704702	62.767
4	30738902	69.742
4	30799647	61.978
4	37353959	59.788
4	40733401	57.389
4	40773409	56.018
4	40840708	55.693000000000005
4	48936106	71.688
4	50924064	79.276
4	56772529	101.874
4	57632610	133.566
5	467628	4.878
5	468804	9.095
5	665029	0.0
5	2810092	27.012
5	3108590	27.382
5	5352121	43.252
5	5387356	42.949
5	5558130	42.862
5	5948900	43.468
5	6687260	44.082
5	6698166	43.675
5	9897628	49.946
5	11654418	51.749
5	14576030	51.49
5	42237605	55.43
5	45616343	57.414
5	45872552	55.34
5	46866672	58.442
5	48251992	62.709
5	49326994	63.465
5	49710752	65.385
5	50901083	68.745
5	52692598	94.673
5	52911180	70.883
5	53053601	69.941
5	53589001	77.975
5	53846930	78.52
5	56344913	93.845
5	56945724	96.68
5	57394195	107.303
5	57595114	108.248
5	58346819	116.537
6	3126778	82.378
6	3342270	82.235
6	4547358	81.82
6	7725278	75.846
6	9654218	73.263
6	10017014	74.168
6	17563095	73.062
6	19964250	71.737
6	20975478	74.641
6	20975492	71.934
6	21579138	70.556
6	22921712	70.286
6	25151792	70.219
6	26981943	67.966
6	27634641	67.789
6	29670124	67.602
6	30594684	72.493
6	30993136	63.961
6	31138507	65.115
6	32069124	61.602
6	35951682	54.066
6	37701924	30.247
6	38142592	50.905
6	39860164	55.996
6	39957302	44.658
6	40705377	27.607
6	41076594	47.797
6	41891692	47.312
6	45066422	31.656
6	45742423	29.774
7	2012008	95.078
7	2707396	95.018
7	8197352	94.105
7	10560336	108.987
7	10693052	94.707
7	12928198	92.321
7	15036506	96.232
7	15310826	94.274
7	17137708	94.409
7	22787272	102.52
7	25669845	113.681
7	26081120	93.142
7	29651234	121.17
7	38513146	75.48
7	40775736	75.516
7	42101025	75.047
7	42257727	75.282
7	42711878	73.114
7	43975139	67.078
7	45370241	63.166
7	47307026	57.979
7	48109280	55.576
7	48212606	53.179
7	48439648	48.301
7	48938470	49.226
7	49252893	48.821
7	49554468	50.34
7	49993348	23.914
7	50973347	42.535
7	52261712	36.228
7	52409517	40.734
7	52634367	37.216
7	54313492	31.531
7	54362155	33.845
7	54811317	30.785
7	56222449	25.585
7	56534552	22.271
8	1175982	31.956
8	1429304	31.834
8	3693982	33.819
8	4295122	34.203
8	5572591	34.502
8	6423866	34.264
8	26571080	40.87
8	28371362	46.879
8	30052828	54.571
8	31065319	53.34
8	31373468	52.431
8	31416817	54.25
8	34060443	107.148
8	35631511	63.528
8	36607868	66.222
8	37746452	68.541
8	39199082	72.902
8	40019190	73.239
8	40065307	73.727
8	42974054	75.541
8	42974247	75.713
8	43214051	75.387
8	43367641	75.07
8	43409184	77.314
8	43613822	98.098
8	43803232	79.44
8	44228404	101.259
8	45310843	87.243
8	45544788	84.169
8	45563750	85.184
8	45563936	86.203
8	45672250	84.127
8	46229392	92.804
8	46570600	90.924
8	46623022	94.134
8	47064628	96.551
8	47064908	96.908
8	48463384	103.314
8	49687338	107.797
8	50759422	120.542
8	50844428	110.483
8	51001541	137.024
8	51124949	117.081
8	51290896	114.345
8	51402493	117.695
8	51653704	113.076
9	176926	126.324
9	630630	114.95
9	956275	110.45
9	2525192	100.468
9	2721362	99.426
9	4202928	93.703
9	4497182	94.595
9	7446060	86.088
9	7767094	86.733
9	22328722	74.2
9	26581036	78.276
9	45874699	66.628
9	46127257	67.516
9	49943649	62.382
9	49957436	60.003
9	53570940	61.803
9	55688262	59.066
9	56454908	56.187
9	56456508	54.561
9	56472710	55.165
9	60352620	43.288
9	61263912	37.731
9	61602388	35.793
9	64414168	21.279
9	64472044	18.372
