chr	pos	n_rows	n_unique_cM	first_cM	first_marker_id	first_marker_type	first_source_mode	cM_min	cM_median	cM_max	cM_range	cM_values_in_input_order	marker_ids	marker_types	source_modes
1	5019507	3	3	13.291	pPt-470842	DArT_marker	cigar_liftover_v403_to_v61	13.291	15.05	15.074	1.7829999999999995	13.291,15.05,15.074	pPt-457620,pPt-470842,pPt-471169	DArT_marker	cigar_liftover_v403_to_v61
1	60877687	5	4	23.783	pPt-655709	DArT_marker	cigar_liftover_v403_to_v61	23.783	23.886	23.926	0.14299999999999713	23.783,23.881,23.886,23.926,23.926	pPt-471086,pPt-651539,pPt-652383,pPt-652802,pPt-655709	DArT_marker	cigar_liftover_v403_to_v61
1	65028487	2	2	38.541	pPt-537757	DArT_marker	cigar_liftover_v403_to_v61	38.541	38.552499999999995	38.564	0.02300000000000324	38.541,38.564	pPt-537757,pPt-656762	DArT_marker	cigar_liftover_v403_to_v61
1	65771363	2	2	38.325	pPt-538792	DArT_marker	cigar_liftover_v403_to_v61	38.325	38.4185	38.512	0.1869999999999976	38.325,38.512	pPt-538792,pPt-559008	DArT_marker	cigar_liftover_v403_to_v61
1	66053672	9	5	28.291	pPt-651042	DArT_marker	cigar_liftover_v403_to_v61	28.291	28.454	28.686	0.3949999999999996	28.291,28.454,28.454,28.454,28.454,28.454,28.479,28.626,28.686	pPt-457542,pPt-458288,pPt-470698,pPt-474025,pPt-538504,pPt-651042,pPt-651939,pPt-652287,pPt-653798	DArT_marker	cigar_liftover_v403_to_v61
1	67821222	6	2	40.067	pPt-534011	DArT_marker	cigar_liftover_v403_to_v61	40.067	40.069	40.069	0.0020000000000024443	40.067,40.067,40.069,40.069,40.069,40.069	pPt-457118,pPt-472804,pPt-472805,pPt-534011,pPt-535700,pPt-539066	DArT_marker	cigar_liftover_v403_to_v61
1	67821419	3	2	40.067	pPt-459313	DArT_marker	cigar_liftover_v403_to_v61	40.067	40.067	40.069	0.0020000000000024443	40.067,40.067,40.069	pPt-459313,pPt-534108,pPt-535430	DArT_marker	cigar_liftover_v403_to_v61
1	72006329	7	3	50.077	toPt-437056	DArT_marker	cigar_liftover_v403_to_v61	50.077	50.123	50.278	0.2010000000000005	50.077,50.123,50.123,50.123,50.123,50.123,50.278	pPt-533578,pPt-534179,pPt-536820,pPt-537290,pPt-656118,pPt-656245,toPt-437056	DArT_marker	cigar_liftover_v403_to_v61
1	73882634	3	3	55.774	pPt-655473	DArT_marker	cigar_liftover_v403_to_v61	55.774	56.708	58.339	2.5649999999999977	55.774,56.708,58.339	pPt-457889,pPt-458782,pPt-655473	DArT_marker	cigar_liftover_v403_to_v61
1	76781756	2	2	62.553	pPt-650006	DArT_marker	cigar_liftover_v403_to_v61	62.553	62.5575	62.562	0.009000000000000341	62.553,62.562	pPt-472129,pPt-650006	DArT_marker	cigar_liftover_v403_to_v61
1	79520001	2	2	72.646	pPt-472090	DArT_marker	cigar_liftover_v403_to_v61	72.646	72.769	72.892	0.2459999999999951	72.646,72.892	pPt-471438,pPt-472090	DArT_marker	cigar_liftover_v403_to_v61
1	79768729	2	2	75.718	pPt-654710	DArT_marker	cigar_liftover_v403_to_v61	75.718	75.78	75.842	0.12399999999999523	75.718,75.842	pPt-654710,pPt-654743	DArT_marker	cigar_liftover_v403_to_v61
1	79911289	6	3	75.631	pPt-533740	DArT_marker	cigar_liftover_v403_to_v61	75.631	75.631	75.718	0.0870000000000033	75.631,75.631,75.631,75.631,75.639,75.718	pPt-473160,pPt-533740,pPt-653975,pPt-654187,pPt-654960,pPt-656584	DArT_marker	cigar_liftover_v403_to_v61
1	82331310	4	2	79.247	pPt-552365	DArT_marker	cigar_liftover_v403_to_v61	79.247	79.247	79.25	0.0030000000000001137	79.247,79.247,79.247,79.25	pPt-471906,pPt-552365,pPt-552401,pPt-559324	DArT_marker	cigar_liftover_v403_to_v61
1	84651365	6	4	82.34	pPt-537760	DArT_marker	cigar_liftover_v403_to_v61	82.34	82.341	82.355	0.015000000000000568	82.34,82.341,82.341,82.341,82.351,82.355	pPt-457623,pPt-534144,pPt-534579,pPt-535139,pPt-537760,pPt-539598	DArT_marker	cigar_liftover_v403_to_v61
1	84755311	3	3	81.766	pPt-456654	DArT_marker	cigar_liftover_v403_to_v61	81.766	82.816	82.915	1.149000000000001	81.766,82.816,82.915	pPt-456654,pPt-537798,pPt-653008	DArT_marker	cigar_liftover_v403_to_v61
1	85968224	5	3	83.891	pPt-457663	DArT_marker	cigar_liftover_v403_to_v61	83.891	83.894	83.922	0.0309999999999917	83.891,83.891,83.894,83.894,83.922	pPt-457663,pPt-457687,pPt-650968,pPt-656365,pPt-656956	DArT_marker	cigar_liftover_v403_to_v61
1	87140660	2	2	89.438	pPt-552373	DArT_marker	cigar_liftover_v403_to_v61	89.438	89.73	90.022	0.5840000000000032	89.438,90.022	pPt-534481,pPt-552373	DArT_marker	cigar_liftover_v403_to_v61
1	87140661	5	5	89.553	pPt-537128	DArT_marker	cigar_liftover_v403_to_v61	89.553	89.749	92.181	2.628	89.553,89.667,89.749,90.914,92.181	pPt-534826,pPt-537048,pPt-537128,pPt-538047,pPt-539661	DArT_marker	cigar_liftover_v403_to_v61
1	87140672	2	2	89.515	pPt-471907	DArT_marker	cigar_liftover_v403_to_v61	89.515	91.2485	92.982	3.4669999999999987	89.515,92.982	pPt-471907,pPt-650685	DArT_marker	cigar_liftover_v403_to_v61
1	87509482	12	6	87.967	pPt-457982	DArT_marker	cigar_liftover_v403_to_v61	87.967	88.624	90.603	2.6359999999999957	87.967,88.624,88.624,88.624,88.624,88.624,88.624,88.624,88.639,88.752,88.787,90.603	pPt-456626,pPt-457198,pPt-457982,pPt-458685,pPt-473327,pPt-533689,pPt-534090,pPt-534300,pPt-536888,pPt-537292,pPt-537522,pPt-657049	DArT_marker	cigar_liftover_v403_to_v61
