chr	pos	cM	bin	source_chr	tigr6_seqid	tigr6_pos	irgsp1_seqid	irgsp1_start0	irgsp1_end0	strand
1	283464	0.000000	Bin1	1	chr01|13101	282464	NC_029256.1	283463	283464	+
1	582800	0.239809	Bin2	1	chr01|13101	581800	NC_029256.1	582799	582800	+
1	761423	0.722904	Bin3	1	chr01|13101	760423	NC_029256.1	761422	761423	+
1	999510	1.452844	Bin4	1	chr01|13101	998510	NC_029256.1	999509	999510	+
1	1111744	2.433268	Bin5	1	chr01|13101	1110744	NC_029256.1	1111743	1111744	+
1	1184829	2.673076	Bin6	1	chr01|13101	1183829	NC_029256.1	1184828	1184829	+
1	1271318	4.693553	Bin7	1	chr01|13101	1270318	NC_029256.1	1271317	1271318	+
1	1413852	4.933362	Bin8	1	chr01|13101	1412852	NC_029256.1	1413851	1413852	+
1	1530702	5.663302	Bin9	1	chr01|13101	1529702	NC_029256.1	1530701	1530702	+
1	1635208	6.146397	Bin10	1	chr01|13101	1634208	NC_029256.1	1635207	1635208	+
1	1726282	7.381028	Bin11	1	chr01|13101	1725282	NC_029256.1	1726281	1726282	+
1	1760356	7.620837	Bin12	1	chr01|13101	1759356	NC_029256.1	1760355	1760356	+
1	1867618	8.350777	Bin13	1	chr01|13101	1866618	NC_029256.1	1867617	1867618	+
1	2088494	9.843425	Bin14	1	chr01|13101	2087494	NC_029256.1	2088493	2088494	+
1	2305564	11.336073	Bin15	1	chr01|13101	2304564	NC_029256.1	2305563	2305564	+
1	2527598	11.575882	Bin16	1	chr01|13101	2526598	NC_029256.1	2527597	2527598	+
1	2714615	11.815690	Bin17	1	chr01|13101	2713615	NC_029256.1	2714614	2714615	+
1	2859218	12.055499	Bin18	1	chr01|13101	2858218	NC_029256.1	2859217	2859218	+
1	3201390	13.290129	Bin19	1	chr01|13101	3200390	NC_029256.1	3201389	3201390	+
1	3480786	14.270553	Bin20	1	chr01|13101	3479786	NC_029256.1	3480785	3480786	+
1	3550984	14.510362	Bin21	1	chr01|13101	3549984	NC_029256.1	3550983	3550984	+
1	3599680	15.490785	Bin22	1	chr01|13101	3598680	NC_029256.1	3599679	3599680	+
1	3638896	15.973881	Bin23	1	chr01|13101	3637896	NC_029256.1	3638895	3638896	+
1	3679592	16.456976	Bin24	1	chr01|13101	3678592	NC_029256.1	3679591	3679592	+
1	4002304	16.940072	Bin25	1	chr01|13101	4001304	NC_029256.1	4002303	4002304	+
1	4360039	22.179019	Bin26	1	chr01|13101	4359039	NC_029256.1	4360038	4360039	+
1	4479537	23.159443	Bin27	1	chr01|13101	4478537	NC_029256.1	4479536	4479537	+
1	4566034	23.399251	Bin28	1	chr01|13101	4565034	NC_029256.1	4566033	4566034	+
1	4615460	24.379675	Bin29	1	chr01|13101	4614460	NC_029256.1	4615459	4615460	+
1	4698086	24.862771	Bin30	1	chr01|13101	4697086	NC_029256.1	4698085	4698086	+
1	4833373	26.097401	Bin31	1	chr01|13101	4832373	NC_029256.1	4833372	4833373	+
1	4973319	26.580497	Bin32	1	chr01|13101	4972319	NC_029256.1	4973318	4973319	+
1	5099072	27.063592	Bin33	1	chr01|13101	5098072	NC_029256.1	5099071	5099072	+
1	5209046	30.476991	Bin34	1	chr01|13101	5208046	NC_029256.1	5209045	5209046	+
1	5285234	30.716799	Bin35	1	chr01|13101	5284234	NC_029256.1	5285233	5285234	+
1	5347338	31.199895	Bin36	1	chr01|13101	5346338	NC_029256.1	5347337	5347338	+
1	5391564	31.682991	Bin37	1	chr01|13101	5390564	NC_029256.1	5391563	5391564	+
1	5448862	32.917621	Bin38	1	chr01|13101	5447862	NC_029256.1	5448861	5448862	+
1	5583774	33.647561	Bin39	1	chr01|13101	5582774	NC_029256.1	5583773	5583774	+
1	5713010	33.887370	Bin40	1	chr01|13101	5712010	NC_029256.1	5713009	5713010	+
1	5755070	34.127178	Bin41	1	chr01|13101	5754070	NC_029256.1	5755069	5755070	+
1	5841215	34.610274	Bin42	1	chr01|13101	5840215	NC_029256.1	5841214	5841215	+
1	5980565	34.850083	Bin43	1	chr01|13101	5979565	NC_029256.1	5980564	5980565	+
1	6128659	35.089891	Bin44	1	chr01|13101	6127659	NC_029256.1	6128658	6128659	+
1	6224468	35.329700	Bin45	1	chr01|13101	6223468	NC_029256.1	6224467	6224468	+
1	6252884	36.059640	Bin46	1	chr01|13101	6251884	NC_029256.1	6252883	6252884	+
1	6402703	36.299448	Bin47	1	chr01|13101	6401703	NC_029256.1	6402702	6402703	+
1	6565164	36.782544	Bin48	1	chr01|13101	6564164	NC_029256.1	6565163	6565164	+
1	6695014	37.265639	Bin49	1	chr01|13101	6694014	NC_029256.1	6695013	6695014	+
1	7092541	38.246063	Bin50	1	chr01|13101	7091541	NC_029256.1	7092540	7092541	+
1	7887440	49.836144	Bin51	1	chr01|13101	7886440	NC_029256.1	7887439	7887440	+
1	8535983	52.962162	Bin52	1	chr01|13101	8534983	NC_029256.1	8535982	8535983	+
1	8744130	53.692102	Bin53	1	chr01|13101	8743130	NC_029256.1	8744129	8744130	+
1	8992355	53.931910	Bin54	1	chr01|13101	8991355	NC_029256.1	8992354	8992355	+
1	9204455	54.415006	Bin55	1	chr01|13101	9203455	NC_029256.1	9204454	9204455	+
1	9305067	54.654814	Bin56	1	chr01|13101	9304043	NC_029256.1	9305066	9305067	+
1	9550256	61.216924	Bin57	1	chr01|13101	9549232	NC_029256.1	9550255	9550256	+
1	9796386	61.456732	Bin58	1	chr01|13101	9795362	NC_029256.1	9796385	9796386	+
1	10180784	62.949381	Bin59	1	chr01|13101	10179760	NC_029256.1	10180783	10180784	+
1	10535418	63.929804	Bin60	1	chr01|13101	10534394	NC_029256.1	10535417	10535418	+
1	10603414	64.412900	Bin61	1	chr01|13101	10602390	NC_029256.1	10603413	10603414	+
1	10669809	64.652708	Bin62	1	chr01|13101	10668785	NC_029256.1	10669808	10669809	+
1	10823458	65.135804	Bin63	1	chr01|13101	10822434	NC_029256.1	10823457	10823458	+
1	10944682	65.375612	Bin64	1	chr01|13101	10943658	NC_029256.1	10944681	10944682	+
1	11262365	66.356036	Bin65	1	chr01|13101	11261341	NC_029256.1	11262364	11262365	+
1	11824272	70.966346	Bin66	1	chr01|13101	11823246	NC_029256.1	11824271	11824272	+
1	12139142	71.946769	Bin67	1	chr01|13101	12138116	NC_029256.1	12139141	12139142	+
1	12278494	72.186578	Bin68	1	chr01|13101	12277468	NC_029256.1	12278493	12278494	+
1	12513563	74.477055	Bin69	1	chr01|13101	12512537	NC_029256.1	12513562	12513563	+
