chr	pos	cM	bin	source_chr	tigr6_seqid	tigr6_pos	asm465v1_seqid	asm465v1_start0	asm465v1_end0	strand
1	721626	0.239809	Bin2	1	chr01|13101	581800	1	721625	721626	+
1	1448939	2.673076	Bin6	1	chr01|13101	1183829	1	1448938	1448939	+
1	1544080	4.693553	Bin7	1	chr01|13101	1270318	1	1544079	1544080	+
1	1728228	4.933362	Bin8	1	chr01|13101	1412852	1	1728227	1728228	+
1	1989114	6.146397	Bin10	1	chr01|13101	1634208	1	1989113	1989114	+
1	2083611	7.381028	Bin11	1	chr01|13101	1725282	1	2083610	2083611	+
1	2116914	7.620837	Bin12	1	chr01|13101	1759356	1	2116913	2116914	+
1	2220542	8.350777	Bin13	1	chr01|13101	1866618	1	2220541	2220542	+
1	2456883	9.843425	Bin14	1	chr01|13101	2087494	1	2456882	2456883	+
1	3181824	11.815690	Bin17	1	chr01|13101	2713615	1	3181823	3181824	+
1	3332822	12.055499	Bin18	1	chr01|13101	2858218	1	3332821	3332822	+
1	3912872	14.270553	Bin20	1	chr01|13101	3479786	1	3912871	3912872	+
1	3998507	14.510362	Bin21	1	chr01|13101	3549984	1	3998506	3998507	+
1	4066859	15.490785	Bin22	1	chr01|13101	3598680	1	4066858	4066859	+
1	4100868	15.973881	Bin23	1	chr01|13101	3637896	1	4100867	4100868	+
1	4139766	16.456976	Bin24	1	chr01|13101	3678592	1	4139765	4139766	+
1	4471478	16.940072	Bin25	1	chr01|13101	4001304	1	4471477	4471478	+
1	4975188	23.399251	Bin28	1	chr01|13101	4565034	1	4975187	4975188	+
1	5029094	24.379675	Bin29	1	chr01|13101	4614460	1	5029093	5029094	+
1	5105411	24.862771	Bin30	1	chr01|13101	4697086	1	5105410	5105411	+
1	5235980	26.097401	Bin31	1	chr01|13101	4832373	1	5235979	5235980	+
1	5351981	26.580497	Bin32	1	chr01|13101	4972319	1	5351980	5351981	+
1	5490927	27.063592	Bin33	1	chr01|13101	5098072	1	5490926	5490927	+
1	5605829	30.476991	Bin34	1	chr01|13101	5208046	1	5605828	5605829	+
1	5684228	30.716799	Bin35	1	chr01|13101	5284234	1	5684227	5684228	+
1	5786160	31.682991	Bin37	1	chr01|13101	5390564	1	5786159	5786160	+
1	5847367	32.917621	Bin38	1	chr01|13101	5447862	1	5847366	5847367	+
1	5984152	33.647561	Bin39	1	chr01|13101	5582774	1	5984151	5984152	+
1	6123462	33.887370	Bin40	1	chr01|13101	5712010	1	6123461	6123462	+
1	6277178	34.610274	Bin42	1	chr01|13101	5840215	1	6277177	6277178	+
1	6424152	34.850083	Bin43	1	chr01|13101	5979565	1	6424151	6424152	+
1	6570603	35.089891	Bin44	1	chr01|13101	6127659	1	6570602	6570603	+
1	6654782	35.329700	Bin45	1	chr01|13101	6223468	1	6654781	6654782	+
1	6700359	36.059640	Bin46	1	chr01|13101	6251884	1	6700358	6700359	+
1	6860253	36.299448	Bin47	1	chr01|13101	6401703	1	6860252	6860253	+
1	7025038	36.782544	Bin48	1	chr01|13101	6564164	1	7025037	7025038	+
1	7172674	37.265639	Bin49	1	chr01|13101	6694014	1	7172673	7172674	+
1	7607331	38.246063	Bin50	1	chr01|13101	7091541	1	7607330	7607331	+
1	8543942	49.836144	Bin51	1	chr01|13101	7886440	1	8543941	8543942	+
1	9385875	52.962162	Bin52	1	chr01|13101	8534983	1	9385874	9385875	+
1	9597433	53.692102	Bin53	1	chr01|13101	8743130	1	9597432	9597433	+
1	9845882	53.931910	Bin54	1	chr01|13101	8991355	1	9845881	9845882	+
1	10117299	54.415006	Bin55	1	chr01|13101	9203455	1	10117298	10117299	+
1	10227855	54.654814	Bin56	1	chr01|13101	9304043	1	10227854	10227855	+
1	10478486	61.216924	Bin57	1	chr01|13101	9549232	1	10478485	10478486	+
1	10734568	61.456732	Bin58	1	chr01|13101	9795362	1	10734567	10734568	+
1	11568230	63.929804	Bin60	1	chr01|13101	10534394	1	11568229	11568230	+
1	11640924	64.412900	Bin61	1	chr01|13101	10602390	1	11640923	11640924	+
1	11705722	64.652708	Bin62	1	chr01|13101	10668785	1	11705721	11705722	+
1	11820463	65.135804	Bin63	1	chr01|13101	10822434	1	11820462	11820463	+
1	11928494	65.375612	Bin64	1	chr01|13101	10943658	1	11928493	11928494	+
1	12335675	66.356036	Bin65	1	chr01|13101	11261341	1	12335674	12335675	+
1	12878560	70.966346	Bin66	1	chr01|13101	11823246	1	12878559	12878560	+
1	13203236	71.946769	Bin67	1	chr01|13101	12138116	1	13203235	13203236	+
1	13374228	72.186578	Bin68	1	chr01|13101	12277468	1	13374227	13374228	+
1	13782480	74.477055	Bin69	1	chr01|13101	12512537	1	13782479	13782480	+
1	13946527	74.716863	Bin70	1	chr01|13101	12671892	1	13946526	13946527	+
1	14001958	75.199959	Bin71	1	chr01|13101	12728137	1	14001957	14001958	+
1	15487726	76.899808	Bin75	1	chr01|13101	13993932	1	15487725	15487726	+
1	15587365	77.139617	Bin76	1	chr01|13101	14078676	1	15587364	15587365	+
1	15742531	77.379425	Bin77	1	chr01|13101	14184781	1	15742530	15742531	+
1	15859462	77.619234	Bin78	1	chr01|13101	14307350	1	15859461	15859462	+
1	15997726	78.349174	Bin79	1	chr01|13101	14423625	1	15997725	15997726	+
1	16107599	78.588983	Bin80	1	chr01|13101	14506898	1	16107598	16107599	+
1	16160381	79.569406	Bin81	1	chr01|13101	14576207	1	16160380	16160381	+
1	16591484	79.809215	Bin82	1	chr01|13101	14959032	1	16591483	16591484	+
1	17034983	80.539155	Bin83	1	chr01|13101	15393072	1	17034982	17034983	+
1	20422697	81.748712	Bin86	1	chr01|13101	18355088	1	20422696	20422697	+
1	20503495	81.988521	Bin87	1	chr01|13101	18393679	1	20503494	20503495	+
1	20621410	82.228329	Bin88	1	chr01|13101	18468446	1	20621409	20621410	+
1	20883391	82.711425	Bin89	1	chr01|13101	18653160	1	20883390	20883391	+
1	21330621	83.691848	Bin90	1	chr01|13101	18988426	1	21330620	21330621	+
1	21965094	84.414753	Bin92	1	chr01|13101	19407879	1	21965093	21965094	+
1	22077217	84.654561	Bin93	1	chr01|13101	19533048	1	22077216	22077217	+
1	22742622	85.373987	Bin96	1	chr01|13101	20389404	1	22742621	22742622	+
1	22804295	85.857083	Bin97	1	chr01|13101	20449162	1	22804294	22804295	+
1	22829547	86.340178	Bin98	1	chr01|13101	20470818	1	22829546	22829547	+
1	22890768	87.070118	Bin99	1	chr01|13101	20517525	1	22890767	22890768	+
1	23209320	88.283154	Bin101	1	chr01|13101	20931940	1	23209319	23209320	+
1	23340679	88.522962	Bin102	1	chr01|13101	21063312	1	23340678	23340679	+
1	24649237	98.630232	Bin104	1	chr01|13101	22279089	1	24649236	24649237	+
1	25027670	98.870041	Bin105	1	chr01|13101	22555935	1	25027669	25027670	+
1	25101620	99.109850	Bin106	1	chr01|13101	22613546	1	25101619	25101620	+
1	25200892	99.349658	Bin107	1	chr01|13101	22686762	1	25200891	25200892	+
1	25260723	99.832754	Bin108	1	chr01|13101	22750983	1	25260722	25260723	+
1	25372224	100.072562	Bin109	1	chr01|13101	22807786	1	25372223	25372224	+
1	25513454	100.555658	Bin110	1	chr01|13101	22863686	1	25513453	25513454	+
1	25601866	100.795467	Bin111	1	chr01|13101	22939521	1	25601865	25601866	+
1	25791770	102.008502	Bin113	1	chr01|13101	23156308	1	25791769	25791770	+
1	25863484	102.491598	Bin114	1	chr01|13101	23235600	1	25863483	25863484	+
1	25982590	102.731406	Bin115	1	chr01|13101	23347296	1	25982589	25982590	+
1	26247946	103.461346	Bin116	1	chr01|13101	23539159	1	26247945	26247946	+
1	26656709	104.184250	Bin118	1	chr01|13101	23798457	1	26656708	26656709	+
1	26870993	105.676899	Bin119	1	chr01|13101	23946521	1	26870992	26870993	+
1	27009664	106.657322	Bin120	1	chr01|13101	24023372	1	27009663	27009664	+
1	27126701	106.897131	Bin121	1	chr01|13101	24129287	1	27126700	27126701	+
1	27299825	107.136939	Bin122	1	chr01|13101	24294010	1	27299824	27299825	+
1	27528098	113.026091	Bin123	1	chr01|13101	24482642	1	27528097	27528098	+
1	27853888	113.995840	Bin125	1	chr01|13101	24794244	1	27853887	27853888	+
1	27911491	114.235648	Bin126	1	chr01|13101	24844084	1	27911490	27911491	+
1	28094495	114.475457	Bin127	1	chr01|13101	24995472	1	28094494	28094495	+
1	28410022	115.205397	Bin128	1	chr01|13101	25287448	1	28410021	28410022	+
1	29072696	115.445205	Bin129	1	chr01|13101	25846804	1	29072695	29072696	+
1	29743609	118.571223	Bin130	1	chr01|13101	26537120	1	29743608	29743609	+
1	30265560	118.811032	Bin131	1	chr01|13101	27077903	1	30265559	30265560	+
1	30929745	126.792539	Bin132	1	chr01|13101	27660418	1	30929744	30929745	+
1	31334217	128.027170	Bin133	1	chr01|13101	28053522	1	31334216	31334217	+
1	31529512	128.266978	Bin134	1	chr01|13101	28253664	1	31529511	31529512	+
1	31706648	128.750074	Bin135	1	chr01|13101	28419682	1	31706647	31706648	+
1	31952126	129.719823	Bin137	1	chr01|13101	28640344	1	31952125	31952126	+
1	32059827	129.959631	Bin138	1	chr01|13101	28745904	1	32059826	32059827	+
1	32189687	130.199440	Bin139	1	chr01|13101	28890903	1	32189686	32189687	+
1	32698413	130.929380	Bin140	1	chr01|13101	29470353	1	32698412	32698413	+
1	33260017	134.634778	Bin141	1	chr01|13101	30030744	1	33260016	33260017	+
1	33348824	135.117874	Bin142	1	chr01|13101	30115600	1	33348823	33348824	+
1	33401688	135.357683	Bin143	1	chr01|13101	30173424	1	33401687	33401688	+
1	33562035	136.087623	Bin144	1	chr01|13101	30330788	1	33562034	33562035	+
1	33715670	136.327431	Bin145	1	chr01|13101	30484851	1	33715669	33715670	+
1	33752849	136.567240	Bin146	1	chr01|13101	30523234	1	33752848	33752849	+
1	33780249	136.807048	Bin147	1	chr01|13101	30554058	1	33780248	33780249	+
1	33926246	137.046857	Bin148	1	chr01|13101	30726130	1	33926245	33926246	+
