map_name	chr	n_markers	pos_min	pos_max	physical_span_bp	cm_min	cm_max	genetic_span_cM	markers_per_Mbp	markers_per_cM
strict_322	A1	27	1288210	27722485	26434275	16.776	82.668922	65.892922	1.021	0.41
strict_322	A2	14	3736048	27955112	24219064	11.11	74.009	62.899	0.578	0.223
strict_322	A3	33	1574069	31460812	29886743	4.768941	144.902193	140.133252	1.104	0.235
strict_322	A4	27	361416	21120660	20759244	10.875964	93.967964	83.092	1.301	0.325
strict_322	A5	30	764300	28798949	28034649	9.02	81.98484	72.96484000000001	1.07	0.411
strict_322	A6	47	851908	25482543	24630635	9.662	107.652537	97.99053699999999	1.908	0.48
strict_322	A7	12	565941	22304370	21738429	12.053549	77.239225	65.185676	0.552	0.184
strict_322	A8	6	9720198	22120372	12400174	0.0	53.272948	53.272948	0.484	0.113
strict_322	A9	34	3726107	44081194	40355087	3.798947	120.063129	116.264182	0.843	0.292
strict_322	A10	23	1270420	19089116	17818696	9.821015	101.09118	91.27016499999999	1.291	0.252
strict_322	C1	10	17840837	44456917	26616080	35.793	47.267	11.474000000000004	0.376	0.872
strict_322	C2	13	15048	50576939	50561891	5.951	57.316503	51.365503	0.257	0.253
strict_322	C3	15	355334	56053292	55697958	7.568	120.783	113.215	0.269	0.132
strict_322	C4	12	7436352	62308039	54871687	38.97	132.911	93.941	0.219	0.128
strict_322	C5	3	4417641	13877185	9459544	17.169	36.656	19.487	0.317	0.154
strict_322	C6	3	8853604	40783997	31930393	40.134	86.383	46.248999999999995	0.094	0.065
strict_322	C7	6	41218399	52863501	11645102	6.341	59.45	53.109	0.515	0.113
strict_322	C8	4	36640294	45665587	9025293	23.26	62.741	39.480999999999995	0.443	0.101
strict_322	C9	3	42182830	52886355	10703525	75.168064	86.031	10.862936000000005	0.28	0.276
