map_name	chr	bin_start_cM	bin_end_cM	n_markers
strict	1	0.0	10.0	19
strict	1	10.0	20.0	11
strict	1	20.0	30.0	57
strict	1	30.0	40.0	15
strict	2	50.0	60.0	43
strict	2	60.0	70.0	20
strict	3	0.0	10.0	52
strict	3	10.0	20.0	34
strict	3	20.0	30.0	23
strict	3	30.0	40.0	49
strict	3	40.0	50.0	25
strict	3	50.0	60.0	4
strict	4	0.0	10.0	26
strict	4	10.0	20.0	42
strict	4	20.0	30.0	52
strict	4	30.0	40.0	15
strict	4	40.0	50.0	24
strict	4	50.0	60.0	16
strict	4	60.0	70.0	11
strict	5	50.0	60.0	23
strict	5	60.0	70.0	39
strict	5	70.0	80.0	48
strict	5	80.0	90.0	10
strict	6	40.0	50.0	7
strict	6	50.0	60.0	8
strict	6	60.0	70.0	17
strict	6	70.0	80.0	21
strict	6	80.0	90.0	35
strict	6	90.0	100.0	61
strict	7	0.0	10.0	6
strict	7	10.0	20.0	20
strict	7	20.0	30.0	16
strict	7	30.0	40.0	31
strict	7	40.0	50.0	2
strict	7	50.0	60.0	1
strict	7	60.0	70.0	8
strict	8	30.0	40.0	8
strict	8	40.0	50.0	15
strict	8	50.0	60.0	13
strict	8	60.0	70.0	5
strict	8	70.0	80.0	7
strict	8	80.0	90.0	1
strict	8	90.0	100.0	1
