source_file	map_id	linkage_group	locus	cM	bin	gene_model	chr	start	end	has_nam5_position	pos
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	LOC100274981	14.92		Zm00001eb001900	1	5471781.0	5480336.0	True	5476058
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001d027449	14.92		Zm00001eb001900	1	5471781.0	5480336.0	True	5476058
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	chn22	20.96		Zm00001eb002620	1	7344153.0	7348877.0	True	7346515
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	chn32	20.97		Zm00001eb002620	1	7344153.0	7348877.0	True	7346515
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	hcf3	70.55		Zm00001eb014820	1	49638181.0	49666926.0	True	49652554
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	IDP4324	70.56		Zm00001eb014820	1	49638181.0	49666926.0	True	49652554
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001eb023370	104.27		Zm00001eb023370	1	92437785.0	92461538.0	True	92449662
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	fat6	104.27		Zm00001eb023370	1	92437785.0	92461538.0	True	92449662
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	aga3	129.6		Zm00001eb033870	1	187650116.0	187765353.0	True	187707734
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	rafs2	129.7		Zm00001eb033870	1	187650116.0	187765353.0	True	187707734
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	wakl2a	130.83		Zm00001eb034180	1	188755128.0	188765710.0	True	188760419
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	wakl2	130.97		Zm00001eb034180	1	188755128.0	188765710.0	True	188760419
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	bnlg2057	131.65		Zm00001eb034240	1	188971396.0	189027978.0	True	188999687
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	php20682	131.7		Zm00001eb034240	1	188971396.0	189027978.0	True	188999687
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	wakl3	131.75		Zm00001eb034290	1	189075472.0	189473854.0	True	189274663
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	wakl4	131.75		Zm00001eb034290	1	189075472.0	189473854.0	True	189274663
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	bcd386a.1	179.63		Zm00001eb044450	1	232291307.0	232294798.0	True	232293052
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	bnlg1564	179.63		Zm00001eb044450	1	232291307.0	232294798.0	True	232293052
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	dnaJ16	221.73		Zm00001eb054940	1	274383766.0	274409275.0	True	274396520
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	ppr67	221.73		Zm00001eb054940	1	274383766.0	274409275.0	True	274396520
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	tua2	222.93		Zm00001eb055850	1	277607567.0	277615097.0	True	277611332
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	tua1	222.95		Zm00001eb055850	1	277607567.0	277615097.0	True	277611332
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	gata44	225.92		Zm00001eb056630	1	281124655.0	281126442.0	True	281125548
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	Zm00001eb056640	225.94		Zm00001eb056630	1	281124655.0	281126442.0	True	281125548
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	LOC103644058	237.63		Zm00001eb058490	1	287273059.0	287334918.0	True	287303988
maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1	LOC103644061	237.63		Zm00001eb058490	1	287273059.0	287334918.0	True	287303988
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	LOC103645824	13.48		Zm00001eb067840	2	4645147.0	4654777.0	True	4649962
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	LOC103645825	13.48		Zm00001eb067840	2	4645147.0	4654777.0	True	4649962
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	aga5	68.28		Zm00001eb079430	2	38583656.0	38599214.0	True	38591435
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	aga6	68.28		Zm00001eb079430	2	38583656.0	38599214.0	True	38591435
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	ppr110	80.33		Zm00001eb083880	2	59206984.0	59413240.0	True	59310112
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	ppr111	80.33		Zm00001eb083880	2	59206984.0	59413240.0	True	59310112
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	nbs6	88.09		Zm00001eb091500	2	138054788.0	138061170.0	True	138057979
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	nbs6	88.1		Zm00001eb091500	2	138054788.0	138061170.0	True	138057979
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	AY110410	106.3		Zm00001eb102850	2	199702820.0	199708433.0	True	199705626
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	mybr116	106.32		Zm00001eb102850	2	199702820.0	199708433.0	True	199705626
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	vte7a	128.0		Zm00001eb108550	2	216423355.0	216447302.0	True	216435328
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	vte7b	128.0		Zm00001eb108550	2	216423355.0	216447302.0	True	216435328
maizegdb_genetic1_1203638_map_text_BROWSER.txt	1203638	2	Zm00001eb108700	2.08		Zm00001eb108700	2	216986357.0	216989352.0	True	216987854
