MaizeGDB: Details of Map Genetic 7
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
K7S	0.00																														
telomere7S	0.00																														
sqd2	0.01		GRMZM2G100652	Chr7	569941	572793	Zm00001d018595	Chr7	180280	183084	Zm00001eb297970	chr7	180609	183479																	
Zm00001d018594	0.01		GRMZM5G831474	Chr7	574225	575169	Zm00001d018594	Chr7	177173	178931																					
Zm00001d018596	0.02		GRMZM5G881908	Chr7	427647	432921	Zm00001d018596	Chr7	290154	295438	Zm00001eb297980	chr7	290476	295673																	
aaap51	0.03		GRMZM5G894233	Chr7	272887	276486	Zm00001d018598	Chr7	413119	416228	Zm00001eb297990	chr7	412345	416592																	
lac20	0.04		GRMZM5G800488	Chr7	306995	308828	Zm00001d018601	Chr7	474188	481301	Zm00001eb298030	chr7	474291	476592																	
GRMZM2G404922	0.04		GRMZM2G404922	Chr7	178311	188310	Zm00001d018603	Chr7	557017	567922	Zm00001eb298040	chr7	557451	568391																	
umc1788a	0.05		GRMZM2G090824	Chr7	988066	993567	Zm00001d018610	Chr7	839229	844730	Zm00001eb298090	chr7	839128	845465																	
GRMZM2G020281	0.06		GRMZM2G020281	Chr7	955381	961141	Zm00001d018613	Chr7	871207	880116	Zm00001eb298130	chr7	871692	877849																	
tps31	0.06		GRMZM2G390124	Chr7	985761	987463	Zm00001d018611	Chr7	845376	846882	Zm00001eb298110	chr7	845865	846377																	
larp1	0.07		GRMZM2G323499	Chr7	952700	955035	Zm00001d018613	Chr7	871207	880116	Zm00001eb298140	chr7	878011	880679																	
glur14	0.07		GRMZM2G020104	Chr7	920232	924567	Zm00001d018614	Chr7	908414	912556	Zm00001eb298150	chr7	908689	913067																	
pco096998	0.08		GRMZM2G179429	Chr7	772672	776085	Zm00001d018616	Chr7	1055086	1058478	Zm00001eb298180	chr7	1055734	1059147																	
glur15	0.08		GRMZM2G165828	Chr7	803648	806985	Zm00001d018615	Chr7	1022757	1026799	Zm00001eb298170	chr7	1023365	1027444																	
ga2ox12	0.10		GRMZM2G177104	Chr7	725316	726416	Zm00001d018617	Chr7	1105512	1106576	Zm00001eb298190	chr7	1103231	1107418																	
px22	0.12						Zm00001d018618	Chr7	1148023	1149778	Zm00001eb298200	chr7	1148503	1150466																	
Zm00001eb298210	0.14						Zm00001d018619	Chr7	1162875	1177195	Zm00001eb298210	chr7	1163440	1164750																	
prx80	0.16		GRMZM2G138450	Chr7	1065942	1067495	Zm00001d018619	Chr7	1162875	1177195	Zm00001eb298220	chr7	1176244	1177802																	
prx84	0.18		GRMZM2G404676	Chr7	1123344	1124687	Zm00001d018620	Chr7	1225807	1226820	Zm00001eb298230	chr7	1226164	1227675																	
Zm00001d018623	0.28		GRMZM2G436986	Chr7	1143272	1145765	Zm00001d018623	Chr7	1246476	1247258	Zm00001eb298270	chr7	1246996	1248394																	
krp11	0.30		GRMZM2G436981	Chr7	1144796	1151528	Zm00001d018624	Chr7	1247292	1253741	Zm00001eb298280	chr7	1247472	1254528																	
IDP7271	0.32		GRMZM2G135839	Chr7	1195548	1204177	Zm00001d018625	Chr7	1297768	1306494	Zm00001eb298290	chr7	1298443	1307129																	
GRMZM2G135808	0.34		GRMZM2G135808	Chr7	1225456	1233283	Zm00001d018626	Chr7	1327797	1335562	Zm00001eb298300	chr7	1328332	1336136																	
mstr1	0.50		GRMZM2G135739	Chr7	1232553	1236835	Zm00001d018627	Chr7	1335710	1339124	Zm00001eb298310	chr7	1336143	1339809																	
dir11	0.52		GRMZM2G420733	Chr7	1272840	1273906	Zm00001d018631	Chr7	1374181	1374933	Zm00001eb298320	chr7	1371319	1375731																	
umc2177	0.58		GRMZM2G420772	Chr7	1269882	1270540	Zm00001d018628	Chr7	1371039	1371678	Zm00001eb298330	chr7	1371524	1372385																	
LOC100304142	0.60		GRMZM2G420743	Chr7	1269882	1272727	Zm00001d018629	Chr7	1372027	1372659																					
Zm00001d018630	0.66		GRMZM2G420758	Chr7	1271996	1272620	Zm00001d018630	Chr7	1373357	1373758	Zm00001eb298340	chr7	1373910	1374502																	
csu582	0.68		GRMZM2G120652	Chr7	1287636	1289355	Zm00001d018633	Chr7	1389242	1390195	Zm00001eb298350	chr7	1389143	1391359																	
Zm00001eb298360	0.70										Zm00001eb298360	chr7	1389666	1391059																	
dek58	0.72		GRMZM2G120575	Chr7	1289961	1293965	Zm00001d018634	Chr7	1391301	1395097	Zm00001eb298370	chr7	1391901	1395682																	
Zm00001d018636	1.20		GRMZM2G120572	Chr7	1299982	1302667	Zm00001d018636	Chr7	1401157	1403921	Zm00001eb298400	chr7	1401722	1404405																	
mate39	1.28		GRMZM2G120563	Chr7	1309331	1321760	Zm00001d018638	Chr7	1410785	1413063	Zm00001eb298420	chr7	1411068	1413656																	
