chr	n	spearman_pos_cM	pearson_pos_cM	cM_decreases_after_sort_by_pos	min_pos	max_pos	min_cM	max_cM
1	3387	0.9999972532395518	0.9776222982282624	20	37410	308322690	0.0	285.8
2	2580	0.9984974300965318	0.9227900579083674	19	98554	243484148	0.0	181.8
3	2277	0.9999835787564018	0.9264209399618605	15	253579	237761286	0.05	208.4
4	2180	0.99979027156487	0.9485321333428832	15	139714	250060058	0.02	187.27
5	2384	0.9999995941503909	0.9340803299187093	15	287408	226247164	0.1	171.0
6	1785	0.9999992857906915	0.9224712767918934	10	5533063	181183029	0.5	137.82
7	1686	0.9999994823284185	0.929199229004152	6	182044	185796199	0.01	156.02
8	1913	0.9999973752809298	0.9560728421987016	19	265045	182260656	0.01	159.0
9	1614	0.9999993963553939	0.8954742499956542	10	1797399	162885841	0.0	160.17
10	1549	0.996949434733788	0.8997475694501685	10	132371	152286072	0.1	135.99
