chr	bin_start_cM	bin_end_cM	n_markers
1	0.0	10.0	14
1	10.0	20.0	11
1	20.0	30.0	8
1	30.0	40.0	17
1	40.0	50.0	1
1	50.0	60.0	5
1	60.0	70.0	9
1	70.0	80.0	17
1	80.0	90.0	20
1	90.0	100.0	6
1	100.0	110.0	14
1	110.0	120.0	9
1	120.0	130.0	7
1	130.0	140.0	20
1	140.0	150.0	17
1	150.0	160.0	13
1	160.0	170.0	5
1	170.0	180.0	3
1	180.0	190.0	5
1	190.0	200.0	15
1	200.0	210.0	1
2	0.0	10.0	14
2	10.0	20.0	12
2	20.0	30.0	0
2	30.0	40.0	10
2	40.0	50.0	4
2	50.0	60.0	5
2	60.0	70.0	16
2	70.0	80.0	25
2	80.0	90.0	7
2	90.0	100.0	0
2	100.0	110.0	0
2	110.0	120.0	0
2	120.0	130.0	0
2	130.0	140.0	7
2	140.0	150.0	15
2	150.0	160.0	3
2	160.0	170.0	14
2	170.0	180.0	7
3	0.0	10.0	4
3	10.0	20.0	11
3	20.0	30.0	4
3	30.0	40.0	4
3	40.0	50.0	5
3	50.0	60.0	19
3	60.0	70.0	5
3	70.0	80.0	9
3	80.0	90.0	15
3	90.0	100.0	25
3	100.0	110.0	6
3	110.0	120.0	9
3	120.0	130.0	19
3	130.0	140.0	24
3	140.0	150.0	6
3	150.0	160.0	8
3	160.0	170.0	0
3	170.0	180.0	4
3	180.0	190.0	15
4	0.0	10.0	18
4	10.0	20.0	23
4	20.0	30.0	6
4	30.0	40.0	14
4	40.0	50.0	10
4	50.0	60.0	8
4	60.0	70.0	9
4	70.0	80.0	7
4	80.0	90.0	6
4	90.0	100.0	14
4	100.0	110.0	20
4	110.0	120.0	1
4	120.0	130.0	4
5	0.0	10.0	14
5	10.0	20.0	17
5	20.0	30.0	10
5	30.0	40.0	6
5	40.0	50.0	12
5	50.0	60.0	9
5	60.0	70.0	13
5	70.0	80.0	10
5	80.0	90.0	8
5	90.0	100.0	4
5	100.0	110.0	19
5	110.0	120.0	8
6	0.0	10.0	23
6	10.0	20.0	18
6	20.0	30.0	4
6	30.0	40.0	9
6	40.0	50.0	12
6	50.0	60.0	12
6	60.0	70.0	10
6	70.0	80.0	12
6	80.0	90.0	14
6	90.0	100.0	10
6	100.0	110.0	4
6	110.0	120.0	2
6	120.0	130.0	15
6	130.0	140.0	2
6	140.0	150.0	2
7	0.0	10.0	17
7	10.0	20.0	4
7	20.0	30.0	5
7	30.0	40.0	0
7	40.0	50.0	4
7	50.0	60.0	11
7	60.0	70.0	15
7	70.0	80.0	2
7	80.0	90.0	6
7	90.0	100.0	2
7	100.0	110.0	5
7	110.0	120.0	9
7	120.0	130.0	7
7	130.0	140.0	4
8	0.0	10.0	9
8	10.0	20.0	1
8	20.0	30.0	13
8	30.0	40.0	15
8	40.0	50.0	21
8	50.0	60.0	18
8	60.0	70.0	12
8	70.0	80.0	0
8	80.0	90.0	2
8	90.0	100.0	8
8	100.0	110.0	10
8	110.0	120.0	8
8	120.0	130.0	1
9	0.0	10.0	24
9	10.0	20.0	15
9	20.0	30.0	2
9	30.0	40.0	0
9	40.0	50.0	0
9	50.0	60.0	1
9	60.0	70.0	11
9	70.0	80.0	19
9	80.0	90.0	24
9	90.0	100.0	13
9	100.0	110.0	7
10	0.0	10.0	12
10	10.0	20.0	21
10	20.0	30.0	13
10	30.0	40.0	10
10	40.0	50.0	12
10	50.0	60.0	6
10	60.0	70.0	6
10	70.0	80.0	7
10	80.0	90.0	11
11	0.0	10.0	8
11	10.0	20.0	9
11	20.0	30.0	11
11	30.0	40.0	10
11	40.0	50.0	7
11	50.0	60.0	22
11	60.0	70.0	13
11	70.0	80.0	14
11	80.0	90.0	10
11	90.0	100.0	12
11	100.0	110.0	20
11	110.0	120.0	14
12	0.0	10.0	3
12	10.0	20.0	4
12	20.0	30.0	0
12	30.0	40.0	3
12	40.0	50.0	22
12	50.0	60.0	10
12	60.0	70.0	7
12	70.0	80.0	4
12	80.0	90.0	11
12	90.0	100.0	8
12	100.0	110.0	7
