MaizeGDB: Details of Map Genetic 2
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
telomere2S	0.00																																														
mab10	0.00		GRMZM2G154437	Chr2	273517	274882	Zm00001d001767	Chr2	259078	260187	Zm00001eb065610	chr2	249250	250710																																	
Zm00001d001765	0.00		GRMZM2G046590	Chr2	134843	139880	Zm00001d001765	Chr2	99801	117243	Zm00001eb065570	chr2	89393	107715																																	
pub4	0.02		GRMZM2G013776	Chr2	363357	365043	Zm00001d001769	Chr2	358456	360837	Zm00001eb065620	chr2	342932	344528																																	
hin12	0.10						Zm00001d001772	Chr2	475371	476004	Zm00001eb065640	chr2	765492	766740																																	
ca3p2	0.20		GRMZM2G480621	Chr2	567968	568904	Zm00001d001775	Chr2	546551	547601	Zm00001eb065670	chr2	836945	837725																																	
caspl7	0.38		GRMZM2G382104	Chr2	722491	733113	Zm00001d001779	Chr2	707483	708601	Zm00001eb065710	chr2	997892	999010																																	
bsk5	0.40		GRMZM2G382104	Chr2	722491	733113	Zm00001d001780	Chr2	709269	717277	Zm00001eb065720	chr2	999575	1007836																																	
miR393a	0.48		zma-MIR393a	Chr2	754231	754356	zma-MIR393a	Chr2	738724	738849																																					
ahl9	0.50		GRMZM2G086876	Chr2	843404	846261	Zm00001d001784	Chr2	830360	832876	Zm00001eb065740	chr2	1120718	1123457																																	
mctp1	0.52		GRMZM2G386643	Chr2	846558	851476	Zm00001d001785	Chr2	833688	836726	Zm00001eb065750	chr2	1123890	1128823																																	
pco079129b	0.55		GRMZM2G058966	Chr2	925414	936560	Zm00001d001787	Chr2	923036	933728	Zm00001eb065770	chr2	1213443	1224242																																	
kea4	0.60		GRMZM2G058948	Chr2	938581	943930	Zm00001d001788	Chr2	935639	948444	Zm00001eb065780	chr2	1225878	1239085																																	
pmm1	0.78		GRMZM2G165535	Chr2	961271	964346	Zm00001d001789	Chr2	954829	957763	Zm00001eb065790	chr2	1245194	1248269																																	
pdcb7	0.90		GRMZM2G064202	Chr2	1042650	1044968	Zm00001d001791	Chr2	1023933	1025879	Zm00001eb065810	chr2	1314362	1316447																																	
atg4a	0.90		GRMZM2G064212	Chr2	1038241	1042272	Zm00001d001790	Chr2	1019499	1023493	Zm00001eb065800	chr2	1309928	1314027																																	
isu53a	0.95																																														
mis12b	1.80						Zm00001d001797	Chr2	1064875	1074378	Zm00001eb065850	chr2	1354646	1364822																																	
pco124429	1.81		GRMZM2G049536	Chr2	1141671	1144254	Zm00001d001799	Chr2	1084435	1086981	Zm00001eb065860	chr2	1374801	1377539																																	
acb3	1.81		GRMZM2G049495	Chr2	1049355	1141492	Zm00001d001798	Chr2	1081627	1084219																																					
cl11234_1	1.84		GRMZM2G459874	Chr2	1189075	1190980	Zm00001d001800	Chr2	1166301	1168004	Zm00001eb065870	chr2	1442869	1473432																																	
AY110535	1.90		GRMZM2G348959	Chr2	1285327	1287930	Zm00001d001807	Chr2	1263985	1266617	Zm00001eb065930	chr2	1540675	1542738																																	
smk10	1.90		GRMZM2G051917	Chr2	1267102	1272359	Zm00001d001803	Chr2	1245474	1250143	Zm00001eb065890	chr2	1522052	1527350																																	
ws3	2.00																																														
mlo9	2.00		GRMZM2G051974	Chr2	1273216	1278753	Zm00001d001804	Chr2	1251628	1257162	Zm00001eb065900	chr2	1528205	1534192																																	
pco061701	2.08		GRMZM2G052178	Chr2	1289619	1293319	Zm00001d001808	Chr2	1268179	1271746	Zm00001eb065940	chr2	1544730	1548469																																	
Zm00001eb108700	2.08		GRMZM5G812707	Chr2	210826451	210827896					Zm00001eb108700	chr2	216986357	216989352																																	
Zm00001d001809	2.10		GRMZM2G147854	Chr2	1319742	1339765	Zm00001d001809	Chr2	1294932	1314979	Zm00001eb065950	chr2	1571478	1591655																																	
raf1	2.50		GRMZM2G457621	Chr2	1361783	1363354	Zm00001d001812	Chr2	1341011	1342402	Zm00001eb066000	chr2	1617394	1619932																																	
npi239	2.90		GRMZM2G018595	Chr2	1437710	1441525	Zm00001d001813	Chr2	1413569	1415916	Zm00001eb066010	chr2	1690232	1693373																																	
IDP6830	2.92		GRMZM2G019500	Chr2	1439411	1444042	Zm00001d001814	Chr2	1415886	1419759	Zm00001eb066020	chr2	1692614	1696625																																	
Zm00001eb066030	2.94		GRMZM2G386564	Chr2	1449707	1451789	Zm00001d001818	Chr2	1432077	1434514	Zm00001eb066030	chr2	1702409	1711418																																	
Zm00001d001819	2.98		GRMZM2G084938	Chr2	1457946	1462475	Zm00001d001819	Chr2	1434757	1438488	Zm00001eb066050	chr2	1711565	1715454																																	
pcr1	3.00		GRMZM2G084958	Chr2	1463875	1465462	Zm00001d001820	Chr2	1439871	1441447	Zm00001eb066060	chr2	1716559	1718288																																	
dof52	3.05						Zm00001d001824	Chr2	1527403	1528307	Zm00001eb066100	chr2	1804229	1805366																																	
Zm00001d001825	3.07		GRMZM6G915669	Chr1	225244843	225245877	Zm00001d001825	Chr2	1530585	1535057	Zm00001eb066110	chr2	1807477	1811916																																	
bnl8.45a	3.10		GRMZM2G084252	Chr2	1547887	1552664	Zm00001d001827	Chr2	1539660	1545379	Zm00001eb066140	chr2	1816442	1822407																																	
Zm00001d001829	3.14		GRMZM2G160683	Chr2	1565532	1566529	Zm00001d001829	Chr2	1558296	1558697	Zm00001eb066160	chr2	1834803	1835607																																	
