chr	pos	cM
1	53051	68.89
1	102859	67.32
1	104906	38.72
1	224302	64.76
1	270677	64.76
1	270677	65.1
1	274430	64.23
1	275601	64.81
1	339218	43.25
1	390253	43.25
1	428030	64.18
1	472832	63.23
1	534943	63.21
1	575983	63.21
1	617411	63.23
1	677518	61.62
1	692702	61.64
1	700451	61.64
1	728644	61.54
1	873274	60.24
1	930220	60.17
1	1023528	60.1
1	1032780	59.58
1	1059311	59.49
1	1074197	59.56
1	1078154	59.58
1	1116547	58.75
1	1285465	56.34
1	1298670	56.34
1	1357384	55.68
1	1436371	54.74
1	1449848	54.72
1	1482054	59.43
1	1529261	54.19
1	1545619	52.98
1	1556513	52.37
1	1586226	52.99
1	1645787	52.99
1	1661594	52.99
1	1697543	52.63
1	1701354	52.55
1	1721682	52.53
1	1963382	48.48
1	2002742	48.4
1	2093725	48.7
1	2172622	48.8
1	2240911	49.12
1	2312700	48.89
1	2366409	48.8
1	2401506	48.89
1	2405407	48.91
1	2458544	48.9
1	2510083	47.88
1	2610544	47.95
1	2629654	48.93
1	2671566	48.94
1	2775421	48.12
1	2782907	48.9
1	2844646	31.4
1	2870526	48.02
1	2988533	47.25
1	3144453	47.45
1	3194745	46.84
1	3253313	45.88
1	3364023	44.46
1	3428866	44.23
1	3443592	44.39
1	3493000	44.61
1	3503153	44.17
1	3734955	43.88
1	3740129	44.2
1	3740362	44.55
1	3749864	44.43
1	3853408	42.47
1	3973267	42.8
1	3979688	42.7
1	4019136	42.72
1	4089485	40.26
1	4110012	42.72
1	4202129	39.51
1	4291273	41.78
1	4301678	39.78
1	4342969	39.65
1	4347357	41.67
1	4423984	41.58
1	4479405	39.93
1	4508055	41.57
1	4559566	39.55
1	4635658	41.56
1	4761676	41.74
1	4767475	39.65
1	4782196	40.82
1	4827466	39.42
1	4848108	41.21
1	4866236	40.19
1	4944514	38.94
1	5071624	40.34
1	5156294	40.41
1	5206182	38.55
1	5236419	40.93
1	5289000	40.14
1	5378529	36.68
1	5379446	37.16
1	5577346	36.47
1	5593468	36.52
1	5666445	36.12
1	5791118	36.11
1	5843492	36.82
1	5977226	36.83
1	6162857	36.5
1	6224656	36.54
1	6236963	37.06
1	6248543	36.55
1	6278973	36.59
1	6295735	34.31
1	6584835	36.42
1	6592786	35.7
1	6662460	35.29
1	6679329	35.64
1	6706092	35.41
1	6733448	37.13
1	6821190	36.71
1	6869152	36.15
1	6879834	35.85
1	6889092	36.27
1	6920397	35.65
1	6938283	35.84
1	7039355	37.07
1	7196527	36.59
1	7250380	36.64
1	7281436	36.74
1	7370303	37.44
1	7417588	36.93
1	7439417	37.07
1	7446805	37.37
1	7488426	37.28
1	7540456	37.61
1	7652891	37.93
1	7778983	38.09
1	8037830	37.74
1	8045744	37.97
1	8224321	38.17
1	8394258	38.17
1	8550386	38.81
1	8587069	38.92
1	8603612	38.81
1	8614492	38.92
1	8712703	72.17
1	8751669	72.74
1	8839722	72.74
1	8872763	73.97
1	9059492	74.11
1	9104554	74.31
1	9379750	75.71
1	9403882	75.12
1	9407897	74.95
1	9489005	74.7
1	9555955	74.74
1	9555955	74.74
1	9592133	74.83
1	9703160	74.71
1	9741700	74.98
1	9749470	74.96
1	9810272	74.9
1	10068147	76.47
1	10113298	77.11
1	10135581	77.07
1	10206872	77.06
1	10278046	77.08
1	10319443	77.08
1	10337749	77.07
1	10355636	77.12
1	10494662	77.35
1	10495483	77.35
1	10552139	77.35
1	10713100	77.85
