bin	chr	start_mb	stop_mb	length_mb	cM	old_start_bp_1based	old_stop_bp_1based	old_mid_bp_1based
Bin1	1	0.000000	0.564928	0.564928	0.000000	1	564928	282464
Bin2	1	0.564929	0.598670	0.033741	0.239809	564930	598670	581800
Bin3	1	0.598671	0.922175	0.323504	0.722904	598672	922175	760423
Bin4	1	0.922176	1.074844	0.152668	1.452844	922177	1074844	998510
Bin5	1	1.074845	1.146643	0.071798	2.433268	1074846	1146643	1110744
Bin6	1	1.146644	1.221014	0.074370	2.673076	1146645	1221014	1183829
Bin7	1	1.221015	1.319621	0.098606	4.693553	1221016	1319621	1270318
Bin8	1	1.319622	1.506081	0.186459	4.933362	1319623	1506081	1412852
Bin9	1	1.506082	1.553322	0.047240	5.663302	1506083	1553322	1529702
Bin10	1	1.553323	1.715093	0.161770	6.146397	1553324	1715093	1634208
Bin11	1	1.715094	1.735470	0.020376	7.381028	1715095	1735470	1725282
Bin12	1	1.735471	1.783242	0.047771	7.620837	1735472	1783242	1759356
Bin13	1	1.783243	1.949994	0.166751	8.350777	1783244	1949994	1866618
Bin14	1	1.949995	2.224993	0.274998	9.843425	1949996	2224993	2087494
Bin15	1	2.224994	2.384133	0.159139	11.336073	2224995	2384133	2304564
Bin16	1	2.384134	2.669062	0.284928	11.575882	2384135	2669062	2526598
Bin17	1	2.669063	2.758167	0.089104	11.815690	2669064	2758167	2713615
Bin18	1	2.758168	2.958267	0.200099	12.055499	2758169	2958267	2858218
Bin19	1	2.958268	3.442513	0.484245	13.290129	2958269	3442513	3200390
Bin20	1	3.442514	3.517057	0.074543	14.270553	3442515	3517057	3479786
Bin21	1	3.517058	3.582911	0.065853	14.510362	3517059	3582911	3549984
Bin22	1	3.582912	3.614449	0.031537	15.490785	3582913	3614449	3598680
Bin23	1	3.614450	3.661343	0.046893	15.973881	3614451	3661343	3637896
Bin24	1	3.661344	3.695840	0.034496	16.456976	3661345	3695840	3678592
Bin25	1	3.695841	4.306768	0.610927	16.940072	3695842	4306768	4001304
Bin26	1	4.306769	4.411309	0.104540	22.179019	4306770	4411309	4359039
Bin27	1	4.411310	4.545763	0.134453	23.159443	4411311	4545763	4478537
Bin28	1	4.545764	4.584304	0.038540	23.399251	4545765	4584304	4565034
Bin29	1	4.584305	4.644615	0.060310	24.379675	4584306	4644615	4614460
Bin30	1	4.644616	4.749556	0.104940	24.862771	4644617	4749556	4697086
Bin31	1	4.749557	4.915189	0.165632	26.097401	4749558	4915189	4832373
Bin32	1	4.915190	5.029448	0.114258	26.580497	4915191	5029448	4972319
Bin33	1	5.029449	5.166696	0.137247	27.063592	5029450	5166696	5098072
Bin34	1	5.166697	5.249395	0.082698	30.476991	5166698	5249395	5208046
Bin35	1	5.249396	5.319073	0.069677	30.716799	5249397	5319073	5284234
Bin36	1	5.319074	5.373603	0.054529	31.199895	5319075	5373603	5346338
Bin37	1	5.373604	5.407523	0.033919	31.682991	5373605	5407523	5390564
Bin38	1	5.407524	5.488199	0.080675	32.917621	5407525	5488199	5447862
Bin39	1	5.488200	5.677347	0.189147	33.647561	5488201	5677347	5582774
Bin40	1	5.677348	5.746673	0.069325	33.887370	5677349	5746673	5712010
Bin41	1	5.746674	5.761467	0.014793	34.127178	5746675	5761467	5754070
Bin42	1	5.761468	5.918963	0.157495	34.610274	5761469	5918963	5840215
Bin43	1	5.918964	6.040166	0.121202	34.850083	5918965	6040166	5979565
Bin44	1	6.040167	6.215150	0.174983	35.089891	6040168	6215150	6127659
Bin45	1	6.215151	6.231786	0.016635	35.329700	6215152	6231786	6223468
Bin46	1	6.231787	6.271980	0.040193	36.059640	6231788	6271980	6251884
Bin47	1	6.271981	6.531425	0.259444	36.299448	6271982	6531425	6401703
Bin48	1	6.531426	6.596903	0.065477	36.782544	6531427	6596903	6564164
Bin49	1	6.596904	6.791124	0.194220	37.265639	6596905	6791124	6694014
Bin50	1	6.791125	7.391957	0.600832	38.246063	6791126	7391957	7091541
Bin51	1	7.391958	8.380923	0.988965	49.836144	7391959	8380923	7886440
Bin52	1	8.380924	8.689042	0.308118	52.962162	8380925	8689042	8534983
Bin53	1	8.689043	8.797217	0.108174	53.692102	8689044	8797217	8743130
Bin54	1	8.797218	9.185492	0.388274	53.931910	8797219	9185492	8991355
Bin55	1	9.185493	9.221417	0.035924	54.415006	9185494	9221417	9203455
