MaizeGDB: Details of Map Genetic 3
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Sequence
telomere3S	0.00																						
osca1	0.05		GRMZM2G064189	Chr3	220939	224531	Zm00001d000077	B73V4_ctg31	243552	267664	Zm00001eb118510	chr3	239032	268126									
cipk8	0.07		GRMZM2G383240	Chr3	372718	380906	Zm00001d000080	B73V4_ctg31	421411	431957	Zm00001eb118540	chr3	424169	432335									
ppr158	0.08		AC206764.4_FG001	Chr3	690875	692941	Zm00001d000093	B73V4_ctg31	721884	723473	Zm00001eb118640	chr3	721407	724856									
umc2681	0.10		GRMZM6G602703	scaffold_426	1	410	Zm00001d039240	Chr3	383141	383997	Zm00001eb118710	chr3	1220075	1220852									
slac7	0.12						Zm00001d039241	Chr3	393259	395283	Zm00001eb118730	chr3	1230165	1232337									
wrky93	0.15		GRMZM5G871347	Chr3	1260777	1262611	Zm00001d039245	Chr3	474649	476986	Zm00001eb118760	chr3	1311341	1314009									
nlp1	0.18		AC233880.1_FG006	Chr3	1290534	1292045	Zm00001d039250	Chr3	557240	559220	Zm00001eb118790	chr3	1394066	1396163									
pdcb20	0.19		GRMZM5G860761	Chr3	1295331	1296271	Zm00001d039251	Chr3	562303	563193	Zm00001eb118810	chr3	1399220	1400197									
umc2118	0.20		GRMZM5G884242	Chr3	1296631	1299751	Zm00001d039252	Chr3	563497	566145	Zm00001eb118820	chr3	1400418	1403135									
IDP125	0.21		GRMZM2G047509	Chr3	1301466	1304785	Zm00001d039253	Chr3	567922	571079	Zm00001eb118830	chr3	1404952	1408027									
idd9	0.23		GRMZM5G828179	Chr3	1325958	1327022	Zm00001d039254	Chr3	591687	592751	Zm00001eb118840	chr3	1428523	1429810									
tpt1	0.30						Zm00001d039258	Chr3	697981	701289	Zm00001eb118870	chr3	1534784	1538912									
dnaJ32	0.32		GRMZM5G835677	Chr3	1406842	1410217	Zm00001d039259	Chr3	701136	705353	Zm00001eb118880	chr3	1537879	1542296									
g2	0.50		GRMZM2G087804	Chr3	1464299	1469099	Zm00001d039260	Chr3	750258	754984	Zm00001eb118900	chr3	1587187	1591959									
