chr	n_positions	pos_min	pos_max	cM_min	cM_max	spearman_pos_cM	orientation	increasing_cM_steps	decreasing_cM_steps	equal_cM_steps	increasing_fraction_without_ties	decreasing_fraction_without_ties
1	63	510709	88322820	4.532	91.647	0.9999639970477462	increasing	59	0	3	1.0	0.0
2	63	4694333	45993314	11.734	76.036	0.9996399121268871	increasing	52	0	10	1.0	0.0
3	30	1181780	59115146	2.066	89.435	0.9997775058377179	increasing	27	0	2	1.0	0.0
4	51	3604957	68943378	13.213	99.734	0.9999321243932836	increasing	47	0	3	1.0	0.0
5	34	475917	54704835	1.616	63.803	0.9995415297382619	increasing	29	0	4	1.0	0.0
6	50	581390	58017580	0.539	70.516	0.9995917534020515	increasing	41	0	8	1.0	0.0
7	43	687291	57383958	2.659	67.064	0.9998112174569271	increasing	39	0	3	1.0	0.0
8	43	2404959	58764444	11.123	67.791	0.9998112174569271	increasing	39	0	3	1.0	0.0
9	50	831875	67360701	4.927	86.621	0.999735859472634	increasing	45	0	4	1.0	0.0
10	43	291396	59248708	2.595	68.865	0.9997734566706818	increasing	38	0	4	1.0	0.0
11	37	2579325	45763473	0.759	62.862	0.9999999999999999	increasing	36	0	0	1.0	0.0
12	26	261416	59573113	0.0	69.698	-0.9998290452162908	decreasing	0	24	1	0.0	1.0
