chr	pos	cM
A1	1288210	19.889501
A1	1432876	16.776
A1	2268821	23.47
A1	2268874	24.082707
A1	2269231	23.488
A1	2445551	27.615
A1	2660894	29.334
A1	3309563	41.967
A1	3554719	43.48072
A1	3779975	47.605
A1	4312256	47.043465
A1	6891773	53.178395
A1	7538692	57.906354
A1	7932148	56.671169
A1	8046389	56.4728
A1	8046421	56.4728
A1	8914949	62.382385
A1	10981228	66.374432
A1	10981919	68.010133
A1	19752786	67.722
A1	22421049	68.93574
A1	24678442	75.426002
A1	24806304	73.788
A1	24806463	73.834
A1	24806552	73.887
A1	26054463	77.06672
A1	27722464	82.668922
A1	27722485	80.788329
A1	30081869	123.62984
A2	3736048	11.11
A2	3948598	12.708
A2	3948702	12.845
A2	5370138	15.205
A2	7609373	20.869
A2	8008401	23.061
A2	9620190	24.955
A2	9620237	24.957
A2	9620391	24.952
A2	23220496	52.175604
A2	27954983	73.974
A2	27955009	73.962
A2	27955112	74.009
A3	1574069	8.393737
A3	1727540	9.847163
A3	1727591	10.779997
A3	1927932	4.768941
A3	2288516	29.216801
A3	2482885	32.402588
A3	2558946	26.785331
A3	2559077	26.785331
A3	2880230	36.401645
A3	7352400	55.656193
A3	7356300	50.716181
A3	9948509	60.877593
A3	12067611	66.808239
A3	12173886	65.176007
A3	14718125	73.843193
A3	14718184	73.311193
A3	14901068	75.372732
A3	15112709	72.990193
A3	15168545	72.406193
A3	16194376	81.938193
A3	16740745	85.434193
A3	16740774	85.674193
A3	16741006	85.751332
A3	16741044	85.491193
A3	17027173	88.132193
A3	17027375	88.566193
A3	21583587	103.495707
A3	22512337	110.432181
A3	22512338	110.432181
A3	25497307	126.651193
A3	27387772	128.524072
A3	28083985	129.000816
A3	28587887	134.17519
A3	28713078	132.641613
A3	29487257	144.362193
A3	29487301	144.902193
A3	31460752	135.932659
A3	31460812	135.932659
A4	361416	10.875964
A4	361539	11.687964
A4	361823	11.883964
A4	969284	16.926964
A4	1138793	14.884
A4	2518182	21.239277
A4	2894617	22.864214
A4	2894713	22.864214
A4	4186429	27.994357
A4	4186455	29.080964
A4	5274277	32.635367
A4	9744619	30.493964
A4	11878795	45.42995
A4	12163900	37.912964
A4	12163908	37.558964
A4	12163919	37.662964
A4	13318365	39.133964
A4	13489478	49.361561
A4	13737991	40.092964
A4	17554351	68.043964
A4	18780520	78.320073
A4	20028247	82.147564
A4	20028315	82.147564
A4	20035647	85.667964
A4	20347488	90.288964
A4	20492602	85.033069
A4	20899651	93.967964
A4	21120660	93.216711
