chr	pos	cM	marker_id	marker_type	genetic_chr	old_seqid	old_start	old_end	old_midpoint	target_seqid	target_pos	paf_strand	mapq	paf_identity	paf_query_span	n_liftover_candidates	cigar_status	liftover_status
1	510709	4.532	pPt-535772	DArT_marker	1	ST4.03ch01	252892	253190	253041	chr01	510709	+	60	0.9954471544715447	128595	1	cigar_aligned_base	lifted_chr_agree
1	510709	4.532	pPt-540428	DArT_marker	1	ST4.03ch01	252892	253190	253041	chr01	510709	+	60	0.9954471544715447	128595	1	cigar_aligned_base	lifted_chr_agree
1	510709	4.532	pPt-653160	DArT_marker	1	ST4.03ch01	252892	253190	253041	chr01	510709	+	60	0.9954471544715447	128595	1	cigar_aligned_base	lifted_chr_agree
1	510709	4.532	pPt-656019	DArT_marker	1	ST4.03ch01	252892	253190	253041	chr01	510709	+	60	0.9954471544715447	128595	1	cigar_aligned_base	lifted_chr_agree
1	1469642	6.71	pPt-456694	DArT_marker	1	ST4.03ch01	1374201	1375293	1374747	chr01	1469642	+	60	0.9952126680169397	86756	1	cigar_aligned_base	lifted_chr_agree
1	2818203	10.169	PM0117	repeat_region	1	ST4.03ch01	2797308	2797439	2797373	chr01	2818203	+	60	0.9968999297317406	24574	1	cigar_aligned_base	lifted_chr_agree
1	2967161	8.698	solcap_stsnp_c1_6704	SNP	1	ST4.03ch01	2957398	2957398	2957398	chr01	2967161	+	60	0.9863544584120367	93410	1	cigar_aligned_base	lifted_chr_agree
1	3231168	11.907	solcap_stsnp_c1_6708	SNP	1	ST4.03ch01	3224553	3224553	3224553	chr01	3231168	+	60	0.9949673318029313	24596	1	cigar_aligned_base	lifted_chr_agree
1	3694828	15.768	solcap_stsnp_c1_6110	SNP	1	ST4.03ch01	3713077	3713077	3713077	chr01	3694828	+	60	0.9776592883249213	64352	1	cigar_aligned_base	lifted_chr_agree
1	4644404	15.567	solcap_stsnp_c1_15142	SNP	1	ST4.03ch01	4310143	4310143	4310143	chr01	4644404	+	60	0.9859159675191213	59244	1	cigar_aligned_base	lifted_chr_agree
1	5019507	13.291	pPt-470842	DArT_marker	1	ST4.03ch01	4625626	4626241	4625933	chr01	5019507	+	60	0.9948796367090661	43019	1	cigar_aligned_base	lifted_chr_agree
