chr	pos	cM
1	721626	0.239809
1	1448939	2.673076
1	1544080	4.693553
1	1728228	4.933362
1	1989114	6.146397
1	2083611	7.381028
1	2116914	7.620837
1	2220542	8.350777
1	2456883	9.843425
1	3181824	11.815690
1	3332822	12.055499
1	3912872	14.270553
1	3998507	14.510362
1	4066859	15.490785
1	4100868	15.973881
1	4139766	16.456976
1	4471478	16.940072
1	4975188	23.399251
1	5029094	24.379675
1	5105411	24.862771
1	5235980	26.097401
1	5351981	26.580497
1	5490927	27.063592
1	5605829	30.476991
1	5684228	30.716799
1	5786160	31.682991
1	5847367	32.917621
1	5984152	33.647561
1	6123462	33.887370
1	6277178	34.610274
1	6424152	34.850083
1	6570603	35.089891
1	6654782	35.329700
1	6700359	36.059640
1	6860253	36.299448
1	7025038	36.782544
1	7172674	37.265639
1	7607331	38.246063
1	8543942	49.836144
1	9385875	52.962162
1	9597433	53.692102
1	9845882	53.931910
1	10117299	54.415006
1	10227855	54.654814
1	10478486	61.216924
1	10734568	61.456732
1	11568230	63.929804
1	11640924	64.412900
1	11705722	64.652708
1	11820463	65.135804
1	11928494	65.375612
1	12335675	66.356036
1	12878560	70.966346
1	13203236	71.946769
1	13374228	72.186578
1	13782480	74.477055
1	13946527	74.716863
1	14001958	75.199959
1	15487726	76.899808
1	15587365	77.139617
1	15742531	77.379425
1	15859462	77.619234
1	15997726	78.349174
1	16107599	78.588983
1	16160381	79.569406
1	16591484	79.809215
1	17034983	80.539155
1	20422697	81.748712
1	20503495	81.988521
1	20621410	82.228329
1	20883391	82.711425
1	21330621	83.691848
1	21965094	84.414753
1	22077217	84.654561
1	22742622	85.373987
1	22804295	85.857083
1	22829547	86.340178
1	22890768	87.070118
1	23209320	88.283154
1	23340679	88.522962
1	24649237	98.630232
1	25027670	98.870041
1	25101620	99.109850
1	25200892	99.349658
1	25260723	99.832754
1	25372224	100.072562
1	25513454	100.555658
1	25601866	100.795467
1	25791770	102.008502
1	25863484	102.491598
1	25982590	102.731406
1	26247946	103.461346
1	26656709	104.184250
1	26870993	105.676899
1	27009664	106.657322
1	27126701	106.897131
1	27299825	107.136939
1	27528098	113.026091
1	27853888	113.995840
1	27911491	114.235648
1	28094495	114.475457
1	28410022	115.205397
1	29072696	115.445205
1	29743609	118.571223
1	30265560	118.811032
1	30929745	126.792539
1	31334217	128.027170
1	31529512	128.266978
1	31706648	128.750074
1	31952126	129.719823
1	32059827	129.959631
1	32189687	130.199440
1	32698413	130.929380
1	33260017	134.634778
1	33348824	135.117874
1	33401688	135.357683
1	33562035	136.087623
1	33715670	136.327431
1	33752849	136.567240
1	33780249	136.807048
1	33926246	137.046857
1	34118948	137.286666
1	34207502	137.526474
1	34236457	137.766283
1	34536157	138.006091
1	34892333	138.245900
1	34945678	138.485709
1	35045504	138.725517
1	35169162	138.965326
1	35314802	139.205135
1	35449087	139.688230
1	35594626	140.654421
1	36094476	144.020248
1	36499966	145.254878
1	37137203	145.734495
1	37649034	145.974304
1	38184885	146.214113
1	38267275	146.453921
1	38423750	146.937017
1	38545555	147.176825
1	38756158	147.659921
1	39007425	148.143017
1	39112185	148.382825
1	39307027	148.622634
1	39540166	149.857264
1	39914601	150.097073
1	40414599	150.336882
1	41037337	152.357359
1	41291034	152.597167
1	41443321	152.836976
1	41512079	153.076784
1	41619589	153.806724
1	41744134	154.046533
1	41976704	155.016282
1	42010780	155.256090
1	42154892	157.010656
1	42728662	160.535764
1	42903297	161.018859
1	43259462	161.501955
1	43502429	163.522432
1	43698295	163.762240
1	43747761	107.738770
1	44101131	174.495087
1	44343467	178.200486
1	44637093	178.440294
1	44874383	182.744025
1	45555132	23.015025
1	45766430	188.632219
1	45910507	190.342583
1	46045558	190.825679
1	46120022	191.555619
1	46138188	192.038714
1	46190021	192.278523
1	46249542	192.761618
1	46286470	193.742042
1	46337662	194.225137
1	46422209	194.955077
1	46474413	195.438173
1	46654997	196.168113
1	46868083	197.660761
1	46928706	198.143857
1	46968448	199.636505
1	47047410	199.876313
2	53092	0.000000
2	163511	0.239809
2	323506	3.945207
2	506903	4.675147
2	575808	5.158243
2	672950	5.398051
2	757192	5.881147
2	830907	6.364242
2	865968	6.604051
2	948895	7.584475
2	1162610	8.564898
2	1267796	8.804707
2	1312680	9.044515
2	1367010	9.284324
2	1490082	10.014264
2	1720988	10.744204
2	1931500	13.870222
2	2168192	14.353317
2	2317418	14.593126
2	2588467	15.323066
2	3039041	15.562875
2	3220791	17.026394
2	3278122	29.055841
2	3735544	17.749298
2	3960748	17.989106
2	4426463	32.373210
2	4795200	33.353634
2	4930543	33.593442
2	5025550	33.833251
2	5195917	34.813674
2	5423640	36.306323
2	5632936	36.546131
2	5751101	38.566608
2	5872525	38.806417
2	6090429	39.536357
2	6536365	47.153393
2	7079254	48.885850
2	7361576	49.125658
2	7555201	50.106082
2	7973347	54.838157
2	8090403	55.077966
2	8241256	55.807906
2	8409609	61.046853
2	8642352	61.529949
2	9338886	62.009566
2	9738561	62.492662
2	9959693	63.462410
2	10082235	63.702219
2	10328063	64.668410
2	10584191	64.908219
2	10878186	65.148027
2	11283110	66.128451
2	11717008	67.621099
2	12383276	67.860908
2	12828673	68.100716
2	14833100	70.665381
2	17077532	71.148476
2	17180404	71.388285
2	17313802	71.628094
2	17362823	71.867902
2	17510818	72.107711
