chr	pos	cM
1	37410	0.0
1	43988	0.01
1	111468	0.04
1	189070	0.09
1	194512	0.09
1	201828	0.1
1	208171	0.12
1	246832	0.13
1	315532	0.14
1	319771	0.15
1	326102	0.16
1	328306	0.17
1	557800	0.18
1	680379	0.2
1	693986	0.2
1	1008713	0.4
1	1019495	0.41
1	1024507	0.42
1	1026616	0.43
1	1219946	0.48
1	1224674	0.5
1	1503528	0.55
1	1601778	0.56
1	1707288	0.57
1	1808437	0.58
1	1833496	0.59
1	1929740	0.6
1	1929838	0.6
1	1933130	0.6
1	2011336	0.6
1	2021292	0.61
1	2096492	0.63
1	2154900	1.0
1	2228302	1.38
1	2277878	1.4
1	2291329	1.41
1	2377861	1.42
1	2518254	1.44
1	2554960	1.46
1	2623622	1.65
1	2738780	1.68
1	2768388	1.7
1	2772866	1.73
1	2802005	1.76
1	2813880	1.8
1	2819497	1.95
1	2872029	2.12
1	2879102	2.14
1	2887326	2.18
1	2925661	2.2
1	2956926	2.22
1	2977936	2.4
1	3025475	2.5
1	3043388	2.6
1	3086468	2.63
1	3104604	2.7
1	3121182	2.72
1	3165594	3.0
1	3218446	4.0
1	3271384	4.08
1	3284500	4.2
1	3364027	4.24
1	3368903	4.26
1	3373932	4.35
1	3476009	5.5
1	3481852	5.51
1	3487104	5.52
1	3537936	5.53
1	3565266	5.55
1	3647097	5.6
1	3734197	5.62
1	3767714	5.7
1	3790082	5.72
1	3797510	6.48
1	3799500	6.5
1	3835436	6.54
1	3838146	6.56
1	3906074	7.96
1	3953742	8.0
1	3970309	8.01
1	3984551	8.03
1	4081208	8.04
1	4085218	8.05
1	4088534	8.06
1	4092922	8.08
1	4103312	8.09
1	4115109	8.1
1	4211481	8.2
1	4272053	8.22
1	4298903	9.0
1	4356305	9.02
1	4358851	10.08
1	4374658	10.1
1	4450190	10.14
1	4490494	11.0
1	4615200	11.0
1	4673912	11.02
1	4684102	11.3
1	4788857	12.0
1	4846244	12.18
1	4855396	12.2
1	4864094	12.21
1	4903946	12.24
1	4940294	13.0
1	5050239	13.3
1	5061051	13.5
1	5067294	13.57
1	5078800	14.0
1	5158994	14.45
1	5283219	14.47
1	5366314	14.7
1	5386442	14.88
1	5388078	14.88
1	5418752	14.89
1	5427547	14.9
1	5437676	14.91
1	5446654	14.91
1	5451978	14.91
1	5476058	14.92
1	5486618	14.92
1	5543534	14.92
1	5557134	14.94
1	5565983	14.98
1	5615730	15.0
1	5656218	15.48
1	5662660	15.5
1	5754954	15.8
1	5772201	16.0
1	5775544	16.73
1	5839136	16.75
1	5853422	16.8
1	5898974	16.86
1	5975316	16.88
1	5989606	16.9
1	6068246	16.92
1	6202364	17.02
