chr	n_markers	pos_min	pos_max	cM_min	cM_max	spearman_pos_cM	increasing_cM_steps	decreasing_cM_steps	equal_cM_steps
1	38	2967161	86449536	8.698	83.709	0.9899332530911478	28	9	0
2	34	13854680	45046071	9.702	73.462	0.9938884644766998	23	10	0
3	18	2647267	57560149	5.21	71.847	0.964378032491486	12	4	1
4	44	7094613	68943378	19.381	99.734	0.996300081664381	32	10	1
5	11	1135681	55169241	0.0	61.677	0.9636363636363637	8	2	0
6	30	952101	58017580	1.564	70.516	0.9945488992457817	23	5	1
7	27	687291	56651862	0.0	63.806	0.9932844932844932	19	7	0
8	20	4092287	58422287	10.679	65.698	0.9969924812030074	17	2	0
9	31	831875	67360701	4.927	87.866	0.9919354838709677	25	5	0
10	24	291396	59248708	2.595	68.865	0.9921739130434782	18	5	0
11	26	675706	45740690	0.759	61.922	0.967179487179487	17	8	0
12	10	261416	50680228	27.502	69.698	-0.9636363636363635	3	6	0
