map_name	chr	prev_pos	prev_cM	prev_marker_id	prev_marker_type	prev_source_mode	curr_pos	curr_cM	curr_marker_id	curr_marker_type	curr_source_mode	delta_pos	delta_cM
strict_direct_solcap	1	3694828	15.768	solcap_snp_c1_6110	SNP		4644404	15.567	solcap_snp_c1_15142	SNP		949576	-0.2010000000000005
strict_direct_solcap	1	64336038	35.392	solcap_snp_c1_12109	SNP		65627217	34.892	solcap_snp_c1_13685	SNP		1291179	-0.5
strict_direct_solcap	1	66757200	42.021	solcap_snp_c1_4402	SNP		67271838	41.733	solcap_snp_c1_4710	SNP		514638	-0.2880000000000038
strict_direct_solcap	1	67271838	41.733	solcap_snp_c1_4710	SNP		67733812	38.902	solcap_snp_c1_4754	SNP		461974	-2.830999999999996
strict_direct_solcap	1	73928936	59.934	solcap_snp_c1_6269	SNP		74448862	56.522	solcap_snp_c1_6295	SNP		519926	-3.411999999999999
strict_direct_solcap	1	74794275	62.3	solcap_snp_c1_14093	SNP		74921059	57.545	solcap_snp_c1_15573	SNP		126784	-4.7549999999999955
strict_direct_solcap	1	75196506	61.635	solcap_snp_c1_4604	SNP		75266586	61.148	solcap_snp_c1_4607	SNP		70080	-0.48699999999999477
strict_direct_solcap	1	81517833	81.408	solcap_snp_c1_3297	SNP		82100630	78.463	solcap_snp_c1_3281	SNP		582797	-2.9450000000000074
strict_direct_solcap	1	83987313	82.021	solcap_snp_c1_1731	SNP		84095795	82.017	solcap_snp_c1_1748	SNP		108482	-0.0040000000000048885
strict_direct_solcap	2	18485069	17.27	solcap_snp_c1_9122	SNP		19873304	9.702	solcap_snp_c1_5749	SNP		1388235	-7.568
strict_direct_solcap	2	21788784	20.452	solcap_snp_c1_9725	SNP		21808866	20.269	solcap_snp_c1_9732	SNP		20082	-0.18300000000000338
strict_direct_solcap	2	21808866	20.269	solcap_snp_c1_9732	SNP		21965487	18.876	solcap_snp_c1_16347	SNP		156621	-1.3929999999999971
strict_direct_solcap	2	23885399	22.668	solcap_snp_c1_15404	SNP		25017414	22.273	solcap_snp_c1_11486	SNP		1132015	-0.3949999999999996
strict_direct_solcap	2	27527543	29.406	solcap_snp_c1_5078	SNP		27620643	28.867	solcap_snp_c1_16340	SNP		93100	-0.5389999999999979
strict_direct_solcap	2	27620643	28.867	solcap_snp_c1_16340	SNP		27646352	27.157	solcap_snp_c1_16341	SNP		25709	-1.7100000000000009
strict_direct_solcap	2	28460955	30.435	solcap_snp_c1_13929	SNP		28582692	30.371	solcap_snp_c1_13914	SNP		121737	-0.06400000000000006
strict_direct_solcap	2	34661319	49.569	solcap_snp_c1_5850	SNP		35334126	47.129	solcap_snp_c1_12377	SNP		672807	-2.440000000000005
strict_direct_solcap	2	35334126	47.129	solcap_snp_c1_12377	SNP		35468438	46.584	solcap_snp_c1_16172	SNP		134312	-0.5449999999999946
strict_direct_solcap	2	41878492	66.529	solcap_snp_c1_8464	SNP		42131765	65.395	solcap_snp_c1_8485	SNP		253273	-1.1340000000000003
strict_direct_solcap	3	2647267	5.423	solcap_snp_c1_14813	SNP		2851481	5.21	solcap_snp_c1_13889	SNP		204214	-0.21300000000000008
strict_direct_solcap	3	52594978	61.505	solcap_snp_c1_14158	SNP		52713842	60.839	solcap_snp_c1_14161	SNP		118864	-0.6660000000000039
strict_direct_solcap	3	56912914	71.847	solcap_snp_c1_59	SNP		57127483	71.2	solcap_snp_c1_27	SNP		214569	-0.6469999999999914
strict_direct_solcap	3	57326019	71.514	solcap_snp_c1_155	SNP		57408932	71.008	solcap_snp_c1_152	SNP		82913	-0.5060000000000002
strict_direct_solcap	4	7094613	19.481	solcap_snp_c1_3745	SNP		7127130	19.381	solcap_snp_c1_3731	SNP		32517	-0.10000000000000142
strict_direct_solcap	4	7824438	28.251	solcap_snp_c1_3704	SNP		8195239	20.794	solcap_snp_c1_14449	SNP		370801	-7.457000000000001
strict_direct_solcap	4	12644502	38.503	solcap_snp_c1_11135	SNP		19302965	36.725	solcap_snp_c1_12827	SNP		6658463	-1.7779999999999987
strict_direct_solcap	4	43447691	40.204	solcap_snp_c1_3442	SNP		43525521	40.2	solcap_snp_c1_14569	SNP		77830	-0.003999999999997783
