chr	n_markers	pos_min	pos_max	physical_span_Mb	cM_min	cM_max	genetic_span_cM	spearman_pos_cM	abs_spearman	orientation	increasing_cM_steps	decreasing_cM_steps	equal_cM_steps	monotonic_fraction
A1	27	1288210	27722485	26.434	16.776	82.669	65.893	0.9901	0.9901	increasing	18	7	1	0.72
A2	14	3736048	27955112	24.219	11.11	74.009	62.899	0.9692	0.9692	increasing	10	3	0	0.769
A3	33	1574069	31460812	29.887	4.769	144.902	140.133	0.9828	0.9828	increasing	20	10	2	0.667
A4	27	361416	21120660	20.759	10.876	93.968	83.092	0.9838	0.9838	increasing	17	7	2	0.708
A5	30	764300	28798949	28.035	9.02	81.985	72.965	0.9664	0.9664	increasing	17	8	4	0.68
A6	47	851908	25482543	24.631	9.662	107.653	97.991	0.9739	0.9739	increasing	28	11	7	0.718
A7	12	565941	22304370	21.738	12.054	77.239	65.186	0.8951	0.8951	increasing	10	1	0	0.909
A8	6	9720198	22120372	12.4	0.0	53.273	53.273	-0.9429	0.9429	decreasing	1	4	0	0.8
A9	34	3726107	44081194	40.355	3.799	120.063	116.264	-0.981	0.981	decreasing	10	19	4	0.655
A10	23	1270420	19089116	17.819	9.821	101.091	91.27	0.895	0.895	increasing	15	6	1	0.714
C1	10	17840837	44456917	26.616	35.793	47.267	11.474	-0.4061	0.4061	decreasing	3	6	0	0.667
C2	13	15048	50576939	50.562	5.951	57.317	51.366	0.8023	0.8023	increasing	5	4	3	0.556
C3	15	355334	56053292	55.698	7.568	120.783	113.215	0.9205	0.9205	increasing	10	3	1	0.769
C4	12	7436352	62308039	54.872	38.97	132.911	93.941	0.986	0.986	increasing	9	2	0	0.818
C5	3	4417641	13877185	9.46	17.169	36.656	19.487	-1.0	1.0	decreasing	0	2	0	1.0
C6	3	8853604	40783997	31.93	40.134	86.383	46.249	-0.5	0.5	decreasing	1	1	0	0.5
C7	6	41218399	52863501	11.645	6.341	59.45	53.109	0.9429	0.9429	increasing	4	1	0	0.8
C8	4	36640294	45665587	9.025	23.26	62.741	39.481	1.0	1.0	increasing	3	0	0	1.0
C9	3	42182830	52886355	10.704	75.168	86.031	10.863	0.866	0.866	increasing	1	0	1	1.0
