map_name	chr	pos	n_rows	n_unique_cM	cM_values	marker_ids	marker_types
liftover_extended_cigar	1	5019507	3	3	13.291,15.05,15.074	pPt-457620,pPt-470842,pPt-471169	DArT_marker
liftover_extended_cigar	1	60877687	5	4	23.783,23.881,23.886,23.926	pPt-471086,pPt-651539,pPt-652383,pPt-652802,pPt-655709	DArT_marker
liftover_extended_cigar	1	65028487	2	2	38.541,38.564	pPt-537757,pPt-656762	DArT_marker
liftover_extended_cigar	1	65771363	2	2	38.325,38.512	pPt-538792,pPt-559008	DArT_marker
liftover_extended_cigar	1	66053672	9	5	28.291,28.454,28.479,28.626,28.686	pPt-457542,pPt-458288,pPt-470698,pPt-474025,pPt-538504,pPt-651042,pPt-651939,pPt-652287,pPt-653798	DArT_marker
liftover_extended_cigar	1	67821222	6	2	40.067,40.069	pPt-457118,pPt-472804,pPt-472805,pPt-534011,pPt-535700,pPt-539066	DArT_marker
liftover_extended_cigar	1	67821419	3	2	40.067,40.069	pPt-459313,pPt-534108,pPt-535430	DArT_marker
liftover_extended_cigar	1	72006329	7	3	50.077,50.123,50.278	pPt-533578,pPt-534179,pPt-536820,pPt-537290,pPt-656118,pPt-656245,toPt-437056	DArT_marker
liftover_extended_cigar	1	73882634	3	3	55.774,56.708,58.339	pPt-457889,pPt-458782,pPt-655473	DArT_marker
liftover_extended_cigar	1	76781756	2	2	62.553,62.562	pPt-472129,pPt-650006	DArT_marker
liftover_extended_cigar	1	79520001	2	2	72.646,72.892	pPt-471438,pPt-472090	DArT_marker
liftover_extended_cigar	1	79768729	2	2	75.718,75.842	pPt-654710,pPt-654743	DArT_marker
liftover_extended_cigar	1	79911289	6	3	75.631,75.639,75.718	pPt-473160,pPt-533740,pPt-653975,pPt-654187,pPt-654960,pPt-656584	DArT_marker
liftover_extended_cigar	1	82331310	4	2	79.247,79.25	pPt-471906,pPt-552365,pPt-552401,pPt-559324	DArT_marker
liftover_extended_cigar	1	84651365	6	4	82.34,82.341,82.351,82.355	pPt-457623,pPt-534144,pPt-534579,pPt-535139,pPt-537760,pPt-539598	DArT_marker
liftover_extended_cigar	1	84755311	3	3	81.766,82.816,82.915	pPt-456654,pPt-537798,pPt-653008	DArT_marker
liftover_extended_cigar	1	85968224	5	3	83.891,83.894,83.922	pPt-457663,pPt-457687,pPt-650968,pPt-656365,pPt-656956	DArT_marker
liftover_extended_cigar	1	86427944	8	8	83.724,83.732,83.907,83.911,83.919,83.923,84.353,85.105	pPt-471801,pPt-472642,pPt-473287,pPt-533874,pPt-538059,pPt-538625,pPt-552395,pPt-653806	DArT_marker
liftover_extended_cigar	1	87140660	2	2	89.438,90.022	pPt-534481,pPt-552373	DArT_marker
