MaizeGDB: Details of Map Genetic 8
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Sequence
telomere8S	0.00																										
ms23	0.01		GRMZM2G021276	Chr8	95823	98367					Zm00001d008174	Chr8	256295	258840	Zm00001eb332170	chr8	442476	445046									
sbp9	0.01		GRMZM2G081127	Chr8	167824	174330					Zm00001d008176	Chr8	327598	335271	Zm00001eb332190	chr8	514887	521368									
prh135	0.01		GRMZM6G040576	scaffold_391	406	2129					Zm00001d008171	Chr8	77622	80307	Zm00001eb332150	chr8	263678	266412									
LOC100276245	0.01		GRMZM2G122853	Chr8	17505	19257					Zm00001d008173	Chr8	177310	178785	Zm00001eb332160	chr8	363466	365101									
pco084581b	0.02		GRMZM2G085111	Chr8	400471	407001					Zm00001d008178	Chr8	557425	565138	Zm00001eb332210	chr8	743358	750058									
IDP7800	0.02		GRMZM2G085038	Chr8	271252	367057					Zm00001d008177	Chr8	426162	442573	Zm00001eb332200	chr8	612300	628907									
pco140262e	0.03		GRMZM2G077233	Chr8	607069	620653					Zm00001d008189	Chr8	750335	754216	Zm00001eb332290	chr8	923884	927735									
lcd1	0.03		GRMZM2G077212	Chr8	560969	563022					Zm00001d008187	Chr8	683269	684645	Zm00001eb332260	chr8	869007	870654									
LOC103636678	0.03		GRMZM2G029450	Chr8	510918	520879					Zm00001d008186	Chr8	641692	642591	Zm00001eb332250	chr8	821742	829002									
wrky18	0.04		GRMZM2G092694	Chr8	653032	655605					Zm00001d008190	Chr8	774348	784221	Zm00001eb332300	chr8	947653	957891									
mybr2	0.06		GRMZM2G400489	Chr8	824954	835548					Zm00001d008198	Chr8	957005	966468	Zm00001eb332340	chr8	1130567	1142298									
chn10	0.07		GRMZM2G400497	Chr8	839459	841251					Zm00001d008199	Chr8	972253	973110	Zm00001eb332350	chr8	1145764	1146951									
pmpm7	0.08		GRMZM2G099984	Chr8	853213	853915					Zm00001d008200	Chr8	985128	985854													
iaa34	0.08		GRMZM5G853479	Chr8	814321	815001					Zm00001d008201	Chr8	989823	991128	Zm00001eb332360	chr8	1163456	1165947									
prpo1	0.09		GRMZM2G039396	Chr8	876212	882478					Zm00001d008203	Chr8	1019559	1026656	Zm00001eb332380	chr8	1194159	1200344									
bhlh65	1.10		GRMZM2G387528	Chr8	935667	938714					Zm00001d008205	Chr8	1077606	1080652	Zm00001eb332400	chr8	1250934	1254390									
mybr133	1.11										Zm00001d008206	Chr8	1108702	1109418	Zm00001eb332410	chr8	1282444	1282804									
Zm00001d008209	1.13		GRMZM2G063244	Chr8	1141430	1145642					Zm00001d008209	Chr8	1238180	1242266	Zm00001eb332450	chr8	1411141	1415983									
glp34	1.16		GRMZM2G103512	Chr8	1091537	1092833					Zm00001d008210	Chr8	1296796	1298016	Zm00001eb332460	chr8	1470417	1471783									
umc2693	1.18		GRMZM2G140994	Chr8	1352304	1354448					Zm00001d008214	Chr8	1454272	1456128	Zm00001eb332500	chr8	1617872	1619766									
npi114a	1.20		GRMZM2G140885	Chr8	1342790	1347639					Zm00001d008215	Chr8	1460764	1465581	Zm00001eb332510	chr8	1624406	1629193									
magi9825	1.30		GRMZM2G042636	Chr8	1370862	1374620					Zm00001d008216	Chr8	1519080	1521275	Zm00001eb332520	chr8	1682623	1686740									
IDP1958	1.36		GRMZM2G378906	Chr8	1448324	1454303					Zm00001d008218	Chr8	1585465	1591623	Zm00001eb332530	chr8	1749178	1755251									
cyc5	1.40		GRMZM2G005619	Chr8	1514389	1517712					Zm00001d008221	Chr8	1656468	1659625	Zm00001eb332550	chr8	1820022	1823306									
pco117517	1.41		GRMZM2G005980	Chr8	1523277	1527410					Zm00001d008224	Chr8	1665296	1669410	Zm00001eb332580	chr8	1828971	1833118									
Zm00001eb332570	1.41		GRMZM2G304121	Chr8	1521645	1523148					Zm00001d008223	Chr8	1663801	1665182	Zm00001eb332570	chr8	1827541	1828855									
bzip72	1.42		GRMZM2G030280	Chr8	1640229	1650451					Zm00001d008225	Chr8	1785019	1794777	Zm00001eb332590	chr8	1948688	1958949									
pht24	1.43		GRMZM2G092793	Chr8	1744512	1749284					Zm00001d008226	Chr8	1889016	1893402	Zm00001eb332610	chr8	2052376	2057146									
tom8	1.44		GRMZM2G456923	Chr8	1823616	1829410					Zm00001d008227	Chr8	1969000	1975048	Zm00001eb332620	chr8	2132560	2138693									
rpl40	1.45		GRMZM2G157007	Chr8	1830837	1832237					Zm00001d008228	Chr8	1976472	1977821	Zm00001eb332630	chr8	2140074	2141650									
mybr107	1.46		GRMZM2G456960	Chr8	1837921	1839249					Zm00001d008229	Chr8	1983066	1984497	Zm00001eb332640	chr8	2146652	2148636									
mpec1	1.48		GRMZM2G081462	Chr8	1889041	1891415					Zm00001d008230	Chr8	2034108	2036318	Zm00001eb332650	chr8	2197715	2200150									
phd20	1.49		GRMZM5G843893	Chr8	1903989	1908431					Zm00001d008232	Chr8	2056150	2057320													
cl18659_1b	1.50		GRMZM2G132804	Chr8	1909581	1918946					Zm00001d008233	Chr8	2062566	2071530	Zm00001eb332660	chr8	2226177	2235643									
Zm00001eb332680	1.66		GRMZM2G352413	Chr8	1962325	1963309					Zm00001d008235	Chr8	2109803	2110486	Zm00001eb332680	chr8	2273429	2274421									
rz382b	1.68		GRMZM2G052875	Chr8	2052722	2060836					Zm00001d008236	Chr8	2198415	2206591	Zm00001eb332690	chr8	2362404	2370829									
ring460	1.70		GRMZM2G417125	Chr8	2078998	2081368					Zm00001d008237	Chr8	2224750	2226261	Zm00001eb332700	chr8	2388816	2391274									
cl45_1	2.60		GRMZM2G082214	Chr8	2110720	2115395					Zm00001d008238	Chr8	2256303	2260962	Zm00001eb332710	chr8	2420362	2425037									
LOC110120361	2.78		GRMZM2G120876	Chr8	2287235	2297844					Zm00001d008242	Chr8	2424564	2438283	Zm00001eb332770	chr8	2591782	2602402									
imd4	2.80		GRMZM2G120857	Chr8	2311933	2319535					Zm00001d008244	Chr8	2452376	2459944	Zm00001eb332780	chr8	2616557	2624123									
rpl30	3.00		GRMZM2G027728	Chr8	2349748	2352938					Zm00001d008245	Chr8	2490496	2493628	Zm00001eb332790	chr8	2654645	2657800									
ago4a	4.00		GRMZM2G589579	Chr8	2511463	2518808					Zm00001d008249	Chr8	2667303	2674772	Zm00001eb332830	chr8	2831448	2839057									
myb60	5.00		GRMZM2G312419	Chr8	2761493	2763284					Zm00001d008251	Chr8	2928345	2930423	Zm00001eb332860	chr8	3092516	3094596									
yuc6	6.50		GRMZM2G019515	Chr8	2897539	2904387					Zm00001d008255	Chr8	3114456	3117313	Zm00001eb332870	chr8	3246199	3249205									
smk501	6.70		GRMZM2G007915	Chr8	2991132	3047453					Zm00001d008256	Chr8	3193712	3222186	Zm00001eb332890	chr8	3325364	3353976									
hpat2	6.78		GRMZM2G035595	Chr8	3155822	3159848					Zm00001d008258	Chr8	3332452	3335358	Zm00001eb332930	chr8	3463874	3468232									
cl7399_1a	6.80		GRMZM2G036070	Chr8	3163629	3168057					Zm00001d008259	Chr8	3340627	3344777	Zm00001eb332940	chr8	3472248	3476150									
LOC100276028	6.86		GRMZM5G806649	Chr8	3240727	3243755					Zm00001d008264	Chr8	3417091	3420084	Zm00001eb332970	chr8	3548389	3551595									
prx95	7.00		GRMZM2G136158	Chr8	3296825	3299812					Zm00001d008266	Chr8	3527558	3529941	Zm00001eb332990	chr8	3640393	3642855									
umc2042	7.58																										
psei4	7.91		GRMZM2G013461	Chr8	3347946	3350818					Zm00001d008268	Chr8	3546648	3549333	Zm00001eb333010	chr8	3659542	3662271									
mmp148	7.95		GRMZM2G175071	Chr8	3427004	3431810					Zm00001d008271	Chr8	3624572	3629269	Zm00001eb333030	chr8	3737438	3742197									
agluc6	7.99		GRMZM2G029243	Chr8	3484793	3488746					Zm00001d008273	Chr8	3682734	3687115	Zm00001eb333050	chr8	3795957	3800076									
LOC103634667	8.05		GRMZM2G434031	Chr8	3506218	3507937					Zm00001d008277	Chr8	3708776	3714006	Zm00001eb333090	chr8	3822214	3823961									
cal9	8.07		GRMZM2G044963	Chr8	3573239	3577147					Zm00001d008278	Chr8	3775905	3776897	Zm00001eb333100	chr8	3886073	3889852									
TIDP3564	8.10		GRMZM2G074857	Chr8	3662060	3666192					Zm00001d008281	Chr8	3859009	3863012	Zm00001eb333130	chr8	3971868	3976028									
umc1592	8.15																										
cnr5	8.20		GRMZM5G892035	Chr8	3794091	3797545					Zm00001d008282	Chr8	3986429	3989894	Zm00001eb333140	chr8	4099296	4102887									
si660046c04	8.22		GRMZM5G834837	Chr8	3797778	3799488					Zm00001d008283	Chr8	3990366	3991796	Zm00001eb333150	chr8	4103053	4104781									
GRMZM2G153434	8.30		GRMZM2G153434	Chr8	3884033	3891436					Zm00001d008285	Chr8	4076176	4083815	Zm00001eb333170	chr8	4189038	4196749									
cl17031_1	8.34		GRMZM2G050325	Chr8	3921971	3924843					Zm00001d008287	Chr8	4114922	4117752	Zm00001eb333190	chr8	4227864	4230622									
Zm00001eb333200	8.36		GRMZM2G050384	Chr8	3928839	3929593					Zm00001d008288	Chr8	4122111	4122386	Zm00001eb333200	chr8	4234838	4235651									
larp7	8.38		GRMZM2G139952	Chr8	3974413	3984289					Zm00001d008291	Chr8	4178527	4182179	Zm00001eb333210	chr8	4281495	4295146									
Zm00001d008293	9.96		GRMZM2G028156	Chr8	4109045	4111990					Zm00001d008293	Chr8	4309481	4314254	Zm00001eb333220	chr8	4422350	4427305									
cl30189_1	10.00		GRMZM2G128080	Chr8	4171670	4177475					Zm00001d008294	Chr8	4374512	4380445	Zm00001eb333230	chr8	4487416	4493181									
arf4	10.02		GRMZM2G015361	Chr8	4233042	4236941					Zm00001d008295	Chr8	4446923	4452996	Zm00001eb333240	chr8	4559556	4563348									
pco111964	10.88		GRMZM2G171122	Chr8	4281984	4286505					Zm00001d008297	Chr8	4495510	4499929	Zm00001eb333270	chr8	4608400	4612900									
emp7	11.00		GRMZM2G041231	Chr8	4335406	4337599					Zm00001d008298	Chr8	4550744	4552774	Zm00001eb333280	chr8	4663596	4665917									
