chr	pos	cM	marker_id	pident	aln_len	bitscore
A1	1288210	19.889501	brpb-840382	98.88	445	795.0
A1	1432876	16.776	brpb-659711	99.12	228	411.0
A1	2268821	23.47	brpb-657648	98.33	299	523.0
A1	2268874	24.082707	brpb-658455	97.79	407	702.0
A1	2269231	23.488	brpb-658172	98.87	353	632.0
A1	2445551	27.615	brpb-809947	93.17	322	470.0
A1	2660894	29.334	brpb-663220	99.74	385	706.0
A1	3309563	41.967	brpb-839756	96.51	458	758.0
A1	3554719	43.48072	brpb-657742	97.27	549	931.0
A1	3779975	47.605	brpb-808330	92.52	107	156.0
A1	4312256	47.043465	brpb-663258	96.47	312	516.0
A1	6891773	53.178395	brpb-660511	99.34	453	821.0
A1	7538692	57.906354	brpb-662948	99.72	701	1284.0
A1	7932148	56.671169	brpb-808614	97.41	270	460.0
A1	8046389	56.4728	brpb-658070	97.78	722	1245.0
A1	8046421	56.4728	brpb-657957	95.75	658	1075.0
A1	10981228	66.374432	brpb-660344	99.84	641	1179.0
A1	10981919	68.010133	brpb-657779	97.31	372	632.0
A1	12126623	67.288	brpb-838958	100.00	339	627.0
A1	19752786	67.722	brpb-670408	98.37	369	649.0
A1	22421049	68.93574	brpb-658760	97.95	538	931.0
A1	24806304	73.788	brpb-663286	100.00	305	564.0
A1	24806463	73.834	brpb-661010	99.84	624	1147.0
A1	24806552	73.887	brpb-670361	96.00	450	749.0
A1	26054463	77.06672	brpb-660357	100.00	643	1188.0
A1	27722464	82.668922	brpb-669998	98.41	252	451.0
A1	27722485	80.788329	brpb-662737	99.66	293	536.0
A2	3736048	11.11	brpb-670904	99.34	304	549.0
A2	3948598	12.708	brpb-671322	100.00	504	931.0
A2	3948702	12.845	brpb-840731	98.65	296	529.0
A2	5370138	15.205	brpb-840545	99.23	389	708.0
A2	7609373	20.869	brpb-661469	99.78	457	839.0
A2	8008401	23.061	brpb-658386	99.68	313	571.0
A2	9620190	24.955	brpb-659016	99.35	309	558.0
A2	9620237	24.957	brpb-657868	97.51	402	695.0
A2	9620391	24.952	brpb-670471	100.00	142	263.0
A2	23220496	52.175604	brpb-658083	100.00	218	403.0
A2	27950629	74.002	brpb-840401	99.39	327	595.0
A2	27954983	73.974	brpb-660196	97.02	470	793.0
A2	27955009	73.962	brpb-657949	99.42	522	950.0
A2	27955112	74.009	brpb-808759	97.29	738	1242.0
A3	1574069	8.393737	brpb-661972	98.59	425	749.0
A3	1927932	4.768941	brpb-658157	97.28	552	937.0
A3	2288516	29.216801	brpb-657679	97.72	307	525.0
A3	2482885	32.402588	brpb-659852	100.00	225	416.0
A3	2558946	26.785331	brpb-658285	96.11	334	540.0
A3	2559077	26.785331	brpb-659037	94.03	67	102.0
A3	2880230	36.401645	brpb-658433	96.91	324	547.0
A3	7352400	55.656193	brpb-663683	100.00	232	429.0
A3	7356300	50.716181	brpb-840137	98.42	508	894.0
A3	9948509	60.877593	brpb-840898	97.12	417	702.0
A3	12067611	66.808239	brpb-660993	95.33	343	540.0
A3	12173886	65.176007	brpb-839525	98.89	452	808.0
A3	14718055	73.359193	brpb-662736	98.49	397	699.0
A3	14718125	73.843193	brpb-809205	98.83	256	459.0
A3	14718184	73.311193	brpb-660030	95.65	138	228.0
A3	14901068	75.372732	brpb-658949	97.62	504	869.0
A3	15112709	72.990193	brpb-662347	98.30	705	1236.0
A3	15168545	72.406193	brpb-658802	94.83	445	699.0
A3	16194376	81.938193	brpb-657925	98.66	524	933.0
A3	16740745	85.434193	brpb-659638	100.00	166	307.0
A3	16740774	85.674193	brpb-663225	100.00	223	412.0
A3	16741006	85.751332	brpb-659257	99.09	663	1197.0
A3	16741044	85.491193	brpb-671327	99.83	586	1077.0
A3	17027173	88.132193	brpb-671284	99.42	521	948.0
A3	17027375	88.566193	brpb-839683	98.29	117	206.0
A3	25497307	126.651193	brpb-659276	90.16	437	560.0
A3	27387772	128.524072	brpb-838604	100.00	112	207.0
A3	28587887	134.17519	brpb-658349	96.46	367	597.0
A3	28713078	132.641613	brpb-658578	97.97	344	597.0
A3	29487257	144.362193	brpb-840964	99.76	418	769.0
A3	29487301	144.902193	brpb-659729	99.70	330	604.0
A3	31460752	135.932659	brpb-661250	99.77	435	798.0
A3	31460812	135.932659	brpb-839588	97.78	315	553.0
A4	361416	10.875964	brpb-663305	96.65	478	808.0
A4	361539	11.687964	brpb-660316	96.69	725	1192.0
A4	361823	11.883964	brpb-663259	99.36	156	281.0
A4	969284	16.926964	brpb-660939	98.57	560	996.0
A4	1138793	14.884	brpb-661628	94.22	571	867.0
A4	2518182	21.239277	brpb-658988	97.98	247	429.0
A4	2894617	22.864214	brpb-670055	97.10	345	595.0
A4	2894713	22.864214	brpb-658486	98.70	538	955.0
A4	4186429	27.994357	brpb-809825	99.72	360	658.0
A4	4186455	29.080964	brpb-809631	99.68	309	566.0
A4	5274277	32.635367	brpb-659874	98.92	278	501.0
A4	9744619	30.493964	brpb-842031	95.98	522	863.0
A4	11878795	45.42995	brpb-657888	99.47	374	684.0
A4	12163900	37.912964	brpb-808828	98.10	474	843.0
A4	12163908	37.558964	brpb-659705	99.39	491	891.0
A4	12163919	37.662964	brpb-841683	97.87	470	826.0
A4	13318365	39.133964	brpb-660701	99.17	601	1086.0
A4	13489478	49.361561	brpb-661773	97.83	46	78.7
A4	13737991	40.092964	brpb-839460	98.47	524	937.0
A4	17554351	68.043964	brpb-670695	92.89	436	634.0
A4	20028247	82.147564	brpb-658257	96.54	752	1251.0
A4	20028315	82.147564	brpb-658645	96.25	694	1138.0
A4	20035647	85.667964	brpb-839008	92.91	395	566.0
A4	20347488	90.288964	brpb-660337	99.25	399	721.0
A4	20492602	85.033069	brpb-658824	91.97	162	226.0
A4	20899651	93.967964	brpb-840331	99.62	521	955.0
A4	21120660	93.216711	brpb-658275	94.95	99	156.0
A5	764300	11.876073	brpb-663578	95.18	436	695.0
A5	764317	12.422508	brpb-658634	97.83	461	806.0
A5	764318	12.422508	brpb-662868	99.34	458	830.0
A5	764453	12.422508	brpb-659536	100.00	188	348.0
A5	2070119	9.02	brpb-663516	90.68	161	213.0
A5	2172375	9.79	brpb-659900	92.50	80	113.0
A5	2680653	14.793	brpb-809579	95.78	71	115.0
A5	2741448	15.41	brpb-659339	100.00	683	1262.0
A5	3769045	22.305707	brpb-658816	96.05	531	865.0
A5	4409294	22.271915	brpb-661063	92.08	530	734.0
A5	5663584	36.376	brpb-807779	96.56	523	870.0
A5	5683267	34.034462	brpb-658614	97.98	595	1037.0
A5	5885772	38.141	brpb-660486	97.90	334	575.0
A5	5885774	38.133	brpb-840897	97.27	330	558.0
A5	11342998	45.105369	brpb-659095	98.89	718	1290.0
A5	12145416	46.202155	brpb-839251	99.62	262	479.0
A5	14046714	40.507696	brpb-659114	97.73	132	233.0
A5	17199682	43.596	brpb-659224	100.00	382	706.0
A5	19925552	43.633114	brpb-662228	98.80	334	595.0
A5	20386290	39.85018	brpb-839815	99.70	330	604.0
A5	22158389	44.01345	brpb-841413	99.34	455	824.0
A5	22636745	56.260575	brpb-809660	99.13	230	418.0
A5	22775322	54.817571	brpb-657955	98.52	203	359.0
A5	22775990	54.817571	brpb-663261	98.45	194	342.0
A5	24180217	59.127603	brpb-839308	98.39	434	763.0
A5	24750952	56.433313	brpb-662421	96.01	476	774.0
A5	24750973	56.433313	brpb-657894	95.17	435	697.0
A5	25641214	60.418055	brpb-659481	99.21	636	1149.0
A5	26328626	73.030288	brpb-807965	96.70	394	667.0
A5	28798949	81.98484	brpb-671300	99.25	664	1203.0
A6	851908	9.662	brpb-670445	98.10	158	281.0
A6	1387277	11.274	brpb-808360	97.26	329	556.0
A6	2351784	19.376738	brpb-657614	97.98	248	436.0
A6	2351801	22.023409	brpb-658152	97.17	283	488.0
