chr	n_bins	pos_min	pos_max	cM_min	cM_max	increasing_cM_steps	decreasing_cM_steps	equal_cM_steps	cross_chr_rows	minus_strand_rows	decreasing_examples
1	181	721626	47047410	0.239809	199.876313	180	0	0	0	0	
2	122	53092	38043332	0.000000	175.413532	121	0	0	0	1	
3	164	375837	40730249	0.000000	187.487722	161	2	0	0	2	Bin415:14383941:77.649985:src3->Bin412:14512961:72.681659:src3;Bin413:14609264:73.164754:src3->Bin411:15181635:72.198563:src3
4	114	79301	34372641	0.000000	127.237149	109	4	0	0	4	Bin566:2226020:9.596679:src4->Bin563:2271408:8.633967:src4;Bin584:4363363:16.117128:src4->Bin581:5742682:15.154416:src4;Bin581:5742682:15.154416:src4->Bin580:6269143:14.173992:src4;Bin580:6269143:14.173992:src4->Bin578:6599979:13.451088:src4
5	110	136349	31045187	0.000000	116.043092	109	0	0	0	0	
6	129	160065	32568025	0.000000	144.412563	128	0	0	0	1	
7	74	174631	27229566	0.239809	135.407854	73	0	0	0	1	
8	89	248426	30209578	0.000000	120.351252	88	0	0	0	0	
9	96	303122	21595178	0.722904	107.159809	95	0	0	0	0	
10	80	239170	22126567	0.000000	85.333908	79	0	0	0	0	
11	99	31033	23004714	0.239809	116.721616	95	3	0	0	6	Bin1498:19085508:92.632527:src11->Bin1497:19192873:92.392718:src11;Bin1497:19192873:92.392718:src11->Bin1496:19229419:92.152909:src11;Bin1528:21222807:111.636461:src11->Bin1521:21325393:108.218387:src11
12	54	551303	22440802	0.000000	106.768828	53	0	0	0	0	
