chr	pos	cM	bin	source
1	282464	0.000000	Bin1	Yu2011_TIGR6.1_midpoint_not_lifted
1	581800	0.239809	Bin2	Yu2011_TIGR6.1_midpoint_not_lifted
1	760423	0.722904	Bin3	Yu2011_TIGR6.1_midpoint_not_lifted
1	998510	1.452844	Bin4	Yu2011_TIGR6.1_midpoint_not_lifted
1	1110744	2.433268	Bin5	Yu2011_TIGR6.1_midpoint_not_lifted
1	1183829	2.673076	Bin6	Yu2011_TIGR6.1_midpoint_not_lifted
1	1270318	4.693553	Bin7	Yu2011_TIGR6.1_midpoint_not_lifted
1	1412852	4.933362	Bin8	Yu2011_TIGR6.1_midpoint_not_lifted
1	1529702	5.663302	Bin9	Yu2011_TIGR6.1_midpoint_not_lifted
1	1634208	6.146397	Bin10	Yu2011_TIGR6.1_midpoint_not_lifted
1	1725282	7.381028	Bin11	Yu2011_TIGR6.1_midpoint_not_lifted
1	1759356	7.620837	Bin12	Yu2011_TIGR6.1_midpoint_not_lifted
1	1866618	8.350777	Bin13	Yu2011_TIGR6.1_midpoint_not_lifted
1	2087494	9.843425	Bin14	Yu2011_TIGR6.1_midpoint_not_lifted
1	2304564	11.336073	Bin15	Yu2011_TIGR6.1_midpoint_not_lifted
1	2526598	11.575882	Bin16	Yu2011_TIGR6.1_midpoint_not_lifted
1	2713615	11.815690	Bin17	Yu2011_TIGR6.1_midpoint_not_lifted
1	2858218	12.055499	Bin18	Yu2011_TIGR6.1_midpoint_not_lifted
1	3200390	13.290129	Bin19	Yu2011_TIGR6.1_midpoint_not_lifted
1	3479786	14.270553	Bin20	Yu2011_TIGR6.1_midpoint_not_lifted
1	3549984	14.510362	Bin21	Yu2011_TIGR6.1_midpoint_not_lifted
1	3598680	15.490785	Bin22	Yu2011_TIGR6.1_midpoint_not_lifted
1	3637896	15.973881	Bin23	Yu2011_TIGR6.1_midpoint_not_lifted
1	3678592	16.456976	Bin24	Yu2011_TIGR6.1_midpoint_not_lifted
1	4001304	16.940072	Bin25	Yu2011_TIGR6.1_midpoint_not_lifted
1	4359039	22.179019	Bin26	Yu2011_TIGR6.1_midpoint_not_lifted
1	4478537	23.159443	Bin27	Yu2011_TIGR6.1_midpoint_not_lifted
1	4565034	23.399251	Bin28	Yu2011_TIGR6.1_midpoint_not_lifted
1	4614460	24.379675	Bin29	Yu2011_TIGR6.1_midpoint_not_lifted
1	4697086	24.862771	Bin30	Yu2011_TIGR6.1_midpoint_not_lifted
1	4832373	26.097401	Bin31	Yu2011_TIGR6.1_midpoint_not_lifted
1	4972319	26.580497	Bin32	Yu2011_TIGR6.1_midpoint_not_lifted
1	5098072	27.063592	Bin33	Yu2011_TIGR6.1_midpoint_not_lifted
1	5208046	30.476991	Bin34	Yu2011_TIGR6.1_midpoint_not_lifted
1	5284234	30.716799	Bin35	Yu2011_TIGR6.1_midpoint_not_lifted
1	5346338	31.199895	Bin36	Yu2011_TIGR6.1_midpoint_not_lifted
1	5390564	31.682991	Bin37	Yu2011_TIGR6.1_midpoint_not_lifted
1	5447862	32.917621	Bin38	Yu2011_TIGR6.1_midpoint_not_lifted
1	5582774	33.647561	Bin39	Yu2011_TIGR6.1_midpoint_not_lifted
1	5712010	33.887370	Bin40	Yu2011_TIGR6.1_midpoint_not_lifted
1	5754070	34.127178	Bin41	Yu2011_TIGR6.1_midpoint_not_lifted
