marker_id	marker_join_id	chr	cM	marker_class	is_dart
XHR-CL-265	hr-cl-265	A1	0	Non-DArT	0
XCB10081	cb10081	A1	4.811	Non-DArT	0
Xniab113	niab113	A1	6.357	Non-DArT	0
XsN11641	sn11641	A1	7.199	Non-DArT	0
XIGF3222b	igf3222b	A1	7.83	Non-DArT	0
XHBr003	hbr003	A1	8.92	Non-DArT	0
Xniab097	niab097	A1	12.821	Non-DArT	0
XBRMS-098	brms-098	A1	14.931	Non-DArT	0
XbrPb-659711	brpb-659711	A1	16.776	DArT	1
XpW157	pw157	A1	18.013	Non-DArT	0
XpW248	pw248	A1	19.405	Non-DArT	0
XbrPb-840382	brpb-840382	A1	19.889501	DArT	1
XCNU142	cnu142	A1	20.564	Non-DArT	0
XbrPb-657648	brpb-657648	A1	23.47	DArT	1
XbrPb-658172	brpb-658172	A1	23.488	DArT	1
XbrPb-658455	brpb-658455	A1	24.082707	DArT	1
XCB10097	cb10097	A1	26.045	Non-DArT	0
XCNU139	cnu139	A1	26.687	Non-DArT	0
XbrPb-809947	brpb-809947	A1	27.615	DArT	1
XbrPb-663220	brpb-663220	A1	29.334	DArT	1
Xniab096	niab096	A1	31.742	Non-DArT	0
XbrPb-658050	brpb-658050	A1	32.642142	DArT	1
XHBr006	hbr006	A1	34.524	Non-DArT	0
XHBr018	hbr018	A1	36.213	Non-DArT	0
XpW145	pw145	A1	37.415	Non-DArT	0
XJICB0455	jicb0455	A1	37.808	Non-DArT	0
XbrPb-671207	brpb-671207	A1	40.628462	DArT	1
XbrPb-839756	brpb-839756	A1	41.967	DArT	1
XbrPb-657742	brpb-657742	A1	43.48072	DArT	1
XRA2G09	ra2g09	A1	46.244	Non-DArT	0
XbrPb-663258	brpb-663258	A1	47.043465	DArT	1
XbrPb-808330	brpb-808330	A1	47.605	DArT	1
XJICB1214	jicb1214	A1	48.855	Non-DArT	0
XIGF0191b	igf0191b	A1	50.962	Non-DArT	0
XbrPb-660511	brpb-660511	A1	53.178395	DArT	1
XJICB0009	jicb0009	A1	53.796	Non-DArT	0
XbrPb-657957	brpb-657957	A1	56.4728	DArT	1
XbrPb-658070	brpb-658070	A1	56.4728	DArT	1
XCNU235	cnu235	A1	56.482	Non-DArT	0
XbrPb-808614	brpb-808614	A1	56.671169	DArT	1
XJICB0619	jicb0619	A1	57.094	Non-DArT	0
XIGF9014b	igf9014b	A1	57.674	Non-DArT	0
XbrPb-662948	brpb-662948	A1	57.906354	DArT	1
XIGF9014a	igf9014a	A1	58.159	Non-DArT	0
XOl12F11	ol12f11	A1	58.361	Non-DArT	0
XIGF0557c	igf0557c	A1	59.561	Non-DArT	0
XBN35D	bn35d	A1	59.98	Non-DArT	0
XBRAS084	bras084	A1	60.823	Non-DArT	0
XBRAS078	bras078	A1	60.971	Non-DArT	0
XbrPb-838668	brpb-838668	A1	61.354938	DArT	1
XbrPb-661347	brpb-661347	A1	62.382385	DArT	1
XBRMS-245	brms-245	A1	62.664	Non-DArT	0
XbrPb-658499	brpb-658499	A1	63.252161	DArT	1
XCNU132	cnu132	A1	63.524	Non-DArT	0
XRA2E04	ra2e04	A1	63.806	Non-DArT	0
XSA63	sa63	A1	64.42	Non-DArT	0
XBRMS-287	brms-287	A1	64.782	Non-DArT	0
XHBr011	hbr011	A1	65.698	Non-DArT	0
XbrPb-659237	brpb-659237	A1	66.298778	DArT	1
XbrPb-660344	brpb-660344	A1	66.374432	DArT	1
XbrPb-658209	brpb-658209	A1	66.623129	DArT	1
XbrPb-661568	brpb-661568	A1	66.623129	DArT	1
XbrPb-661581	brpb-661581	A1	66.623129	DArT	1
XHR-C004-A1	hr-c004-a1	A1	66.669	Non-DArT	0
XbrPb-659195	brpb-659195	A1	67.226	DArT	1
XbrPb-838958	brpb-838958	A1	67.288	DArT	1
XbrPb-670408	brpb-670408	A1	67.722	DArT	1
XbrPb-657779	brpb-657779	A1	68.010133	DArT	1
XbrPb-658104	brpb-658104	A1	68.224	DArT	1
XbrPb-658760	brpb-658760	A1	68.93574	DArT	1
XbrPb-659034	brpb-659034	A1	68.93574	DArT	1
XbrPb-661055	brpb-661055	A1	68.93574	DArT	1
XH121N24-2	h121n24-2	A1	69.856	Non-DArT	0
XbrPb-663286	brpb-663286	A1	73.788	DArT	1
XbrPb-661010	brpb-661010	A1	73.834	DArT	1
XbrPb-670361	brpb-670361	A1	73.887	DArT	1
XbrPb-659171	brpb-659171	A1	74.32006	DArT	1
XbrPb-662342	brpb-662342	A1	75.426002	DArT	1
XbrPb-662499	brpb-662499	A1	75.426002	DArT	1
XbrPb-660357	brpb-660357	A1	77.06672	DArT	1
XbrPb-808818	brpb-808818	A1	77.17794	DArT	1
XbrPb-839626	brpb-839626	A1	79.275671	DArT	1
XbrPb-662737	brpb-662737	A1	80.788329	DArT	1
XbrPb-669998	brpb-669998	A1	82.668922	DArT	1
XbrPb-662007	brpb-662007	A1	84.854016	DArT	1
XbrPb-840554	brpb-840554	A1	84.9135	DArT	1
XbrPb-658523	brpb-658523	A1	86.26458	DArT	1
XbrPb-661548	brpb-661548	A1	86.26458	DArT	1
