MaizeGDB: Details of Map Genetic 10
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
telomere10S	0.00																																						
d53	0.10		GRMZM2G109674	Chr10	630477	635225					Zm00001d023208	Chr10	131322	134730	Zm00001eb404750	chr10	129963	134779																					
IDP7773	0.20																																						
Zm00001d023213	0.38		GRMZM2G135536	Chr10	893876	895613					Zm00001d023213	Chr10	398153	399736	Zm00001eb404780	chr10	397846	399692																					
pco099218	0.40		GRMZM2G066049	Chr10	1086965	1088582					Zm00001d023215	Chr10	598098	599504	Zm00001eb404790	chr10	575706	577353																					
hct18	0.41		GRMZM2G066142	Chr10	1084003	1085634					Zm00001d023216	Chr10	601188	602564	Zm00001eb404800	chr10	578243	580336																					
GRMZM2G057557	0.44		GRMZM2G057557	Chr10	1146098	1148797					Zm00001d023220	Chr10	700409	703173	Zm00001eb404840	chr10	660868	663981																					
pco092158b	0.48		GRMZM2G057441	Chr10	1152579	1158548					Zm00001d023222	Chr10	706724	712890	Zm00001eb404860	chr10	667558	673707																					
fer2	0.50		GRMZM2G147266	Chr10	1279030	1283646					Zm00001d023223	Chr10	823878	825894	Zm00001eb404870	chr10	784195	786994																					
tbl63	0.52		GRMZM2G147266	Chr10	1279030	1283646					Zm00001d023225	Chr10	826372	828398	Zm00001eb404880	chr10	787207	790682																					
cnr14	0.56		GRMZM2G173742	Chr10	1320705	1322616					Zm00001d023228	Chr10	862028	863743	Zm00001eb404920	chr10	822603	824689																					
ppr487	0.58		GRMZM2G078264	Chr10	1347854	1350592					Zm00001d023229	Chr10	896443	898875	Zm00001eb404930	chr10	857113	859988																					
raptor1	0.60		GRMZM2G048067	Chr10	1411349	1423184					Zm00001d023230	Chr10	954679	966602	Zm00001eb404940	chr10	915481	927344																					
LOC103642236	0.62		GRMZM2G048059	Chr10	1424260	1426209					Zm00001d023231	Chr10	968035	969012																									
rdm4	0.65		GRMZM2G098603	Chr10	1536891	1540898					Zm00001d023237	Chr10	1096896	1100874	Zm00001eb404980	chr10	1057633	1061839																					
