chr	pos	cM
A1	1432876	16.776
A1	2268821	23.47
A1	2269231	23.488
A1	2445551	27.615
A1	2660894	29.334
A1	3309563	41.967
A1	3554719	43.48072
A1	4312256	47.043465
A1	6891773	53.178395
A1	8046389	56.4728
A1	8046421	56.4728
A1	10981228	66.374432
A1	12126623	67.288
A1	19752786	67.722
A1	22421049	68.93574
A1	24806304	73.788
A1	24806463	73.834
A1	24806552	73.887
A1	26054463	77.06672
A1	27722485	80.788329
A2	3736048	11.11
A2	3948598	12.708
A2	3948702	12.845
A2	5370138	15.205
A2	7609373	20.869
A2	8008401	23.061
A2	9620190	24.955
A2	9620237	24.957
A2	23220496	52.175604
A2	27955009	73.962
A2	27955112	74.009
A3	1927932	4.768941
A3	2558946	26.785331
A3	2559077	26.785331
A3	2880230	36.401645
A3	7356300	50.716181
A3	9948509	60.877593
A3	12173886	65.176007
A3	14718055	73.359193
A3	14718125	73.843193
A3	14901068	75.372732
A3	16194376	81.938193
A3	16740745	85.434193
A3	16740774	85.674193
A3	16741006	85.751332
A3	17027173	88.132193
A3	17027375	88.566193
A3	25497307	126.651193
A3	27387772	128.524072
A3	28713078	132.641613
A3	31460752	135.932659
A3	31460812	135.932659
A4	361416	10.875964
A4	361539	11.687964
A4	361823	11.883964
A4	1138793	14.884
A4	2518182	21.239277
A4	2894617	22.864214
A4	2894713	22.864214
A4	4186429	27.994357
A4	4186455	29.080964
A4	9744619	30.493964
A4	12163908	37.558964
A4	12163919	37.662964
A4	13318365	39.133964
A4	13737991	40.092964
A4	17554351	68.043964
A4	20028247	82.147564
A4	20028315	82.147564
A4	20035647	85.667964
A4	20347488	90.288964
A4	21120660	93.216711
A5	764300	11.876073
A5	764317	12.422508
A5	764318	12.422508
A5	764453	12.422508
A5	2680653	14.793
A5	2741448	15.41
A5	4409294	22.271915
A5	5683267	34.034462
A5	5885774	38.133
A5	14046714	40.507696
A5	17199682	43.596
A5	19925552	43.633114
A5	22158389	44.01345
A5	22775322	54.817571
A5	22775990	54.817571
A5	24750952	56.433313
A5	24750973	56.433313
A5	25641214	60.418055
A5	26328626	73.030288
A5	28798949	81.98484
A6	851908	9.662
A6	1387277	11.274
A6	2351784	19.376738
A6	2351933	19.376738
A6	2834598	29.462376
A6	3200166	30.916275
A6	3200240	30.916275
A6	3200320	30.916275
A6	3200334	30.916275
A6	3760209	36.386694
A6	3842679	39.966386
A6	4391450	41.827037
A6	5390854	47.761957
A6	5391068	47.761957
A6	6645685	50.074803
A6	6895954	56.773725
A6	7396767	60.652348
A6	9445627	62.316436
A6	11540204	65.497917
A6	11540327	65.497917
A6	11613193	65.851
A6	11613297	66.235
A6	12815081	66.565
A6	12815132	66.565
A6	16486716	66.851
A6	19457007	69.272
A6	19801103	69.275
A6	20953970	72.929357
A6	22836139	77.42847
A6	22844653	78.095
A6	23710727	84.590967
A6	24365879	87.832
A6	25256365	103.675686
A6	25482521	107.652537
A6	25482543	107.652537
A7	565941	17.766971
A7	565990	17.804971
A7	3008018	23.296971
A7	7339246	24.595971
A7	12764640	28.824765
A7	13412716	32.308628
A7	13412807	32.617971
A7	14710687	40.923971
A7	15994953	44.811971
A7	17270186	53.148971
A7	22304370	77.239225
A8	9720198	0.000000
A8	16990553	14.372000
A8	19563149	35.562000
A8	19563358	35.576000
A8	22120372	53.272948
A9	5373659	0.000000
A9	6433981	9.923598
A9	6845323	11.481646
A9	12209647	31.520689
A9	12346576	32.982776
A9	12807510	36.628129
A9	12951203	39.260816
A9	18084968	40.722364
A9	20386550	45.715129
A9	25368743	46.740129
A9	30294917	50.814129
A9	33351249	62.385129
A9	33351328	62.465129
A9	33798074	64.181129
A9	35659864	68.377129
A9	36936437	79.429366
A9	36936497	79.429366
A9	36936729	79.429366
A9	37886683	88.915159
A9	37886692	88.915159
A9	38208997	88.915159
A9	38209001	93.411292
A9	40829497	98.723517
A9	44081194	114.696129
A10	1270420	9.821015
A10	1796519	11.117015
A10	8000542	19.155091
A10	11570491	20.543015
A10	14395169	32.892015
A10	14458577	33.638015
A10	15321207	41.374357
A10	15584827	42.315015
A10	15818213	42.681222
A10	17026401	53.727015
A10	17634726	60.254286
A10	18672107	74.035015
A10	18967029	75.854916
A10	19089057	77.629015
A10	19089116	77.630015
C1	17840837	8.479
C1	17840915	8.514
C1	17840992	8.554
C1	18048641	9.794
C1	23346069	10.796
C1	24956386	10.930
C1	26416630	11.474
C2	33234	5.951
C2	3096547	16.111
C2	8178410	33.479
C2	10896293	33.702
C2	27601525	56.434149
C2	27747387	56.434149
C2	34471515	56.434149
C2	35457428	56.434149
C2	43760346	57.316503
C3	1507122	7.568
C3	1983102	8.984
C3	1983413	9.0245
C3	5133961	20.292
C3	5133969	20.292
C3	9918731	44.65
C3	20425851	64.868
C3	20977412	66.529
C3	40018345	110.241
C3	56041640	120.112852
C3	56053292	120.77
C4	7436352	38.97
C4	8503190	43.956
C4	9399657	46.277
C4	13217024	51.709
C4	29393491	58.198
C4	36912645	67.89443
C4	49152671	83.981
C4	50425195	85.463
C4	59640756	105.741
C4	62308039	130
C5	4417641	0.000
C5	4705788	1.680
C5	13877185	19.487
C6	39142491	40.134
C6	40783997	41.027
C7	41218399	6.341
C7	50729843	44.760387
C7	50729894	45.231
C7	52574753	54.422
C7	52863501	58.992559
C8	36640294	23.26
C8	40372277	33.119
C8	45348540	59.86
C8	45665587	62.741
C9	42182830	75.168064
C9	42183174	75.168064
C9	52886355	86.031
