marker_id	best_chr	expected_chr	pos	pident	bitscore	competitor_chr	competitor_bitscore	reason
brpb-657600	A2	A6	12516501	90.65	331.0	A6	250.0	best_hit_off_expected_chr
brpb-657632	C6	A6	4236119	93.80	536.0	A6	351.0	best_hit_off_expected_chr
brpb-657641	C4	A4	32641955	95.07	479.0			best_hit_off_expected_chr
brpb-657785	A9	A2	28401201	90.48	108.0			best_hit_off_expected_chr
brpb-657847	C2	A2	26145183	97.59	143.0	A2	80.5	best_hit_off_expected_chr
brpb-657896	A3	A10	3767305	99.77	800.0	C3	617.0	best_hit_off_expected_chr
brpb-657950	C6	A7	30793244	96.61	833.0	A7	789.0	best_hit_off_expected_chr
brpb-658011	C2	A2	26145081	97.62	217.0	A2	80.5	best_hit_off_expected_chr
brpb-658018	C9	A10	64676772	97.86	645.0	C2	532.0	best_hit_off_expected_chr
brpb-658104	C1	A1	22369056	91.84	634.0	A1	473.0	best_hit_off_expected_chr
brpb-658153	C4	A4	32641953	93.18	462.0			best_hit_off_expected_chr
brpb-658213	C2	A2	26145081	97.62	217.0	A2	75.0	best_hit_off_expected_chr
brpb-658265	C4	A4	39860918	90.69	499.0			best_hit_off_expected_chr
brpb-658266	C9	A3	39486226	93.22	486.0	C8	231.0	best_hit_off_expected_chr
brpb-658413	A9	A2	28401201	90.48	108.0			best_hit_off_expected_chr
brpb-658420	C5	A9	24789744	96.61	294.0			best_hit_off_expected_chr
brpb-658468	C4	A5	12930052	93.53	959.0			best_hit_off_expected_chr
brpb-658547	C7	A7	14244801	93.89	590.0	A7	453.0	best_hit_off_expected_chr
brpb-658552	C2	A2	26145081	97.62	217.0	A2	80.5	best_hit_off_expected_chr
brpb-658557	C4	A4	57563506	95.29	276.0	A4	254.0	best_hit_off_expected_chr
brpb-658597	C5	A10	1146678	95.83	1005.0			best_hit_off_expected_chr
brpb-658617	C2	A2	26145081	96.03	209.0	A2	80.5	best_hit_off_expected_chr
brpb-658647	C6	A6	9723616	92.05	931.0	A6	640.0	best_hit_off_expected_chr
brpb-658696	A7	A9	12046689	99.55	817.0	C7	702.0	best_hit_off_expected_chr
brpb-658724	A7	A9	12046731	95.60	601.0	C7	497.0	best_hit_off_expected_chr
brpb-658746	C6	A6	7216343	94.12	78.7			best_hit_off_expected_chr
brpb-658795	C5	A5	52372830	99.03	933.0	A5	874.0	best_hit_off_expected_chr
brpb-658860	C2	A2	58085370	100.00	760.0	C3	87.9	best_hit_off_expected_chr
brpb-658946	A9	C5	31864638	98.46	686.0	C5	608.0	best_hit_off_expected_chr
brpb-659008	C4	A4	58389164	99.66	540.0			best_hit_off_expected_chr
brpb-659084	C4	A7	17194125	91.28	797.0	A7	634.0	best_hit_off_expected_chr
brpb-659102	A9	A3	41448019	94.94	366.0			best_hit_off_expected_chr
brpb-659122	C9	A10	64676772	97.59	641.0	C2	529.0	best_hit_off_expected_chr
brpb-659342	C4	A5	3767036	90.87	289.0			best_hit_off_expected_chr
