bin	source_chr	cM	tigr6_seqid	tigr6_pos	tigr6_start0	tigr6_end0
Bin1	1	0.000000	chr01|13101	282464	282463	282464
Bin3	1	0.722904	chr01|13101	760423	760422	760423
Bin4	1	1.452844	chr01|13101	998510	998509	998510
Bin5	1	2.433268	chr01|13101	1110744	1110743	1110744
Bin9	1	5.663302	chr01|13101	1529702	1529701	1529702
Bin15	1	11.336073	chr01|13101	2304564	2304563	2304564
Bin16	1	11.575882	chr01|13101	2526598	2526597	2526598
Bin19	1	13.290129	chr01|13101	3200390	3200389	3200390
Bin26	1	22.179019	chr01|13101	4359039	4359038	4359039
Bin27	1	23.159443	chr01|13101	4478537	4478536	4478537
Bin36	1	31.199895	chr01|13101	5346338	5346337	5346338
Bin41	1	34.127178	chr01|13101	5754070	5754069	5754070
Bin59	1	62.949381	chr01|13101	10179760	10179759	10179760
Bin72	1	76.180382	chr01|13101	13024834	13024833	13024834
Bin74	1	76.660000	chr01|13101	13739612	13739611	13739612
Bin84	1	80.778963	chr01|13101	16549809	16549808	16549809
Bin85	1	81.018772	chr01|13101	17969531	17969530	17969531
Bin91	1	83.931657	chr01|13101	19249529	19249528	19249529
Bin94	1	84.894370	chr01|13101	19760188	19760187	19760188
Bin95	1	85.134178	chr01|13101	20156868	20156867	20156868
Bin100	1	87.800058	chr01|13101	20739593	20739592	20739593
Bin103	1	90.277528	chr01|13101	21603920	21603919	21603920
Bin112	1	101.278562	chr01|13101	23034576	23034575	23034576
Bin117	1	103.701155	chr01|13101	23650054	23650053	23650054
Bin124	1	113.265900	chr01|13101	24664611	24664610	24664611
Bin136	1	129.480014	chr01|13101	28528460	28528459	28528460
Bin159	1	140.171326	chr01|13101	32209834	32209833	32209834
Bin161	1	140.894230	chr01|13101	32521107	32521106	32521107
Bin164	1	145.494687	chr01|13101	33450852	33450851	33450852
Bin184	1	154.776473	chr01|13101	38271885	38271884	38271885
Bin188	1	158.245287	chr01|13101	38826350	38826349	38826350
Bin198	1	183.227120	chr01|13101	41025134	41025133	41025134
Bin199	1	188.149124	chr01|13101	41391793	41391792	41391793
Bin201	1	189.362159	chr01|13101	41792096	41792095	41792096
Bin217	1	200.606253	chr01|13101	43166855	43166854	43166855
Bin239	2	16.045970	chr02|13102	2717896	2717895	2717896
Bin241	2	17.509489	chr02|13102	2989001	2989000	2989001
Bin255	2	48.646041	chr02|13102	5991758	5991757	5991758
Bin259	2	54.108217	chr02|13102	6926176	6926175	6926176
Bin265	2	61.769758	chr02|13102	7926544	7926543	7926544
Bin268	2	62.732470	chr02|13102	8853616	8853615	8853616
Bin271	2	64.185314	chr02|13102	9298932	9298931	9298932
Bin288	2	73.310232	chr02|13102	18293922	18293921	18293922
Bin291	2	74.029658	chr02|13102	18664287	18664286	18664287
Bin295	2	77.221995	chr02|13102	19129924	19129923	19129924
Bin318	2	140.664514	chr02|13102	30282077	30282076	30282077
Bin325	2	145.832755	chr02|13102	31320321	31320320	31320321
Bin341	2	163.675166	chr02|13102	34487363	34487362	34487363
Bin342	2	163.914975	chr02|13102	34544290	34544289	34544290
