marker_id	linkage_group	cM	marker_type	F_raw_hits	R_raw_hits	F_full_length_perfect_hits	R_full_length_perfect_hits	F_full_length_mm1_hits	R_full_length_mm1_hits	has_F_any_hit	has_R_any_hit	has_both_any_hit	has_F_perfect	has_R_perfect	has_both_primers_perfect	has_F_mm1	has_R_mm1	has_both_primers_mm1	F_multihit_perfect	R_multihit_perfect	F_multihit_mm1	R_multihit_mm1	in_strict_high_confidence_196	in_relaxed_mm1_collinear_222
BN12A	C03	123.531	SSR	6195	2200	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BN40C1	C03	27.483	SSR	7450	3548	0	0	0	1	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False
BRAS011	C02	125.932	SSR	1400	6747	1	2	1	2	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True
BRAS072	C04	21.2	SSR	4606	2324	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BRAS120	C03	114.754	SSR	27022	1710	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BRMS015	C06	57.757	SSR	4550	5201	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BnGMS102	C06	83.184	SSR	1945	2749	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BnGMS24	C06	67.602	SSR	1804	3990	2	1	3	1	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
BnGMS292	C05	43.468	SSR	4915	2765	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BnGMS310	C02	143.75	SSR	2481	5220	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BnGMS4	C08	72.902	SSR	7793	1061	2	1	2	1	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
BnGMS417	C03	82.375	SSR	2874	3041	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BnGMS426	C03	11.48	SSR	4004	2962	1	0	1	1	True	True	True	True	False	False	True	True	True	False	False	False	False	False	True
BnGMS552	C07	92.321	SSR	4231	8106	59	10	61	17	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False
BnGMS598	C07	55.576	SSR	1845	15602	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BnGMS626	C07	73.114	SSR	2158	2294	2	1	3	2	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True
BnGMS629	C02	138.051	SSR	2849	2478	2	1	2	1	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
BnGMS631	C03	23.895	SSR	10224	915	49	1	106	1	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
BnGMS647	C04	86.409	SSR	1417	5067	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoE002	C04	60.746	SSR	979	1435	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE013	C08	44.362	SSR	9730	1374	0	1	2	2	True	True	True	False	True	False	True	True	True	False	False	True	True	False	False
BoE015	C07	95.078	SSR	9638	1600	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE035	C08	40.87	SSR	7503	2267	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE041	C01	36.32	SSR	6945	1860	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE047	C06	70.219	SSR	9000	34636	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE068	C02	125.318	SSR	1746	10268	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoE080	C08	75.991	SSR	2168	12546	0	1	1	1	True	True	True	False	True	False	True	True	True	False	False	False	False	False	True
BoE093	C07	75.943	SSR	1819	4105	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BoE106	C01	20.071	SSR	767	1393	6	6	6	9	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False
BoE116	C08	96.551	SSR	31671	1404	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
