marker_id	marker_id_norm	old_seqid	old_start	old_end	old_midpoint	old_midpoint_0based	old_source	marker_type	old_strand	genetic_chr	cM	attributes	n_liftover_candidates	target_seqid	target_chr	target_type	target_pos	paf_strand	paf_qstart	paf_qend	paf_tstart	paf_tend	mapq	n_match	aln_len	paf_identity	paf_query_span	same_chr	cigar_status	cigar_map_ok	liftover_status	chr	pos	marker_id_norm_for_join	direct_chr	direct_pos	liftover_chr	liftover_pos	same_chr_direct	delta_pos	abs_delta_pos
solcap_stsnp_c1_6704	solcap_snp_c1_6704	ST4.03ch01	2957398	2957398	2957398	2957397	dundee	SNP	.	1	8.698	ID=solcap_stsnp_c1_6704;Note=type: New OPA;Name=solcap_stsnp_c1_6704; Note=Genetic position = Chr01 8.698 cM	1	chr01	1	chromosome	2967161	+	2905052	2998462	2916171	3007581	60	90861	92118	0.9863544584120367	93410	1	cigar_aligned_base	1	lifted_chr_agree	1	2967161	solcap_snp_c1_6704	1	2967161	1	2967161	True	0	0
solcap_stsnp_c1_6708	solcap_snp_c1_6708	ST4.03ch01	3224553	3224553	3224553	3224552	dundee	SNP	.	1	11.907	ID=solcap_stsnp_c1_6708;Note=type: New OPA;Name=solcap_stsnp_c1_6708; Note=Genetic position = Chr01 11.907 cM	1	chr01	1	chromosome	3231168	+	3222141	3246737	3228756	3251370	60	22538	22652	0.9949673318029313	24596	1	cigar_aligned_base	1	lifted_chr_agree	1	3231168	solcap_snp_c1_6708	1	3231168	1	3231168	True	0	0
solcap_stsnp_c1_6110	solcap_snp_c1_6110	ST4.03ch01	3713077	3713077	3713077	3713076	dundee	SNP	.	1	15.768	ID=solcap_stsnp_c1_6110;Note=type: New OPA;Name=solcap_stsnp_c1_6110; Note=Genetic position = Chr01 15.768 cM	1	chr01	1	chromosome	3694828	+	3681892	3746244	3665660	3727690	60	61791	63203	0.9776592883249213	64352	1	cigar_aligned_base	1	lifted_chr_agree	1	3694828	solcap_snp_c1_6110	1	3694828	1	3694828	True	0	0
solcap_stsnp_c1_15142	solcap_snp_c1_15142	ST4.03ch01	4310143	4310143	4310143	4310142	dundee	SNP	.	1	15.567	ID=solcap_stsnp_c1_15142;Note=type: New OPA;Name=solcap_stsnp_c1_15142; Note=Genetic position = Chr01 15.567 cM	1	chr01	1	chromosome	4644404	+	4256165	4315409	4591137	4649782	60	58522	59358	0.9859159675191213	59244	1	cigar_aligned_base	1	lifted_chr_agree	1	4644404	solcap_snp_c1_15142	1	4644404	1	4644404	True	0	0
solcap_stsnp_c1_15714	solcap_snp_c1_15714	ST4.03ch01	39325733	39325733	39325733	39325732	dundee	SNP	.	1	23.267	ID=solcap_stsnp_c1_15714;Note=type: New OPA;Name=solcap_stsnp_c1_15714; Note=Genetic position = Chr01 23.267 cM	1	chr01	1	chromosome	34774889	+	39299019	39330066	34748914	34779222	60	30250	30391	0.995360468559771	31047	1	cigar_aligned_base	1	lifted_chr_agree	1	34774889	solcap_snp_c1_15714	1	34774889	1	34774889	True	0	0
solcap_stsnp_c1_14565	solcap_snp_c1_14565	ST4.03ch01	44395738	44395738	44395738	44395737	dundee	SNP	.	1	27.244	ID=solcap_stsnp_c1_14565;Note=type: New OPA;Name=solcap_stsnp_c1_14565; Note=Genetic position = Chr01 27.244 cM	1	chr01	1	chromosome	54738957	-	44344556	44407613	54727082	54790202	60	63038	63126	0.998605962677819	63057	1	cigar_aligned_base	1	lifted_chr_agree	1	54738957	solcap_snp_c1_14565	1	54738958	1	54738957	True	-1	1
solcap_stsnp_c1_806	solcap_snp_c1_806	ST4.03ch01	58566960	58566960	58566960	58566959	dundee	SNP	.	1	27.828	ID=solcap_stsnp_c1_806;Note=type: New OPA;Name=solcap_stsnp_c1_806; Note=Genetic position = Chr01 27.828 cM	1	chr01	1	chromosome	60207942	+	58504444	58624565	60145556	60265826	60	119594	120400	0.9933056478405315	120121	1	cigar_aligned_base	1	lifted_chr_agree	1	60207942	solcap_snp_c1_806	1	60207942	1	60207942	True	0	0
solcap_stsnp_c1_12109	solcap_snp_c1_12109	ST4.03ch01	62803084	62803084	62803084	62803083	dundee	SNP	.	1	35.392	ID=solcap_stsnp_c1_12109;Note=type: New OPA;Name=solcap_stsnp_c1_12109; Note=Genetic position = Chr01 35.392 cM	1	chr01	1	chromosome	64336038	+	62787314	62835023	64320268	64367176	60	46903	47709	0.9831059129304743	47709	1	cigar_aligned_base	1	lifted_chr_agree	1	64336038	solcap_snp_c1_12109	1	64336038	1	64336038	True	0	0
solcap_stsnp_c1_13685	solcap_snp_c1_13685	ST4.03ch01	64120558	64120558	64120558	64120557	dundee	SNP	.	1	34.892	ID=solcap_stsnp_c1_13685;Note=type: New OPA;Name=solcap_stsnp_c1_13685; Note=Genetic position = Chr01 34.892 cM	1	chr01	1	chromosome	65627217	+	64099186	64138376	65605845	65644773	60	38892	39158	0.9932070075080444	39190	1	cigar_aligned_base	1	lifted_chr_agree	1	65627217	solcap_snp_c1_13685	1	65627217	1	65627217	True	0	0
solcap_stsnp_c1_14297	solcap_snp_c1_14297	ST4.03ch01	64361950	64361950	64361950	64361949	dundee	SNP	.	1	38.926	ID=solcap_stsnp_c1_14297;Note=type: New OPA;Name=solcap_stsnp_c1_14297; Note=Genetic position = Chr01 38.926 cM	1	chr01	1	chromosome	65854890	+	64293792	64386065	65787200	65878664	60	91245	92042	0.9913409095847547	92273	1	cigar_aligned_base	1	lifted_chr_agree	1	65854890	solcap_snp_c1_14297	1	65854890	1	65854890	True	0	0
solcap_stsnp_c1_4402	solcap_snp_c1_4402	ST4.03ch01	65274601	65274601	65274601	65274600	dundee	SNP	.	1	42.021	ID=solcap_stsnp_c1_4402;Note=type: New OPA;Name=solcap_stsnp_c1_4402; Note=Genetic position = Chr01 42.021 cM	1	chr01	1	chromosome	66757200	+	65252823	65284042	66735421	66766641	60	31218	31221	0.9999039108292496	31219	1	cigar_aligned_base	1	lifted_chr_agree	1	66757200	solcap_snp_c1_4402	1	66757200	1	66757200	True	0	0
solcap_stsnp_c1_4710	solcap_snp_c1_4710	ST4.03ch01	65806975	65806975	65806975	65806974	dundee	SNP	.	1	41.733	ID=solcap_stsnp_c1_4710;Note=type: New OPA;Name=solcap_stsnp_c1_4710; Note=Genetic position = Chr01 41.733 cM	1	chr01	1	chromosome	67271838	+	65793546	65852430	67259463	67317250	60	57774	58887	0.9810993937541392	58884	1	cigar_aligned_base	1	lifted_chr_agree	1	67271838	solcap_snp_c1_4710	1	67271838	1	67271838	True	0	0
solcap_stsnp_c1_4754	solcap_snp_c1_4754	ST4.03ch01	66339796	66339796	66339796	66339795	dundee	SNP	.	1	38.902	ID=solcap_stsnp_c1_4754;Note=type: New OPA;Name=solcap_stsnp_c1_4754; Note=Genetic position = Chr01 38.902 cM	1	chr01	1	chromosome	67733812	+	66259543	66397245	67653942	67789703	60	135534	137016	0.9891837449640918	137702	1	cigar_aligned_base	1	lifted_chr_agree	1	67733812	solcap_snp_c1_4754	1	67733812	1	67733812	True	0	0
solcap_stsnp_c1_4765	solcap_snp_c1_4765	ST4.03ch01	66413929	66413929	66413929	66413928	dundee	SNP	.	1	38.905	ID=solcap_stsnp_c1_4765;Note=type: New OPA;Name=solcap_stsnp_c1_4765; Note=Genetic position = Chr01 38.905 cM	1	chr01	1	chromosome	67805574	+	66400784	66432082	67792626	67823721	60	31090	31299	0.9933224703664654	31298	1	cigar_aligned_base	1	lifted_chr_agree	1	67805574	solcap_snp_c1_4765	1	67805574	1	67805574	True	0	0
solcap_stsnp_c1_11230	solcap_snp_c1_11230	ST4.03ch01	66577014	66577014	66577014	66577013	dundee	SNP	.	1	40.083	ID=solcap_stsnp_c1_11230;Note=type: New OPA;Name=solcap_stsnp_c1_11230; Note=Genetic position = Chr01 40.083 cM	1	chr01	1	chromosome	67932856	+	66532695	66580277	67889242	67936119	60	46759	46834	0.9983985993081949	47582	1	cigar_aligned_base	1	lifted_chr_agree	1	67932856	solcap_snp_c1_11230	1	67932856	1	67932856	True	0	0
solcap_stsnp_c1_5760	solcap_snp_c1_5760	ST4.03ch01	69918875	69918875	69918875	69918874	dundee	SNP	.	1	46.775	ID=solcap_stsnp_c1_5760;Note=type: New OPA;Name=solcap_stsnp_c1_5760; Note=Genetic position = Chr01 46.775 cM	1	chr01	1	chromosome	71116443	+	69877876	70029187	71076640	71224976	60	147970	150260	0.9847597497670704	151311	1	cigar_aligned_base	1	lifted_chr_agree	1	71116443	solcap_snp_c1_5760	1	71116443	1	71116443	True	0	0
solcap_stsnp_c1_3845	solcap_snp_c1_3845	ST4.03ch01	72070782	72070782	72070782	72070781	dundee	SNP	.	1	50.623	ID=solcap_stsnp_c1_3845;Note=type: New OPA;Name=solcap_stsnp_c1_3845; Note=Genetic position = Chr01 50.623 cM	1	chr01	1	chromosome	73171679	+	72035591	72135921	73136488	73237011	60	100160	100669	0.9949438258053621	100330	1	cigar_aligned_base	1	lifted_chr_agree	1	73171679	solcap_snp_c1_3845	1	73171679	1	73171679	True	0	0
solcap_stsnp_c1_6269	solcap_snp_c1_6269	ST4.03ch01	72837041	72837041	72837041	72837040	dundee	SNP	.	1	59.934	ID=solcap_stsnp_c1_6269;Note=type: New OPA;Name=solcap_stsnp_c1_6269; Note=Genetic position = Chr01 59.934 cM	1	chr01	1	chromosome	73928936	+	72825134	72877802	73917028	73969060	60	51990	52676	0.9869769914192421	52668	1	cigar_aligned_base	1	lifted_chr_agree	1	73928936	solcap_snp_c1_6269	1	73928936	1	73928936	True	0	0
