chr	pos	cM
1	283464	0.000000
1	582800	0.239809
1	761423	0.722904
1	999510	1.452844
1	1111744	2.433268
1	1184829	2.673076
1	1271318	4.693553
1	1413852	4.933362
1	1530702	5.663302
1	1635208	6.146397
1	1726282	7.381028
1	1760356	7.620837
1	1867618	8.350777
1	2088494	9.843425
1	2305564	11.336073
1	2527598	11.575882
1	2714615	11.815690
1	2859218	12.055499
1	3201390	13.290129
1	3480786	14.270553
1	3550984	14.510362
1	3599680	15.490785
1	3638896	15.973881
1	3679592	16.456976
1	4002304	16.940072
1	4360039	22.179019
1	4479537	23.159443
1	4566034	23.399251
1	4615460	24.379675
1	4698086	24.862771
1	4833373	26.097401
1	4973319	26.580497
1	5099072	27.063592
1	5209046	30.476991
1	5285234	30.716799
1	5347338	31.199895
1	5391564	31.682991
1	5448862	32.917621
1	5583774	33.647561
1	5713010	33.887370
1	5755070	34.127178
1	5841215	34.610274
1	5980565	34.850083
1	6128659	35.089891
1	6224468	35.329700
1	6252884	36.059640
1	6402703	36.299448
1	6565164	36.782544
1	6695014	37.265639
1	7092541	38.246063
1	7887440	49.836144
1	8535983	52.962162
1	8744130	53.692102
1	8992355	53.931910
1	9204455	54.415006
1	9305067	54.654814
1	9550256	61.216924
1	9796386	61.456732
1	10180784	62.949381
1	10535418	63.929804
1	10603414	64.412900
1	10669809	64.652708
1	10823458	65.135804
1	10944682	65.375612
1	11262365	66.356036
1	11824272	70.966346
1	12139142	71.946769
1	12278494	72.186578
1	12513563	74.477055
1	12672918	74.716863
1	12729163	75.199959
1	13025860	76.180382
1	13405859	76.420191
1	13740638	76.660000
1	13994958	76.899808
1	14079702	77.139617
1	14185807	77.379425
1	14308376	77.619234
1	14424651	78.349174
1	14507924	78.588983
1	14577233	79.569406
1	14960058	79.809215
1	15394098	80.539155
1	16550835	80.778963
1	17970577	81.018772
1	18356134	81.748712
1	18394725	81.988521
1	18469492	82.228329
1	18654206	82.711425
1	18989471	83.691848
1	19250574	83.931657
1	19408924	84.414753
1	19534093	84.654561
1	19761233	84.894370
1	20157913	85.134178
1	20390449	85.373987
1	20450207	85.857083
1	20471863	86.340178
1	20518570	87.070118
1	20740638	87.800058
1	20932985	88.283154
1	21064357	88.522962
1	21604965	90.277528
1	22280134	98.630232
1	22556980	98.870041
1	22614591	99.109850
1	22687807	99.349658
1	22752027	99.832754
