map_name	chr	bin_start_cM	bin_end_cM	n_markers
strict_322	A1	10.0	20.0	2
strict_322	A1	20.0	30.0	5
strict_322	A1	30.0	40.0	0
strict_322	A1	40.0	50.0	4
strict_322	A1	50.0	60.0	5
strict_322	A1	60.0	70.0	5
strict_322	A1	70.0	80.0	4
strict_322	A1	80.0	90.0	2
strict_322	A2	10.0	20.0	4
strict_322	A2	20.0	30.0	5
strict_322	A2	30.0	40.0	0
strict_322	A2	40.0	50.0	0
strict_322	A2	50.0	60.0	1
strict_322	A2	60.0	70.0	0
strict_322	A2	70.0	80.0	4
strict_322	A3	0.0	10.0	2
strict_322	A3	10.0	20.0	0
strict_322	A3	20.0	30.0	3
strict_322	A3	30.0	40.0	2
strict_322	A3	40.0	50.0	0
strict_322	A3	50.0	60.0	2
strict_322	A3	60.0	70.0	3
strict_322	A3	70.0	80.0	6
strict_322	A3	80.0	90.0	7
strict_322	A3	90.0	100.0	0
strict_322	A3	100.0	110.0	0
strict_322	A3	110.0	120.0	0
strict_322	A3	120.0	130.0	2
strict_322	A3	130.0	140.0	4
strict_322	A3	140.0	150.0	2
strict_322	A4	10.0	20.0	5
strict_322	A4	20.0	30.0	5
strict_322	A4	30.0	40.0	6
strict_322	A4	40.0	50.0	3
strict_322	A4	50.0	60.0	0
strict_322	A4	60.0	70.0	1
strict_322	A4	70.0	80.0	0
strict_322	A4	80.0	90.0	4
strict_322	A4	90.0	100.0	3
strict_322	A5	0.0	10.0	2
strict_322	A5	10.0	20.0	6
strict_322	A5	20.0	30.0	2
strict_322	A5	30.0	40.0	5
strict_322	A5	40.0	50.0	6
strict_322	A5	50.0	60.0	6
strict_322	A5	60.0	70.0	1
strict_322	A5	70.0	80.0	1
strict_322	A5	80.0	90.0	1
strict_322	A6	0.0	10.0	1
strict_322	A6	10.0	20.0	3
strict_322	A6	20.0	30.0	2
strict_322	A6	30.0	40.0	9
strict_322	A6	40.0	50.0	5
strict_322	A6	50.0	60.0	2
strict_322	A6	60.0	70.0	15
strict_322	A6	70.0	80.0	3
strict_322	A6	80.0	90.0	3
strict_322	A6	90.0	100.0	1
strict_322	A6	100.0	110.0	3
strict_322	A7	10.0	20.0	3
strict_322	A7	20.0	30.0	3
strict_322	A7	30.0	40.0	2
strict_322	A7	40.0	50.0	2
strict_322	A7	50.0	60.0	1
strict_322	A7	60.0	70.0	0
strict_322	A7	70.0	80.0	1
strict_322	A8	0.0	10.0	1
strict_322	A8	10.0	20.0	3
strict_322	A8	20.0	30.0	0
strict_322	A8	30.0	40.0	1
strict_322	A8	40.0	50.0	0
strict_322	A8	50.0	60.0	1
strict_322	A9	0.0	10.0	2
strict_322	A9	10.0	20.0	0
strict_322	A9	20.0	30.0	2
strict_322	A9	30.0	40.0	3
strict_322	A9	40.0	50.0	4
strict_322	A9	50.0	60.0	6
strict_322	A9	60.0	70.0	1
strict_322	A9	70.0	80.0	5
strict_322	A9	80.0	90.0	6
strict_322	A9	90.0	100.0	1
strict_322	A9	100.0	110.0	1
strict_322	A9	110.0	120.0	2
strict_322	A9	120.0	130.0	1
strict_322	A10	0.0	10.0	1
strict_322	A10	10.0	20.0	2
strict_322	A10	20.0	30.0	1
strict_322	A10	30.0	40.0	4
strict_322	A10	40.0	50.0	5
strict_322	A10	50.0	60.0	1
strict_322	A10	60.0	70.0	1
strict_322	A10	70.0	80.0	7
strict_322	A10	80.0	90.0	0
strict_322	A10	90.0	100.0	0
strict_322	A10	100.0	110.0	1
strict_322	C1	30.0	40.0	9
strict_322	C1	40.0	50.0	1
strict_322	C2	0.0	10.0	2
strict_322	C2	10.0	20.0	2
strict_322	C2	20.0	30.0	0
strict_322	C2	30.0	40.0	2
strict_322	C2	40.0	50.0	0
strict_322	C2	50.0	60.0	7
strict_322	C3	0.0	10.0	6
strict_322	C3	10.0	20.0	0
strict_322	C3	20.0	30.0	2
strict_322	C3	30.0	40.0	0
strict_322	C3	40.0	50.0	1
strict_322	C3	50.0	60.0	0
strict_322	C3	60.0	70.0	2
strict_322	C3	70.0	80.0	0
strict_322	C3	80.0	90.0	0
strict_322	C3	90.0	100.0	0
strict_322	C3	100.0	110.0	0
strict_322	C3	110.0	120.0	1
strict_322	C3	120.0	130.0	3
strict_322	C4	30.0	40.0	1
strict_322	C4	40.0	50.0	2
strict_322	C4	50.0	60.0	2
strict_322	C4	60.0	70.0	2
strict_322	C4	70.0	80.0	0
strict_322	C4	80.0	90.0	2
strict_322	C4	90.0	100.0	0
strict_322	C4	100.0	110.0	1
strict_322	C4	110.0	120.0	0
strict_322	C4	120.0	130.0	0
strict_322	C4	130.0	140.0	2
strict_322	C5	10.0	20.0	1
strict_322	C5	20.0	30.0	0
strict_322	C5	30.0	40.0	2
strict_322	C6	40.0	50.0	2
strict_322	C6	50.0	60.0	0
strict_322	C6	60.0	70.0	0
strict_322	C6	70.0	80.0	0
strict_322	C6	80.0	90.0	1
strict_322	C7	0.0	10.0	1
strict_322	C7	10.0	20.0	0
strict_322	C7	20.0	30.0	0
strict_322	C7	30.0	40.0	0
strict_322	C7	40.0	50.0	2
strict_322	C7	50.0	60.0	3
strict_322	C8	20.0	30.0	1
strict_322	C8	30.0	40.0	1
strict_322	C8	40.0	50.0	0
strict_322	C8	50.0	60.0	1
strict_322	C8	60.0	70.0	1
strict_322	C9	70.0	80.0	2
strict_322	C9	80.0	90.0	1
