chr	markers	unique_loci	unique_positions	min_pos	max_pos	min_cM	max_cM
1	3387	3387	3374	37410	308322690	0.0	285.8
2	2580	2578	2570	98554	243484148	0.0	181.8
3	2277	2275	2262	253579	237761286	0.05	208.4
4	2180	2179	2169	139714	250060058	0.02	187.27
5	2384	2383	2367	287408	226247164	0.1	171.0
6	1785	1783	1776	5533063	181183029	0.5	137.82
7	1686	1686	1677	182044	185796199	0.01	156.02
8	1913	1913	1893	265045	182260656	0.01	159.0
9	1614	1614	1607	1797399	162885841	0.0	160.17
10	1549	1548	1536	132371	152286072	0.1	135.99
