MaizeGDB: Details of Map Genetic 5
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
telomere5S	0.00																																		
LOC100191501	0.10		GRMZM2G356204	Chr5	1579	3920					Zm00001eb210180	chr5	286074	288743																					
traf61	0.34		GRMZM2G356282	Chr5	54261	61898	Zm00001d012798	Chr5	66614	69977	Zm00001eb210260	chr5	339620	340000																					
IDP8589	0.40		GRMZM2G309624	Chr5	235289	239277	Zm00001d012801	Chr5	241989	254837	Zm00001eb210290	chr5	514400	527277																					
umc1240	0.60		AC220970.4_FG002	Chr5	534533	536542	Zm00001d012808	Chr5	572302	574716	Zm00001eb210350	chr5	844830	847156																					
sig6	1.00		GRMZM2G144196	Chr5	647402	650238	Zm00001d012810	Chr5	684894	687528	Zm00001eb210370	chr5	957230	960100																					
larp8	1.04		GRMZM5G861064	Chr5	650790	657211	Zm00001d012811	Chr5	688154	696271	Zm00001eb210380	chr5	960590	967783																					
ppr264	1.42		GRMZM2G130314	Chr5	659365	661360	Zm00001d012812	Chr5	696779	701482	Zm00001eb210420	chr5	969193	971188																					
impb14	1.48		GRMZM2G022258	Chr5	741838	752912	Zm00001d012815	Chr5	776419	787466	Zm00001eb210450	chr5	1048980	1059940																					
umc2292	1.50		GRMZM2G022054	Chr5	755345	757968	Zm00001d012816	Chr5	789953	792448	Zm00001eb210460	chr5	1063589	1065022																					
akin3	1.70		GRMZM2G014170	Chr5	803158	810242	Zm00001d012817	Chr5	834692	841621	Zm00001eb210470	chr5	1107229	1114095																					
acpt6	2.00		GRMZM2G019866	Chr5	813024	815364	Zm00001d012818	Chr5	845040	846051	Zm00001eb210480	chr5	1117556	1118434																					
LOC103625710	2.02		AC190636.3_FG005	Chr5	814117	815211	Zm00001d012819	Chr5	846193	847287	Zm00001eb210490	chr5	1118363	1119914																					
IDP1619	2.50		GRMZM2G019695	Chr5	816728	819972	Zm00001d012820	Chr5	848901	851867	Zm00001eb210500	chr5	1121253	1124560																					
AY109758	4.28																																		
sro4	5.67		GRMZM2G072894	Chr5	859812	865105	Zm00001d012821	Chr5	898964	904115	Zm00001eb210510	chr5	1171399	1176707																					
umc1253	5.68		GRMZM2G084164	Chr5	883069	888827	Zm00001d012822	Chr5	919123	924671	Zm00001eb210520	chr5	1191559	1197349																					
hsftf22	5.70		GRMZM2G384339	Chr5	889476	893867	Zm00001d012823	Chr5	925235	928518	Zm00001eb210530	chr5	1197693	1202334																					
LOC100280485	5.71		GRMZM2G384338	Chr5	892954	893914	Zm00001d012824	Chr5	928945	929484	Zm00001eb210540	chr5	1201410	1202223																					
cl41174_1d	5.72		GRMZM2G083813	Chr5	894818	898608	Zm00001d012825	Chr5	930687	933796	Zm00001eb210550	chr5	1203165	1206955																					
Zm00001eb210560	5.73		GRMZM2G083620	Chr5	897338	901282	Zm00001d012826	Chr5	933935	937151	Zm00001eb210560	chr5	1206355	1209629																					
