chr	n_bins	pos_min	pos_max	cM_min	cM_max	same_chr_as_source	plus_strand	minus_strand	duplicate_positions
1	217	283464	43167899	0.000000	200.606253	217	217	0	0
2	139	52754	35845655	0.000000	175.413532	139	139	0	0
3	192	133592	36298831	0.000000	187.487722	192	192	0	0
4	140	75924	35197802	0.000000	127.237149	140	140	0	0
5	130	145170	29704751	0.000000	116.043092	130	130	0	0
6	149	136546	30874361	0.000000	144.412563	149	149	0	0
7	91	61030	29127503	0.000000	135.407854	91	91	0	0
8	118	227560	28281329	0.000000	120.351252	118	118	0	0
9	116	68056	22780822	0.000000	107.159809	116	116	0	0
10	98	388398	23058042	0.000000	85.333908	98	98	0	0
11	150	112201	28951768	0.000000	116.721616	150	149	1	0
12	79	363244	27290146	0.000000	109.333493	79	79	0	0
