MaizeGDB: Details of Map Genetic 4
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
telomere4S	0.00																																																																																										
Zm00001eb164270	0.02														Zm00001eb164270	chr4	138588	140841																																																																									
LOC542694	0.03		GRMZM2G397661	Chr4	32395	33087					Zm00001d048584	Chr4	220589	221098	Zm00001eb164300	chr4	557667	560880																																																																									
Zm00001d048582	0.03		GRMZM2G397651	Chr4	30308	31923					Zm00001d048582	Chr4	218617	220062	Zm00001eb164300	chr4	557667	560880																																																																									
ucp3	0.05		GRMZM2G000510	Chr4	32433	63643					Zm00001d048583	Chr4	220381	224895	Zm00001eb164310	chr4	560788	564225																																																																									
gpm633	0.08		GRMZM2G000531	Chr4	136667	140201					Zm00001d048585	Chr4	297947	301454	Zm00001eb164330	chr4	637372	640896																																																																									
gras48	0.12		GRMZM2G018254	Chr4	513060	515231					Zm00001d048588	Chr4	712461	714365	Zm00001eb164350	chr4	1033659	1036014																																																																									
umc2278	0.14		GRMZM2G058868	Chr4	609416	610872					Zm00001d048590	Chr4	818674	819621	Zm00001eb164360	chr4	1139881	1141342																																																																									
tcptf13	0.15		GRMZM2G359599	Chr4	612258	614155					Zm00001d048591	Chr4	821353	823207	Zm00001eb164370	chr4	1143256	1144777																																																																									
rca3	2.47		GRMZM2G162282	Chr4	691410	693139					Zm00001d048592	Chr4	919276	920997	Zm00001eb164380	chr4	1223245	1225153																																																																									
rca1	2.48		GRMZM2G162200	Chr4	693736	696087					Zm00001d048593	Chr4	921608	923738	Zm00001eb164390	chr4	1225604	1227957																																																																									
GRMZM2G058394	2.49		GRMZM2G058394	Chr4	767835	768923					Zm00001d048595	Chr4	983434	984507	Zm00001eb164410	chr4	1287402	1288747																																																																									
cyc33	2.49		GRMZM2G058410	Chr4	764403	766798					Zm00001d048594	Chr4	980011	981702	Zm00001eb164400	chr4	1283795	1286054																																																																									
IDP8091	2.50		GRMZM2G058370	Chr4	806827	809173					Zm00001d048596	Chr4	1021865	1028086	Zm00001eb164420	chr4	1326272	1328667																																																																									
gras43	2.51		GRMZM5G895672	Chr4	827079	829016					Zm00001d048600	Chr4	1042494	1044431	Zm00001eb164470	chr4	1346442	1348443																																																																									
gras68	2.52		GRMZM2G073823	Chr4	829955	831938					Zm00001d048601	Chr4	1045391	1047319	Zm00001eb164480	chr4	1348999	1351655																																																																									
gras72	2.53		GRMZM2G073805	Chr4	832522	834779					Zm00001d048602	Chr4	1048188	1050188	Zm00001eb164490	chr4	1352156	1354314																																																																									
gras83	2.54		GRMZM2G073779	Chr4	836061	838338					Zm00001d048603	Chr4	1051644	1057496	Zm00001eb164500	chr4	1355253	1357931																																																																									
gras34	2.60		GRMZM5G868355	Chr4	839965	841260					Zm00001d048604	Chr4	1058559	1060856	Zm00001eb164530	chr4	1357953	1365176																																																																									
gras26	2.60		GRMZM5G868355	Chr4	839965	841260					Zm00001d048603	Chr4	1051644	1057496	Zm00001eb164530	chr4	1357953	1365176																																																																									
nbs68	2.90		GRMZM2G378948	Chr4	911702	917172					Zm00001d048607	Chr4	1122090	1132379	Zm00001eb164570	chr4	1425175	1438104																																																																									
tbl21	2.92		GRMZM2G122073	Chr4	1047704	1049444					Zm00001d048608	Chr4	1259982	1261388	Zm00001eb164580	chr4	1563895	1565644																																																																									
agrr115a	2.98																																																																																										
AY109715	3.00		GRMZM2G145725	Chr4	1064160	1065086					Zm00001d048609	Chr4	1277393	1280951	Zm00001eb164590	chr4	1580879	1584890																																																																									
mtl1	3.05		GRMZM2G164229	Chr4	1078840	1080800					Zm00001d048611	Chr4	1283712	1284484	Zm00001eb164610	chr4	1587692	1588505																																																																									
bsk7	3.06		GRMZM2G164224	Chr4	1070864	1074040					Zm00001d048612	Chr4	1286635	1292972	Zm00001eb164620	chr4	1592445	1597124																																																																									
nbs69	3.08										Zm00001d048614	Chr4	1307131	1309817	Zm00001eb164630	chr4	1596829	1601927																																																																									
bnlg1434	3.10		GRMZM2G008369	Chr4	1095458	1097674					Zm00001d048614	Chr4	1307131	1309817	Zm00001eb164640	chr4	1609576	1613921																																																																									
LOC100276824	3.12		GRMZM2G082544	Chr4	1152494	1154117					Zm00001d048615	Chr4	1368532	1369329	Zm00001eb164650	chr4	1672964	1674909																																																																									
cl11367_1b	3.14										Zm00001d048616	Chr4	1392483	1395346	Zm00001eb164660	chr4	1697325	1700273																																																																									
Zm00001d048618	3.41		GRMZM2G475521	Chr4	1222988	1223727					Zm00001d048618	Chr4	1473197	1474843	Zm00001eb164710	chr4	1779367	1779967																																																																									
GRMZM2G176437	3.42		GRMZM2G176437	Chr4	1225603	1228727					Zm00001d048620	Chr4	1475647	1478778																																																																													
